index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,63.700001,64.0,63.369999,1417500,63.024508999999995,-0.0020380645623903067,62.058049720359136,0.0,0.0,0.0,-0.8944298191464644,-0.9076889487282123,-0.768145640311583,0.2626451900040725,0.09891142535009578,0.21021669187266045,0.19301536639932873,0.2649656996897862,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,63.939999,65.349998,63.689999,2454400,64.082832,0.016652814055763538,64.77930702328635,1.0583230000000015,0.0,0.0,-0.290324888848873,-0.7567628543357229,-0.6673229572918578,0.42299260437677044,0.09891142535009578,0.21021669187266045,0.3875456339832297,0.3381203103736903,2,0.016792245061361788,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,65.139999,66.040001,64.839996,2925800,65.24006700000001,0.017897308189502015,66.01985321229827,1.1572350000000142,2.2155580000000157,0.0,-0.5601163285480834,-0.6881481751027982,-0.5570772784354654,0.43797884529795833,0.4633390549687441,0.21021669187266045,0.40049803615696195,0.3714694807718544,3,0.018058424758756204,0.03515391131408919,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2018-07-26,66.0,66.83000200000001,65.82,2583500,66.021439,0.011905717883233594,66.69168978410487,0.7813719999999904,1.9386070000000046,2.996930000000006,-0.6715551362655036,-0.7379716895309487,-0.48263873606561347,0.3810315237256509,0.4177845732307271,0.5952840799183203,0.33813897378525265,0.3895302289417728,4,0.011976873046436177,0.030251581265946622,0.04755181829341989,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2018-07-27,66.650002,66.769997,65.360001,2638900,65.032341,-0.015094822609915149,57.649548306725535,-0.9890979999999985,-0.20772600000000807,0.9495090000000062,-0.436954343361585,-0.7299079363924166,-0.5768665985702031,0.11278611403085229,0.06474346685378661,0.3322165218839881,0.05712370027421121,0.14645349422252085,5,-0.01498146685351706,-0.003184024933634848,0.014816901350427307,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
19,2018-07-30,65.870003,66.07,64.510002,1601200,63.924580000000006,-0.017180749046704764,50.72916807468949,-1.1077609999999964,-2.096858999999995,-1.3154870000000045,-0.3489765533518071,-0.880950474873549,-0.6823990647120279,0.09480738236603248,-0.24599191503391676,0.04119334361360147,0.03541386863928209,-0.03958467317701486,1,-0.017034001590070336,-0.031760274113383,-0.020163789837922826,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,64.93,66.690002,64.540001,2539200,65.319191,0.021581931888704168,59.05454663612832,1.3946109999999976,0.28685000000000116,-0.7022479999999973,-0.002933433665772478,-0.7444197809395583,-0.5495394152582955,0.47394388416995753,0.1460941511266762,0.11998675553104189,0.4388467328017308,0.18422357413684387,2,0.02181650626410056,0.004410882271637755,-0.010636666068426611,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-08-01,65.839996,66.16999799999999,64.629997,2679200,64.270752,-0.016181222892241737,50.48074579788592,-1.048439000000002,0.3461719999999957,-0.7615890000000007,-0.3607050094178995,-0.7240420654270223,-0.6494204846128477,0.10379530884539304,0.15585177238697961,0.11236219176945293,0.04581670171401772,-0.04626292257490361,3,-0.016051010184740373,0.005415319115119656,-0.011710927029368368,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-08-02,64.75,65.389999,64.5,2263200,64.577377,0.004759488262715735,48.09411938557322,0.3066249999999968,-0.7418140000000051,0.6527969999999925,-0.7419381893884307,-0.7845929915214148,-0.6202094071053921,0.3091022035358845,-0.023106376773761025,0.2940928036650744,0.2637626970624921,-0.11042176777225099,4,0.004770832617611146,-0.011356754250064197,0.010211987313799988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,65.5,65.790001,64.959999,1857300,65.01258100000001,0.006716656797269875,52.93717829858719,0.435204000000013,0.7418290000000098,-0.30660999999999206,-0.7771270766513788,-0.8436738109966886,-0.578749063768889,0.32858331676183705,0.22093169475959623,0.1708212065431144,0.2841324467415585,0.019772495342685437,5,0.00673926412340986,0.011542248642119666,-0.004694026293130178,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
