index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,84.760002,89.870003,83.839996,6660100,87.16886099999999,0.04011075204002722,69.16449921956672,0.0,0.0,0.0,0.6693964534539341,1.0,-0.6433526204904711,0.03894484744494364,-0.09803135161987975,0.07673788354305855,0.6194216597770058,0.4157493385710407,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,89.550003,90.83000200000001,88.209999,3561100,87.81514,0.007386754616905664,69.1696261908967,0.6462790000000069,0.0,0.0,-0.44680761918041734,-0.09901411447620401,-0.6145298565906061,0.14546867557058857,-0.09803135161987975,0.07673788354305855,0.10198903152300871,0.41589634066389136,3,0.007414103988349773,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,88.650002,89.400002,87.870003,1163000,86.796768,-0.011664537183067323,64.94563791692042,-1.0183719999999994,-0.37209299999999246,0.0,-0.8036010141405836,-0.9494645010284417,-0.6599472316224935,-0.12890972294333763,-0.14513815935896016,0.07673788354305855,-0.1992504491013456,0.29478485466395865,5,-0.011596770215249892,-0.004268645887204979,1.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
17,2018-11-26,90.309998,90.629997,89.019997,2474600,88.197029,0.01600389168812114,69.75701105738631,1.4002610000000004,0.38188900000000103,1.028168000000008,-0.7774141117161828,-0.4843251294418043,-0.597498363252658,0.26974479931564055,-0.04968437465264281,0.1844170549762121,0.23824340855194592,0.4327380195276118,1,0.016132639869724186,0.004348783136939724,0.01179512945568955,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-11-27,89.459999,90.139999,88.360001,2614600,87.717224,-0.005455000736036778,64.77779764840875,-0.4798049999999989,0.9204560000000015,-0.0979159999999979,-0.7217682943096042,-0.4346762181715015,-0.6188967163369679,-0.04013967387452426,0.01849796719096579,0.0664832230692368,-0.10106511060245536,0.28997248705978906,2,-0.005440149236773032,0.010604726664476741,-0.0011150241290966215,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-11-28,89.43,90.790001,88.0,3864600,89.31208000000001,0.018018476187699084,65.98289059461732,1.5948560000000072,1.1150510000000082,2.5153120000000087,-0.3911618017738434,0.008617632456202617,-0.5477692962254013,0.301819188757523,0.04313360734540797,0.34016439755231304,0.27009806673988024,0.32452528124781965,3,0.018181788333839738,0.0126427274551392,0.02897932789386822,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2018-11-29,89.980003,90.589996,89.349998,2831700,88.13069899999999,-0.013315824544809285,60.37651600809511,-1.181381000000016,0.41347499999999116,-0.06633000000000777,-0.8985276761820475,-0.3576849421944819,-0.6004565499328356,-0.155777906342357,-0.04568560114912042,0.06979119833095133,-0.22536064427527153,0.16377759133844738,4,-0.013227561154101616,0.004713726462661326,-0.0007520661495299095,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-11-30,89.699997,91.970001,88.790001,3335800,90.493454,0.026456588053122582,66.76932459769316,2.362755000000007,1.181373999999991,2.776229999999998,-0.2635025755314948,-0.17891339811334128,-0.49508235470410966,0.4283892012348799,0.051530069546197266,0.36749012063647263,0.40352169294217166,0.3470741579433816,5,0.026809670487238587,0.01322748277724571,0.03164977040313084,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-12-03,93.339996,94.620003,92.809998,3563800,92.058777,0.017149736888480607,73.49320114065753,1.5653230000000065,3.9280780000000135,2.7466969999999975,-0.7119460373247043,-0.09805659975884806,-0.42527204792324813,0.29695137127307014,0.3992615701231143,0.36439715434114406,0.2563615402070752,0.539863206344769,1,0.017297637904284287,0.044571052363944305,0.030753924888995948,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-12-04,93.139999,93.379997,90.339996,3858000,89.03643000000001,-0.03338164166273262,66.28505117743403,-3.0223469999999963,-1.4570239999999899,0.9057310000000172,-0.3093287546106761,0.006277040924888455,-0.5600627404948231,-0.4592176680693384,-0.2824899397664636,0.17159433075919706,-0.542641823439987,0.33318892205880335,2,-0.032830622983401093,-0.016100877307655755,0.010277133964409125,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
