index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,40.400002,40.700001,40.32,3146600,40.002918,0.003224558452380596,37.407512483191844,0.0,0.0,0.0,-0.9204545002582462,-0.591360657443046,0.006894857425230327,0.20076472423640412,0.27460555743479254,0.18717054128455501,0.30094163631914017,-0.603336124587974,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,40.540001000000004,40.880001,40.459998999999996,2921700,40.161427,0.00395460616750773,43.87631054874672,0.15850900000000223,0.0,0.0,-0.8749987926129532,-0.649849162592323,0.05139935535315132,0.28466261597827797,0.27460555743479254,0.18717054128455501,0.31624225548094076,-0.36854827633421783,2,0.003962435940298211,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,40.419998,40.669998,40.189999,2813500,40.191143,0.0007396403464062183,39.38034723753793,0.029715999999993414,0.18822499999999565,0.0,-0.8068203447842944,-0.6779881410589828,0.059742702799832514,0.21649323019506223,0.34646729274537014,0.18717054128455501,0.2488617724966013,-0.5317312263921894,3,0.0007399139477786337,0.004705281749696251,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,40.619999,40.950001,40.419998,2422900,40.300117,0.0027077242071008754,40.21323028017377,0.10897400000000346,0.13868999999999687,0.2971989999999991,-0.7499975852259066,-0.7795693331946324,0.09033928190384088,0.2584440285956463,0.32755550600817024,0.2826535101916035,0.29010962658478395,-0.5015013729563895,4,0.002711393403268065,0.003453313548843692,0.00742943302286096,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2019-07-26,40.57,40.939999,40.509997999999996,2080100,40.210957,-0.0022148514985245887,40.755364381297646,-0.08915999999999968,0.019814000000003773,0.04952999999999719,-0.8636362861569831,-0.8687194424217206,0.06530587032939827,0.15357285483021685,0.28217027212967416,0.20308335206105782,0.18694040270221798,-0.4818243792122756,5,-0.002212400524792513,0.0004929941902872425,0.0012332729113434437,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,40.619999,41.02,40.610001000000004,2430600,40.518063,0.0076083540083509505,48.57386909780252,0.30710599999999744,0.21794599999999775,0.3269200000000012,-0.8863658445260563,-0.7775668365754708,0.1515318785727917,0.3633141437727038,0.3578143647876912,0.29220216048614217,0.39281889981200047,-0.19804833915860276,1,0.0076373710777387725,0.005408073629165835,0.008134130447596408,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2019-07-30,40.77,41.099998,40.529999,2718200,40.567596,0.0012217451710255154,47.31207973778549,0.049533000000003824,0.35663900000000126,0.2674790000000016,-0.7045475594020257,-0.7027722875273068,0.16543923585763842,0.22698225303067132,0.4107654587201148,0.2731051811732782,0.25896590975327627,-0.243845534524056,2,0.001222491805691793,0.008869199506990128,0.006637176760553861,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2019-07-31,40.849998,41.790001000000004,40.790001000000004,8111900,40.696384,0.0031696234376536645,60.59378249910167,0.12878800000000012,0.17832100000000395,0.4854270000000014,-0.2159097817669262,0.699937584520961,0.20159898249121255,0.26893146354869746,0.3426860807569766,0.3431266890092852,0.299790287275005,0.23821966226732205,3,0.0031746520055070584,0.004401024797261507,0.012072008134499296,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2019-08-01,41.119999,42.099998,41.0,7037200,40.765728,0.00170248511968878,63.88733835215966,0.06934400000000096,0.19813200000000109,0.2476650000000049,-0.10227562629297449,0.4204462706751273,0.2210686649970235,0.23746810010117203,0.3502496500928123,0.26673941431025394,0.26904144141777747,0.3577607089975723,4,0.0017039351702598678,0.004883996576972445,0.006112459028458615,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2019-08-02,40.970001,41.16,39.41,7796600,39.695812,-0.026596037467744277,58.77701245093152,-1.0699160000000063,-1.0005720000000053,-0.8717840000000052,0.6363634297519472,0.6179392489337354,-0.07933115081816489,-0.36553559146111436,-0.1073991721344853,-0.09291291984977956,-0.32404981546879863,0.17227920067630875,5,-0.02624547757371109,-0.024586262995749335,-0.021489663819369655,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
24,2019-08-05,39.009997999999996,39.540001000000004,37.470001,9265700,37.427197,-0.05884805828718774,53.93546697831341,-2.268614999999997,-3.3385310000000032,-3.2691870000000023,1.0,0.9999999999999998,-0.716289125234443,-1.0,-1.0,-0.8631414741405583,-1.0,-0.003446804714341223,1,-0.05714998347936546,-0.0818955324433309,-0.08033114195108838,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,38.169998,38.200001,36.459998999999996,6826100,37.070557,-0.009574589980542504,50.87950820807931,-0.35663999999999874,-2.6252549999999957,-3.695171000000002,0.6250020596602641,0.3655466555705815,-0.8164227715322152,0.011997246611654994,-0.7276809610020492,-1.0,0.03269218945468483,-0.11436416165519558,2,-0.009528899532604558,-0.06613430656110514,-0.0906440576751138,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
26,2019-08-07,36.82,37.389998999999996,36.450001,5799800,36.931866,-0.0037482870629799146,49.647214916085076,-0.13869100000000145,-0.4953310000000002,-2.763945999999997,-0.28409391141700513,0.09864246333090598,-0.8553629788524404,0.12735638462431786,0.08549494400339627,-0.7008195595528015,0.15480207380298186,-0.15909078436204394,3,-0.003741271003832002,-0.0132345203409168,-0.06962815120144154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
