index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,47.23,47.360001000000004,47.009997999999996,2038000,44.989796000000005,0.002331911618246354,63.32548949852228,0.0,0.0,0.0,-0.901957891197104,-0.8497789408989076,0.30947331245061793,0.05185211762937403,-0.041013961210605965,0.0870175337654624,0.08316275189494118,0.49420535594373005,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,47.32,47.689999,47.18,4609600,45.056473,0.0014809500255117387,66.16401714212691,0.06667699999999144,0.0,0.0,-0.7450991445592419,-0.339935367473582,0.31931797955840313,0.07935060561875829,-0.041013961210605965,0.0870175337654624,0.0686483869043981,0.5728470787300168,2,0.0014820471735411166,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,47.209998999999996,47.59,46.740002000000004,3555700,44.999321,-0.0012692577597555755,58.55624847917712,-0.057151999999994985,0.009524999999996453,0.0,-0.4117669550161981,-0.5488808263446936,0.31087965128112316,0.028281867234644917,-0.03825551547966014,0.0870175337654624,0.02173966630406453,0.3620730052198029,3,-0.0012684525928160198,0.00021171467414514287,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,47.41,47.970001,47.369999,2427600,45.447025,0.009899961167867578,58.72593394583934,0.44770399999999455,0.39055199999999957,0.457228999999991,-0.6568609525191369,-0.7725371240508336,0.3769818580814386,0.23649124456670956,0.07209013297446006,0.22262331610143563,0.21224664283380576,0.3667741598695302,4,0.009949127899063067,0.008668055309167222,0.010162948949579387,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-07-27,47.720001,47.889998999999996,47.299999,2653300,45.351772,-0.0020981122677775355,51.53308188985515,-0.09525299999999959,0.35245099999999496,0.295299,-0.6666668300652824,-0.7277900037669264,0.36291802683501206,0.012568504442620823,0.06105606045006963,0.17459783142381596,0.007602369208401641,0.16749539691510118,5,-0.0020959127687675836,0.007832362626093735,0.006553975052596771,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2018-07-30,47.560001,47.759997999999996,47.299999,3418100,45.104099,-0.00547612037105558,43.20563544582427,-0.24767299999999892,-0.3429259999999985,0.10477799999999604,-0.7941187283731757,-0.5761613037530483,0.3263498213580567,-0.05029154533979993,-0.14032553714033574,0.11809277759644937,-0.050014382206230376,-0.06321742923778806,1,-0.0054611537560208,-0.007545620422898937,0.002328435133498926,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-07-31,49.25,49.57,47.68,11368100,45.970936,0.019036241419293696,53.42344031840471,0.8668370000000039,0.6191640000000049,0.5239110000000053,0.6078423490968909,1.0,0.45433580905565574,0.4093473083736644,0.13829630572440615,0.24239998113740116,0.3680789475550423,0.21986798657074802,2,0.01921858587619728,0.013652476467733278,0.011527949299211674,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-08-01,48.34,48.950001,48.049999,5427800,45.828056,-0.0031128907249142732,45.44875213613162,-0.14288000000000523,0.7239569999999986,0.4762839999999997,-0.36274344963556215,-0.17771962172128708,0.4332399883624536,-0.007073508357456078,0.16864442157564982,0.22827468157128378,-0.009706126306761043,-0.00107163286554246,3,-0.003108050704036246,0.016050802832797938,0.010501993174599655,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-08-02,48.169998,49.5,48.169998,6796100,46.99971,0.025244951487250422,53.98604680770708,1.1716540000000037,1.0287739999999985,1.8956110000000024,0.05882497116423191,0.093558555879379,0.6062313286373184,0.5350579224304037,0.25691960817617754,0.6492211837082305,0.4739773627316803,0.23545506167609997,4,0.025566303750698127,0.02237879167828992,0.04202746628416194,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,2018-08-03,49.599998,49.990002000000004,49.330002,4369600,47.58078,0.012287466704806703,60.42906913890098,0.5810699999999969,1.7527240000000006,1.6098439999999954,-0.5980394127257737,-0.38751759551140985,0.6920246414186639,0.2914931695062353,0.46657596375822263,0.5644679034027255,0.25296895871261893,0.41395970904749646,5,0.012363267773354279,0.0382456545832972,0.03501873444560701,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
