index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,43.02,43.709998999999996,42.970001,2853000,42.10564,0.009706613161276809,53.89183107746844,0.0,0.0,0.0,-0.5098063821631256,-0.5789282267201947,-0.8092871669684945,0.013146639538203164,0.056818651567831946,0.13498989789039584,0.10068756753835781,0.23476990613028859,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,43.5,43.919998,43.419998,2665200,42.29932,0.004589311811463608,55.297447117772386,0.19368000000000052,0.0,0.0,-0.7450987697046753,-0.6314677782595924,-0.7846300251116336,0.0816206723133231,0.056818651567831946,0.13498989789039584,0.016421365259933304,0.26975730428993105,2,0.004599858831263472,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,43.73,43.810001,43.34,2272600,42.396152,0.002286593129573066,56.39152697133944,0.09683199999999914,0.29051199999999966,0.0,-0.7745095828525349,-0.7413028577823162,-0.7723024726525081,0.047380827589010355,0.1467750268503272,0.13498989789039584,-0.02149732370794985,0.29699020883683436,3,0.002289209377361129,0.0068995982485956665,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2018-07-26,43.990002000000004,44.5,43.91,2637800,43.006240999999996,0.014287641294250255,63.08552623151217,0.610088999999995,0.7069209999999941,0.9006009999999947,-0.6568633890817496,-0.6391332932339241,-0.6946328577293865,0.22883878215354644,0.2757151197725064,0.42849647139071684,0.1761230005738551,0.46361154117832504,4,0.014390197487734145,0.016712349040126275,0.02138908231771313,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,46.0,46.490002000000004,45.5,5349000,44.846184,0.041893256576226424,65.42111331437968,1.8399430000000052,2.450032,2.5468639999999994,-0.2647041810825249,0.11936102057659204,-0.4603921743364827,0.6636439406862438,0.8154654477281374,0.9650148765561154,0.6307025147266195,0.5217469870338896,5,0.042783162564707884,0.05778901821089801,0.06021051875065602,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2018-07-30,46.349998,46.68,46.18,3707500,44.865555,0.0004318498452258593,66.73212357013378,0.019370999999999583,1.8593140000000048,2.469403,-0.7450987697046753,-0.33987046958273304,-0.4579260782248076,0.019995103441997134,0.6325509722705843,0.9397702757951698,-0.052039236737765136,0.5543795385232171,1,0.0004319431057946777,0.04323358556261648,0.05824592288469953,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-07-31,46.599998,46.700001,46.16,5180600,45.068915999999994,0.00452243381965785,76.43913368714914,0.2033609999999939,0.2227319999999935,2.0626749999999987,-0.7058820645902548,0.07224887744967745,-0.4320364612010943,0.0850433133257946,0.12578710512369254,0.8072173010298302,0.015320090584037077,0.7959981727487151,2,0.004532675456706017,0.004966576420415023,0.04796222483150757,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-08-01,46.639998999999996,46.959998999999996,46.490002000000004,3958700,45.252907,0.004074126238525774,83.41385470414656,0.183991000000006,0.3873519999999999,0.4067229999999995,-0.7745135044250111,-0.26959392354068457,-0.4086128129803912,0.0781952029640988,0.17676131100505016,0.2675412431518064,0.007937844604717206,0.9696069921396395,3,0.004082436773052319,0.008633616590723104,0.00906928892768222,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-08-02,46.509997999999996,46.630001,46.25,2520200,44.894608000000005,-0.007949212726281343,77.83072720874839,-0.35829899999999526,-0.17430799999998925,0.02905300000000466,-0.8627449634754536,-0.6720334596930997,-0.45422737963761506,-0.11352713921692026,0.0028445786801707326,0.1444582934172787,-0.1900495405445829,0.8306365343072837,4,-0.007917701287123836,-0.0038675880289641153,0.0006475569064063658,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2018-08-03,46.330002,46.59,46.130001,3059200,45.117336,0.004948864443454447,77.72965083135816,0.22272799999999648,-0.13557099999999878,0.048420000000007235,-0.7843154748190888,-0.5212410300885452,-0.4258721757368784,0.09189036306121344,0.01483940198976609,0.15077001393389095,0.022342090412886415,0.8281206271470885,5,0.004961130298765421,-0.002995851736110539,0.0010743546616476696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
