index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,49.669998,49.709998999999996,49.290001000000004,1664100,48.702751,-0.003431918241801169,40.66117413645043,0.0,0.0,0.0,-0.9272751074394673,0.45699159140454704,-0.8081311319210638,0.06666566385691808,-0.02140705189420422,-0.049868624841299614,-0.05997980921751467,-0.5634182102614365,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,49.48,49.900002,49.240002000000004,1028100,48.988372999999996,0.005847467040148716,41.0129680946845,0.2856219999999965,0.0,0.0,-0.6363634159778301,-0.33528495795702273,-0.7238235219890594,0.28148405814541333,-0.02140705189420422,-0.049868624841299614,0.2800233205864304,-0.5494797256548289,2,0.005864596847927471,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,49.919998,49.919998,49.32,668500,48.860336,-0.0026170416428512038,36.65933025475839,-0.12803699999999907,0.15758499999999742,0.0,-0.7090931570261549,-0.7832450949859856,-0.761616456191831,-0.02963189987947551,0.07568125388913602,-0.049868624841299614,-0.030122163950223504,-0.7219759058597677,3,-0.0026136201747300135,0.003235648844559056,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,49.560001,49.779999,49.290001000000004,724600,48.899731,0.0008059528464205463,36.34578576978631,0.039395000000006064,-0.088641999999993,0.19698000000000349,-0.8424265711676264,-0.7133603238866396,-0.7499881562244894,0.09629493136081022,-0.07601949344159964,0.05429027538285157,0.09529873455669732,-0.7343989019771768,4,0.0008062777136859245,-0.0018094497647430138,0.004044535389797662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2019-07-26,49.700001,50.130001,49.5,1228700,49.086861,0.0038195068055332138,38.5982874266795,0.18712999999999624,0.2265250000000023,0.09848800000000324,-0.6727258622580966,-0.0853939582684522,-0.6947526244847229,0.20740750490279622,0.11815526982151575,0.0022097677126467624,0.2057174473053152,-0.6451521740669921,5,0.0038268104174232825,0.004636173603063277,0.002010436231470746,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,50.02,50.84,49.880001,1055600,49.490662,0.008192603065281686,39.54602450603137,0.4038010000000014,0.5909309999999977,0.6303260000000037,-0.2727280440775952,-0.30102771722204924,-0.57556188568255,0.37036734801321575,0.3426662395031733,0.2834345680853302,0.3659507354026028,-0.6076017318764315,1,0.008226254271993506,0.012084545004961226,0.012900566217964685,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,50.150002,50.709998999999996,49.869999,1050100,49.273983,-0.004387791757630838,30.45031204274497,-0.21667899999999918,0.18712200000000223,0.3742519999999985,-0.4181814655645264,-0.3078791653690438,-0.6395194541207552,-0.09630019611198232,0.09387903469265815,0.1480279977939333,-0.09500367957140257,-0.9679844081226454,2,-0.0043781794634308825,0.0038120587910480206,0.007653457234764716,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,50.02,50.490002000000004,49.240002000000004,1058100,48.791393,-0.009842289203641054,30.29020834643198,-0.48259000000000185,-0.699269000000001,-0.2954679999999996,0.07878853259911511,-0.2979134226097788,-0.7819664976856302,-0.2962938031998444,-0.4522275138468759,-0.2061059176193934,-0.29486025916170505,-0.9743279022455167,3,-0.009794012389865091,-0.014129311909386079,-0.006019288949847488,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,49.610001000000004,49.939999,48.990002000000004,1396100,48.811089,0.00040359629926941994,29.64226926696128,0.019696000000003266,-0.4628939999999986,-0.6795729999999978,-0.28485168778890313,0.12313920896916852,-0.776152790459923,0.08147916944789832,-0.30659659542483275,-0.4092126003820936,0.08055611086215178,-1.0,4,0.0004036777552139835,-0.009394288259587186,-0.013731337843086394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2019-08-02,49.509997999999996,50.599998,48.84,2100000,49.470963,0.013428370741375279,35.08141720927483,0.659873999999995,0.6795699999999982,0.19697999999999638,0.6969683011929115,1.0,-0.5813764784241844,0.5629617233786888,0.39727683274700804,0.05429027538284781,0.5577929041140284,-0.7844946506541381,5,0.013518936240082555,0.013928071289130815,0.003997647196493054,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2019-08-05,50.029999,50.029999,48.02,1639100,48.052727000000004,-0.029087004205605456,33.22628985389164,-1.4182359999999932,-0.7583619999999982,-0.7386659999999949,1.0,0.42584864528184374,-1.0,-1.0,-0.4886347813764932,-0.4404597416702719,-1.0,-0.8579969478968323,1,-0.028668049174623775,-0.01553667446346051,-0.015139268518117427,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
25,2019-08-06,49.209998999999996,50.220001,48.990002000000004,1264100,49.293686,0.025497112636499078,39.643895719952866,1.2409589999999966,-0.17727699999999658,0.4825969999999984,0.05454488154235615,-0.04129554655870438,-0.6337036806912213,1.0,-0.13062762228068237,0.20531856559160538,1.0,-0.6037239608779681,2,0.025824944336665774,-0.0035834556121334565,0.009887036120009499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,2019-08-07,49.830002,50.669998,49.27,783700,49.431568,0.0027932486180080335,44.72330084806001,0.13788199999999762,1.3788409999999942,-0.03939499999999896,0.26060440036630417,-0.6397383992525693,-0.5930047783915224,0.17036772406686745,0.8280985269020534,-0.07069987610706394,0.1681146336335712,-0.40247203903075945,3,0.0027971533717319826,0.02869433403852385,-0.0007963257153494053,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
27,2019-08-08,50.209998999999996,50.759997999999996,49.759997999999996,607900,49.904312,0.009518163407460804,49.79826351936185,0.4727439999999987,0.6106259999999963,1.851584999999993,-0.22424195408602943,-0.8587355963874181,-0.45346399809555216,0.42221988233281066,0.35480035240987634,0.9292107602309453,0.41452018816167435,-0.2013961324741691,4,0.009563605184444053,0.012387509426663616,0.0385323605047429,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28,2019-08-09,50.5,50.860001000000004,50.110001000000004,939300,50.032348999999996,0.0025623643770625207,58.17638907329558,0.12803699999999907,0.6007809999999978,0.7386629999999954,-0.527272440771174,-0.44590470258486437,-0.41567106389277875,0.16296322759331167,0.34873483620949647,0.3407209056504779,0.15965487448372942,0.13055491822587717,5,0.002565650038417503,0.012153792086870435,0.014984941479117535,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2019-08-12,50.700001,51.279999,50.68,790600,50.189934,0.003144712436175336,57.58907134179178,0.15758500000000453,0.2856220000000036,0.7583660000000023,-0.7090919449042112,-0.6311429461227032,-0.36915638816354424,0.18518649440902513,0.15456500175588944,0.3511394395682215,0.18099251234631036,0.10728470858144012,1,0.0031496622315295357,0.005723393200972365,0.015341734658305848,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30,2019-08-13,50.919998,51.049999,50.119999,1129400,49.628547999999995,-0.011248255989705205,55.84173195890997,-0.5613860000000059,-0.4038010000000014,-0.27576400000000234,-0.3090904903578702,-0.20909374026782923,-0.5348618026949516,-0.35555685085148664,-0.27018932789521544,-0.1956868549225899,-0.346375859941001,0.03805309581277605,2,-0.01118523088713378,-0.008070798354880388,-0.005525855160572144,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
31,2019-08-14,50.259997999999996,50.470001,49.32,923700,48.633812,-0.020247223503309937,55.14066121245879,-0.9947359999999961,-1.556122000000002,-1.3985369999999975,-0.04242244995299216,-0.46533790096543126,-0.8284799927269635,-0.6814825539307958,-0.9801356654817008,-0.7893857120723935,-0.6761042877045589,0.010275859794838027,3,-0.020043624891060607,-0.031004663205972775,-0.027952655191144385,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
32,2019-08-15,49.119999,50.200001,49.049999,1317500,49.715885,0.022005490571988588,55.39431444208012,1.0820730000000012,0.0873370000000051,-0.47404900000000083,-0.04242123783104845,0.025225786359389657,-0.5090823678872969,0.8805006778367168,0.03240137760225941,-0.3005358118265664,0.8720645394113199,0.020325894918354237,4,0.022249397188935163,0.00175981372656732,-0.009445101083416464,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
