index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,91.739998,92.410004,91.019997,1675600,90.814125,-0.006118176521550665,55.75623715509474,0.0,0.0,0.0,-0.5140148018737695,0.9999999999999996,0.5255025782557929,0.26480839591589445,0.11216462450119336,0.0297545403803281,0.07328471798969163,0.18633292131271117,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,91.510002,92.18,91.019997,975800,91.51078000000001,0.007641944366783266,55.63497633338042,0.6966550000000069,0.0,0.0,-0.6573195194141762,-0.11123461691147307,0.747971045616648,0.5087101518103805,0.11216462450119336,0.0297545403803281,0.49507613630275926,0.1808068026232288,2,0.0076712185466743955,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,91.760002,92.43,91.209999,822900,91.92878,0.004557367270985841,56.379974179200374,0.41799999999999216,1.114654999999999,0.0,-0.6199375763045321,-0.35402937673680057,0.8814543613996904,0.41115190018112213,0.4660364423001686,0.0297545403803281,0.4005240492469362,0.21475797053720802,3,0.004567767862977369,0.01227402675519914,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
17,2019-07-25,92.150002,92.559998,91.620003,1099900,91.41125500000001,-0.005645535897807796,61.70437666008322,-0.517524999999992,-0.09952499999999986,0.597130000000007,-0.7943961976312145,0.08582770940849516,0.7161889235991659,0.08362078336837717,0.08056821784043913,0.18499279482153017,0.08777265458986314,0.45740254150385784,4,-0.005629629806900429,-0.0010875767860354796,0.006575298721426948,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2019-07-26,91.599998,92.739998,90.260002,1395800,91.88896899999999,0.005212378590213157,59.23515859690041,0.47771399999997755,-0.039811000000014474,0.3781889999999777,0.16510628196457677,0.555696705041683,0.8687411932546176,0.4320580150464136,0.09952574436482817,0.1280738346861905,0.4206022270180513,0.34487491803525216,5,0.005225986668709203,-0.0004330635085118553,0.004132726220888705,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2019-07-29,92.300003,92.32,91.41999799999999,1100200,91.560539,-0.00358060759577696,60.273687579675105,-0.3284299999999831,0.14928399999999442,-0.3682409999999976,-0.8193139624031011,0.08630408892417596,0.7638609889421204,0.14982371384453758,0.15955812334011688,-0.065978532909712,0.15106926690137296,0.3922029366000723,1,-0.00357420486456849,0.0016331030571672426,-0.004005720515381555,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-30,91.620003,92.160004,91.309998,1324800,91.371445,-0.0020673702128469586,54.75513825560823,-0.18909400000001142,-0.5175239999999945,-0.039810000000017,-0.850464127870438,0.44295355299722106,0.7034760747921673,0.19860581554381035,-0.052134785302373754,0.01940497678562205,0.1974547999333928,0.14071067283820993,2,-0.002065234674951088,-0.0056320579676978925,-0.0004355043588452756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,91.699997,92.41999799999999,90.059998,956000,89.998039,-0.015145130500349597,48.64906051748772,-1.3734059999999886,-1.5625,-1.8909299999999831,0.09034239574529734,-0.1426756649464076,0.26489524513588236,-0.2160266443206879,-0.38388546751014585,-0.4618380315395154,-0.203420098244332,-0.1375565352428736,3,-0.015031019811495688,-0.017065211903132198,-0.02057842220430162,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,90.440002,91.510002,89.839996,1160900,89.540237,-0.005099781532940598,42.72873046909116,-0.45780200000000093,-1.8312079999999895,-2.020302000000001,-0.33956054191916896,0.18269154426359657,0.11870163525045285,0.10453004917036532,-0.46919274950961964,-0.4954713834956551,0.1045017596228753,-0.40735881817170916,4,-0.005086799724602898,-0.020041359748660968,-0.022065204312525954,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
23,2019-08-02,90.040001,90.459999,88.989998,956000,89.649712,0.00122188788189889,36.88677414723195,0.10947499999998911,-0.3483270000000118,-1.7217330000000004,-0.46417428790476245,-0.1426756649464076,0.15366117112449018,0.3031360397662162,0.001580534645167997,-0.4178512163791901,0.2982810098365947,-0.6735894403707277,5,0.001222634691038277,-0.003870384331374285,-0.018843228319306984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
