Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,76.949997,77.709999,76.650002,77.629997,76.623108,466700
2018-07-03,78.089996,78.739998,76.919998,77.019997,76.021019,233800
2018-07-05,77.330002,78.070000,76.820000,77.879997,76.869858,528400
2018-07-06,77.730003,77.730003,76.690002,76.860001,75.863098,1000600
2018-07-09,77.260002,78.349998,76.889999,77.940002,76.929092,660400
2018-07-10,77.989998,78.440002,77.660004,78.349998,77.333771,594000
2018-07-11,78.089996,78.230003,77.459999,77.910004,76.899475,304800
2018-07-12,78.400002,79.279999,78.000000,79.080002,78.054291,434500
2018-07-13,79.300003,80.029999,77.860001,79.709999,78.676132,546400
2018-07-16,79.589996,79.809998,79.000000,79.239998,78.212212,685300
2018-07-17,78.739998,80.120003,78.739998,80.080002,79.041344,516400
2018-07-18,80.050003,80.360001,79.190002,79.230003,78.202354,588300
2018-07-19,78.919998,79.220001,78.279999,78.680000,77.659492,909500
2018-07-20,78.379997,80.470001,78.050003,79.489998,78.458984,609100
2018-07-23,79.730003,79.849998,78.459999,78.709999,77.689102,483400
2018-07-24,78.860001,79.959999,78.820000,79.820000,78.784698,1328700
2018-07-25,80.000000,80.360001,78.410004,80.089996,79.051193,1090500
2018-07-26,77.500000,82.199997,75.889999,81.480003,80.423172,1136800
2018-07-27,81.730003,82.099998,81.110001,81.599998,80.541618,1122500
2018-07-30,81.889999,82.449997,80.860001,80.930000,79.880302,795600
2018-07-31,81.290001,81.889999,80.660004,81.540001,80.482384,665600
2018-08-01,81.540001,82.279999,80.580002,80.879997,79.830956,579800
2018-08-02,80.550003,81.320000,80.239998,81.199997,80.146797,348200
2018-08-03,81.400002,81.919998,80.830002,81.720001,80.660049,301500
2018-08-06,81.580002,82.709999,80.949997,82.570000,81.499039,459500
2018-08-07,82.870003,83.500000,82.739998,83.099998,82.022163,480900
2018-08-08,83.180000,83.180000,82.449997,82.519997,81.449677,485600
2018-08-09,82.629997,83.260002,82.480003,82.559998,81.489166,608600
2018-08-10,82.190002,82.389999,81.459999,81.800003,80.739021,459600
2018-08-13,81.919998,82.290001,81.269997,81.730003,80.669930,530900
2018-08-14,81.980003,83.510002,81.669998,83.269997,82.189949,392000
2018-08-15,82.879997,85.690002,82.250000,85.300003,84.193626,1028300
2018-08-16,85.629997,87.080002,85.129997,85.430000,84.321938,818100
2018-08-17,85.300003,86.989998,85.209999,86.699997,85.575462,485600
2018-08-20,86.989998,87.830002,86.470001,86.959999,85.832085,545700
2018-08-21,86.959999,88.120003,86.900002,87.790001,86.651329,501100
2018-08-22,87.529999,87.529999,86.419998,87.099998,85.970268,360500
2018-08-23,87.099998,87.610001,86.300003,86.440002,85.318848,410500
2018-08-24,86.769997,87.410004,86.419998,87.269997,86.138069,380100
2018-08-27,87.889999,88.400002,87.500000,87.690002,86.552620,310700
2018-08-28,87.949997,88.019997,87.279999,87.720001,86.582237,332600
2018-08-29,87.760002,88.019997,86.570000,86.959999,85.832085,500100
2018-08-30,86.900002,87.430000,86.209999,87.290001,86.157814,778100
2018-08-31,87.129997,87.879997,87.070000,87.220001,86.088722,644400
2018-09-04,87.169998,87.290001,86.209999,87.150002,86.019630,565900
2018-09-05,87.290001,89.279999,87.290001,89.199997,88.043030,435600
2018-09-06,89.199997,89.900002,88.690002,88.930000,87.776543,461500
2018-09-07,88.800003,89.190002,88.290001,88.709999,87.559395,341800
2018-09-10,89.000000,90.180000,89.000000,89.800003,88.635262,495500
2018-09-11,89.779999,90.160004,89.230003,89.699997,88.536552,488400
2018-09-12,89.639999,90.169998,89.139999,89.739998,88.576035,421700
2018-09-13,89.940002,89.940002,88.959999,89.339996,88.181213,471800
2018-09-14,88.959999,89.230003,87.699997,87.820000,86.885170,758000
2018-09-17,88.000000,89.110001,87.730003,88.889999,87.943779,744100
2018-09-18,89.099998,90.489998,88.790001,90.370003,89.408020,599900
2018-09-19,90.589996,91.070000,90.309998,90.580002,89.615784,472100
2018-09-20,91.120003,91.580002,90.739998,90.910004,89.942276,691300
2018-09-21,90.430000,90.779999,89.669998,90.070000,89.111214,1112600
2018-09-24,89.980003,90.309998,88.989998,89.389999,88.438454,355300
2018-09-25,89.360001,89.559998,88.800003,89.129997,88.181221,381100
2018-09-26,89.129997,90.029999,88.900002,89.529999,88.576965,347300
2018-09-27,89.650002,90.489998,89.129997,89.989998,89.032059,479200
2018-09-28,89.790001,90.779999,89.690002,90.570000,89.605888,516600
2018-10-01,91.550003,92.870003,90.709999,91.139999,90.169830,783000
2018-10-02,90.870003,91.570000,90.680000,91.320000,90.347908,509800
2018-10-03,91.339996,92.070000,90.800003,91.220001,90.248978,544400
2018-10-04,90.919998,91.150002,89.830002,90.190002,89.229942,346600
2018-10-05,90.510002,91.089996,89.150002,89.550003,88.596756,395000
2018-10-08,89.440002,89.440002,88.269997,88.370003,87.429314,763900
2018-10-09,88.300003,89.279999,86.779999,87.620003,86.687302,879600
2018-10-10,87.720001,87.720001,84.480003,84.559998,83.659866,871500
2018-10-11,84.570000,84.769997,82.620003,82.760002,81.879036,756200
2018-10-12,87.300003,87.300003,82.599998,83.769997,82.878281,696000
2018-10-15,83.589996,84.410004,83.160004,83.830002,82.937645,402200
2018-10-16,84.290001,85.309998,83.849998,85.230003,84.322739,401000
2018-10-17,84.949997,84.949997,83.290001,84.169998,83.274025,408200
2018-10-18,83.959999,84.459999,82.029999,82.709999,81.829559,532000
2018-10-19,82.800003,83.309998,81.550003,81.790001,80.919365,477400
2018-10-22,81.970001,82.040001,81.040001,81.510002,80.642342,620600
2018-10-23,80.379997,83.279999,80.040001,82.750000,81.869148,1097300
2018-10-24,82.330002,82.889999,79.639999,79.739998,78.891174,1210500
2018-10-25,81.730003,86.160004,81.629997,82.940002,82.057121,1569700
2018-10-26,82.300003,83.400002,81.489998,82.709999,81.829559,1134600
2018-10-29,83.629997,84.269997,80.360001,81.669998,80.800636,1018800
2018-10-30,81.750000,84.830002,81.750000,84.599998,83.699440,796100
2018-10-31,85.459999,86.709999,85.459999,85.730003,84.817413,712700
2018-11-01,86.139999,88.120003,85.989998,87.410004,86.479538,1096600
2018-11-02,88.180000,89.000000,87.370003,88.139999,87.201767,689200
2018-11-05,88.489998,89.220001,87.910004,88.599998,87.656868,628200
2018-11-06,88.349998,89.430000,87.779999,89.110001,88.161438,319700
2018-11-07,89.820000,89.989998,88.440002,89.769997,88.814407,480200
2018-11-08,89.779999,90.690002,89.309998,90.419998,89.457489,435600
2018-11-09,90.050003,90.500000,88.870003,89.389999,88.438454,505200
2018-11-12,89.430000,89.610001,88.379997,88.589996,87.646965,351100
2018-11-13,89.040001,90.639999,88.739998,88.870003,87.923988,664300
2018-11-14,89.370003,89.779999,86.430000,87.110001,86.182724,682400
2018-11-15,86.540001,89.540001,86.290001,88.459999,87.518356,792800
2018-11-16,88.059998,89.660004,87.720001,89.269997,88.319717,558700
2018-11-19,89.190002,89.930000,88.980003,89.440002,88.487923,705400
2018-11-20,88.750000,89.680000,88.290001,88.750000,87.805267,595200
2018-11-21,89.239998,90.480003,88.739998,89.800003,88.844093,352200
2018-11-23,89.510002,89.970001,88.599998,89.110001,88.161438,283600
