index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,205.949997,207.16000400000001,204.679993,1259200,205.815628,0.005530477806710998,48.33639515284186,0.0,0.0,0.0,-0.7679666613156795,-0.7182285714285714,-0.8843204952944514,0.057881567313126325,0.20176046027617178,0.302127504857443,0.22750341654569614,-0.31727858447934265,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,206.520004,207.740005,205.479996,1165300,205.915207,0.0004837092268865544,43.24856480397947,0.09957900000000564,0.0,0.0,-0.8234526148589799,-0.7718857142857143,-0.8788376631514083,0.07019769701645967,0.20176046027617178,0.302127504857443,0.083974875946157,-0.4900107402876024,2,0.0004838262330594528,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,206.820007,207.28999299999998,204.580002,1932400,203.913803,-0.009767097309685554,35.47326519100626,-2.001404000000008,-1.9018250000000023,0.0,-0.7099641904477582,-0.33354285714285714,-0.9890352166759069,-0.18965607870429577,0.06162856206874279,0.302127504857443,-0.20755489778751218,-0.7539826442455022,3,-0.009719554126956772,-0.009240430469157582,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
17,2019-07-25,207.029999,207.029999,203.830002,1058800,204.541107,0.003071597269830937,36.687009622849324,0.6273040000000094,-1.3740999999999985,-1.274520999999993,-0.5863814496002344,-0.8327428571428571,-0.9544957803021745,0.13546777954079983,0.10051284741650923,0.21833062803294367,0.15757361307147322,-0.7127759455277669,4,0.0030763194583743277,-0.006673135122069923,-0.0061925375268392785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,2019-07-26,205.5,206.080002,203.649994,1336800,203.714661,-0.00404867337432514,30.477235639956433,-0.8264460000000042,-0.19914199999999482,-2.2005460000000028,-0.7805777472831961,-0.6738857142857142,-1.0,-0.0443349254092399,0.18708710890429317,0.15744657601543413,-0.04492468619966397,-0.9235981572760352,5,-0.004040488545903901,-0.0009765989210646757,-0.010686660941947831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2019-07-29,204.669998,207.0,204.149994,1875400,204.690475,0.004778665941873536,31.658106809071285,0.9758139999999855,0.1493679999999813,0.7766719999999907,-0.6746514851752321,-0.3661142857142856,-0.9462715596176725,0.1785721927494901,0.21276632115792726,0.353191934487898,0.20612211917515325,-0.8835075078661869,1,0.004790101975036472,0.0007302590769687254,0.0038088250455511866,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-30,206.53999299999998,209.0,205.58999599999999,2080100,207.757294,0.014871582550758506,32.276509209544656,3.0668190000000095,4.042632999999995,3.216186999999991,-0.5334163008935511,-0.2491428571428571,-0.7774121234906097,0.4371918694917488,0.49963320674127343,0.5135845352897048,0.49316155210205415,-0.86251270802687,2,0.01498271475504666,0.01984458546162269,0.015723915095462893,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2019-07-31,209.619995,213.67999300000002,209.350006,2845100,210.71458399999997,0.01413399268497338,43.06060928468467,2.957289999999972,6.0241089999999815,6.999922999999967,-0.30139052840684166,0.18799999999999994,-0.6145833677459134,0.4236451039058644,0.6456340181368863,0.7623566304756011,0.4721847239945859,-0.4963918418216011,3,0.014234349817821424,0.029430333775912053,0.034361410050894506,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
22,2019-08-01,210.11000099999998,213.86000099999998,208.5,1691400,210.50549300000003,-0.0009927875169813546,42.21093896465104,-0.20909099999994396,2.748199000000028,5.8150180000000375,-0.04161421295088541,-0.4712571428571428,-0.6260959442492009,0.03202077461789102,0.40425561231264284,0.6844518032238507,0.04198376430800372,-0.5252382018694592,4,-0.0009922948665002892,0.01322793027906894,0.028408835340286535,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2019-08-02,211.74000499999997,216.69999700000002,210.919998,1802200,214.54811099999998,0.019022259130448704,42.70894252641491,4.042617999999948,3.8335270000000037,6.790816999999976,0.06431204915709299,-0.40794285714285716,-0.4035088936416802,0.5578806396981331,0.48422567938909256,0.7486083833103812,0.6112055128188628,-0.508330950069505,5,0.019204334967163766,0.018192983737661008,0.03268629885023423,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2019-08-05,214.63000499999998,216.19999700000002,211.32000699999998,2268700,212.984833,-0.007313050322945624,41.12417278464491,-1.5632779999999684,2.4793399999999792,2.2702490000000353,-0.16267614896177052,-0.14137142857142848,-0.48958317503547555,-0.13546777954078934,0.3844453132471884,0.45139124850226864,-0.1377625589872791,-0.5621339810642074,1,-0.007286375035946919,0.01177802994433014,0.010774047799178605,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
25,2019-08-06,214.039993,217.02999900000003,213.13999900000002,1988200,216.02177400000002,0.014158251557835216,48.41066283089065,3.036941000000013,1.4736630000000446,5.516280999999992,-0.4123581479814534,-0.30165714285714285,-0.32236882530986044,0.433496498748157,0.31034415935892673,0.664810520269765,0.4728746388506719,-0.3147571922047141,2,0.014258954298403083,0.006868683173817572,0.026204926633434652,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,2019-08-07,216.02999900000003,219.00999500000003,211.539993,1827800,216.499725,0.0022100690747035314,54.749059592676176,0.47795099999999024,3.5148920000000032,1.9516140000000348,0.49054193773096144,-0.3933142857142857,-0.2960527837187641,0.1169955020567713,0.46074774246780686,0.43044171699437306,0.13307201713415903,-0.09956822913795071,3,0.002212513077501114,0.016503015498760903,0.00909639330266597,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27,2019-08-08,217.539993,221.36999500000002,216.0,1389700,220.07437099999999,0.016376261992448515,61.46847403417536,3.574645999999973,4.052596999999963,7.089537999999976,-0.03909366032084738,-0.6436571428571428,-0.09923232971940799,0.5000009276149862,0.5003673827215736,0.7682486143006053,0.5359541709669772,0.12855630777960303,4,0.016511087947109277,0.01876013202261714,0.03328658618616273,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28,2019-08-09,221.61999500000002,224.710007,219.479996,1251300,221.27919,0.005459668162806764,66.6127844342495,1.2048190000000147,4.779464999999988,5.257415999999978,-0.07439854718917616,-0.7227428571428571,-0.032894845513403936,0.20689598875780563,0.5539250931240769,0.6477907312516356,0.22548961213021781,0.30320596482847484,5,0.005474599311702746,0.02207607884952273,0.024337435540178358,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
29,2019-08-12,222.00999500000003,222.97000099999997,220.42999300000002,883800,221.26924100000002,-4.496231058445848e-05,62.506658744576015,-0.009948999999977559,1.1948700000000372,4.76951600000001,-0.7528350227181537,-0.9327428571428571,-0.03344263869259834,0.05665105511258022,0.2898018947988622,0.6157124083344998,0.06893962060810294,0.1638027430690141,1,-4.496129979496743e-05,0.005429391866806868,0.022030124980528313,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30,2019-08-13,222.67999300000002,223.58999599999999,219.36999500000002,2468800,220.15403700000002,-0.005052775547762424,60.74250270859068,-1.1152040000000056,-1.1251529999999832,0.07966600000003154,-0.32912972207969715,-0.027028571428571402,-0.09484590983662322,-0.08004909185874176,0.11885597344705721,0.30736536440554246,-0.07348104207110595,0.10390953626308419,2,-0.005040031750278411,-0.005084766443694878,0.00036199580913504715,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
31,2019-08-14,221.07000699999998,221.61999500000002,218.460007,2092700,217.943527,-0.010091490759786667,58.08291866935515,-2.2105100000000277,-3.3257140000000334,-3.335663000000011,-0.596471982937713,-0.24194285714285724,-0.21655686576628064,-0.21551872662951416,-0.043287646523889,0.08281519730108072,-0.21678054737627972,0.013616493226947801,3,-0.010040742518839333,-0.015030168608026423,-0.015074454131904636,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
32,2019-08-15,219.25,224.57000699999998,218.850006,1773200,223.240768,0.02401488738699164,63.82284887538325,5.297241000000014,3.086730999999986,1.9715269999999805,0.04918015835294498,-0.4245142857142856,0.07510988349057435,0.7130549193834596,0.42919961702598475,0.4317509517642998,0.7531943193360334,0.20848747961859693,4,0.024305567010485307,0.014020778551519298,0.008910081632177607,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
33,2019-08-16,225.100006,225.42999300000002,221.92999300000002,1681900,221.976196,-0.005680715259980424,63.76036786272888,-1.2645720000000154,4.0326689999999985,1.8221589999999708,-0.5107187168939441,-0.47668571428571427,0.005482391662045671,-0.09852322457274282,0.49889903076097114,0.4219303431611283,-0.09133945365737275,0.20636624536492598,5,-0.0056646105069841695,0.018503274933235336,0.008276745795036095,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
34,2019-08-19,224.039993,225.690002,222.830002,1415900,224.226532,0.01008669350549666,63.011921484879494,2.2503360000000043,0.985763999999989,6.283005000000003,-0.6721309325452085,-0.6286857142857143,0.1293861721122216,0.3362076205179068,0.2743943674466771,0.715220891371056,0.3570807846298423,0.18095644443048386,1,0.01013773566963912,0.0044156988386636845,0.028828591913170255,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2019-08-20,225.50999500000003,227.38999900000002,223.52999900000003,1620700,224.59493999999998,0.0016416687067084155,61.3592547857141,0.3684079999999881,2.6187439999999924,1.354171999999977,-0.4199243455901137,-0.5116571428571428,0.14967076247921085,0.10344700492291581,0.3947169981486437,0.39116125501392107,0.11690688611929131,0.12484830752234433,2,0.0016430169824862121,0.011797409123994506,0.006065970889331366,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
36,2019-08-21,225.55000299999998,227.479996,224.789993,1279500,226.40716600000002,0.008036484661354716,67.7004015569033,1.812226000000038,2.180634000000026,4.4309700000000305,-0.7150052957078125,-0.7066285714285714,0.24945215176068025,0.2820213002663814,0.36243580196936753,0.5934537735521577,0.29877347795040715,0.3401306335788734,3,0.008068863884467025,0.009725138147344785,0.01996146469687241,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
37,2019-08-22,227.77999900000003,228.77999900000003,224.99000499999997,1073000,227.532318,0.004957287673123184,66.79594731261346,1.1251519999999857,2.937378000000024,3.305786000000012,-0.4375803199164723,-0.8246285714285714,0.3114031610237742,0.1970426150035426,0.4181948613870754,0.5194754671508512,0.2112020660758524,0.3094243559057104,4,0.004969595352825474,0.013078558225755326,0.01474306350151289,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,2019-08-23,228.940002,231.63999900000002,225.57000699999998,1497100,225.600632,-0.008525964406282309,75.65224707811332,-1.9316860000000133,-0.8065340000000276,1.0056920000000105,0.1374501939279642,-0.5822857142857143,0.2050442892629878,-0.18103321715058587,0.14233273144263858,0.3682494821707911,-0.17225746112126955,0.610096282067915,5,-0.008489721446955124,-0.0035623165743792207,0.004477803462535757,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2019-08-26,227.57000699999998,230.149994,226.11000099999998,968500,229.08566299999998,0.015329686803304404,74.58529792521378,3.485030999999992,1.5533449999999789,2.6784969999999646,-0.37452892538429916,-0.8843428571428571,0.3969305302003665,0.48891716534217855,0.3162153567156526,0.47823263233968083,0.5061898956391859,0.5738732921721648,1,0.01544778917108704,0.006826920297098098,0.01183044268130614,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,2019-08-27,230.77999900000003,231.770004,229.02999900000003,1584000,228.80683900000002,-0.0012178580485342361,74.4222422056676,-0.27882399999995755,3.2062070000000347,1.2745210000000213,-0.7023944619468894,-0.5326285714285715,0.38157844603149904,0.02339605783420507,0.43800294996683764,0.3859243816819442,0.0355828278642583,0.5683375403835116,2,-0.0012171167603795335,0.014211870647596566,0.005601494377603191,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
41,2019-08-28,229.55000299999998,231.52999900000003,228.580002,1143700,229.15535,0.0015220080419231848,68.54378456594048,0.3485109999999736,0.06968700000001604,3.5547180000000083,-0.6494330963390009,-0.7842285714285714,0.4007675051002195,0.10098610420381451,0.20689519748405544,0.5358421838559319,0.11350377374904028,0.36876353902856507,3,0.0015231668840107247,0.0003041962516878066,0.015756684582337553,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,2019-08-29,231.0,231.5,229.13000499999998,986200,229.424194,0.0011725077331402895,68.19700750252109,0.2688440000000014,0.617354999999975,0.33853100000001746,-0.7957134211861316,-0.8742285714285714,0.41557008922603345,0.0911327304495585,0.2472489400352683,0.32438515342367,0.10356409284921939,0.3569904362240106,4,0.0011731953890668555,0.002698149245442681,0.0014777485223945136,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
