Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,237.970001,238.449997,235.380005,238.270004,234.950394,698000
2018-07-03,238.880005,240.119995,237.619995,238.729996,235.403992,569100
2018-07-05,239.720001,241.759995,238.169998,240.050003,236.705597,703300
2018-07-06,240.250000,242.800003,239.550003,242.149994,238.776352,803000
2018-07-09,240.380005,249.050003,239.990005,248.690002,245.225235,1607200
2018-07-10,250.000000,250.580002,248.699997,249.520004,246.043686,1262700
2018-07-11,249.020004,252.050003,247.449997,249.580002,246.102829,922300
2018-07-12,250.860001,252.410004,249.970001,250.580002,247.088898,1451700
2018-07-13,250.179993,250.919998,249.710007,250.509995,247.019867,1016000
2018-07-16,250.429993,250.429993,247.500000,248.279999,244.820953,1027800
2018-07-17,243.529999,247.020004,242.000000,246.029999,242.602280,1387700
2018-07-18,246.100006,249.410004,245.850006,248.630005,245.166061,1090800
2018-07-19,248.570007,249.229996,246.550003,248.639999,245.175919,947600
2018-07-20,246.160004,249.289993,246.009995,248.520004,245.057587,863900
2018-07-23,248.389999,251.089996,247.690002,248.830002,245.363266,1012400
2018-07-24,249.429993,250.000000,245.210007,246.080002,242.651611,1468400
2018-07-25,247.399994,248.750000,240.289993,247.929993,244.475800,2443000
2018-07-26,249.529999,251.179993,246.619995,247.080002,243.637650,999400
2018-07-27,247.910004,249.869995,246.770004,249.479996,246.004211,1056400
2018-07-30,249.229996,253.889999,249.229996,252.210007,248.696198,1520600
2018-07-31,251.960007,253.669998,251.179993,253.000000,249.475189,1336500
2018-08-01,255.000000,256.380005,250.009995,252.270004,248.755356,1328400
2018-08-02,251.389999,257.079987,251.300003,256.529999,252.955994,938800
2018-08-03,256.540009,258.589996,254.419998,257.950012,254.356232,767500
2018-08-06,257.140015,259.209991,256.929993,258.130005,254.533737,808700
2018-08-07,258.130005,259.559998,257.760010,257.970001,254.375916,591400
2018-08-08,258.779999,260.869995,257.369995,260.540009,256.910126,772300
2018-08-09,260.459991,263.239990,260.459991,261.130005,257.491913,697100
2018-08-10,260.239990,262.140015,259.149994,260.040009,256.417084,700500
2018-08-13,260.850006,264.549988,260.049988,262.940002,259.276672,913600
2018-08-14,263.170013,266.000000,263.010010,264.970001,261.278442,931100
2018-08-15,263.910004,265.059998,262.290009,264.170013,260.489594,913700
2018-08-16,265.649994,268.040009,264.480011,266.529999,262.816681,1073700
2018-08-17,266.920013,267.299988,263.859985,263.950012,260.272644,940100
2018-08-20,263.950012,263.959991,262.410004,263.170013,259.503510,870100
2018-08-21,262.790009,263.779999,261.899994,262.600006,258.941437,727700
2018-08-22,262.809998,263.470001,260.809998,262.940002,259.276672,661200
2018-08-23,262.790009,265.559998,262.350006,264.279999,260.598022,761900
2018-08-24,264.350006,266.000000,263.890015,265.380005,261.682709,883600
2018-08-27,266.380005,266.869995,264.709991,266.230011,262.520874,815500
2018-08-28,267.260010,267.709991,266.299988,266.709991,262.994141,691500
2018-08-29,266.959991,268.130005,265.790009,267.130005,263.408295,650300
2018-08-30,267.019989,267.019989,264.309998,265.010010,261.317902,769400
2018-08-31,264.320007,265.390015,263.179993,264.730011,261.041779,1149100
2018-09-04,264.170013,266.109985,262.709991,263.700012,260.026093,1164200
2018-09-05,267.390015,268.279999,265.220001,267.850006,264.118286,2045000
2018-09-06,267.779999,272.359985,267.040009,270.890015,267.115936,1502600
2018-09-07,269.869995,273.140015,269.359985,271.899994,268.856232,1824000
2018-09-10,267.730011,269.040009,261.760010,262.589996,259.650482,1984500
2018-09-11,261.940002,264.279999,260.799988,264.170013,261.212799,1294200
2018-09-12,263.750000,267.809998,263.690002,266.339996,263.358490,873700
2018-09-13,267.470001,270.880005,265.950012,270.339996,267.313690,1204400
2018-09-14,270.200012,272.260010,269.769989,270.779999,267.748779,1030200
2018-09-17,272.170013,274.000000,269.299988,269.630005,266.611664,970000
2018-09-18,269.290009,272.700012,268.989990,270.970001,267.936646,1080700
2018-09-19,271.760010,272.660004,270.399994,271.850006,268.806793,1101000
2018-09-20,272.350006,275.070007,272.089996,274.119995,271.051392,1267700
2018-09-21,274.220001,276.000000,272.519989,272.519989,269.469269,2717000
2018-09-24,271.899994,274.690002,270.600006,273.230011,270.171326,1047000
2018-09-25,273.730011,274.329987,269.700012,270.250000,267.224701,1172400
2018-09-26,270.000000,271.529999,268.869995,269.459991,266.443542,786600
2018-09-27,270.000000,273.220001,269.649994,271.640015,268.599152,916900
2018-09-28,271.609985,274.220001,269.959991,274.049988,270.982147,1053800
2018-10-01,274.760010,278.109985,273.769989,276.200012,273.108124,1015300
2018-10-02,276.299988,277.850006,275.049988,276.119995,273.029022,922500
2018-10-03,276.920013,277.200012,275.309998,276.239990,273.147614,707200
2018-10-04,276.410004,276.880005,273.220001,274.989990,271.911621,693900
2018-10-05,275.660004,277.980011,274.309998,275.920013,272.831268,655900
2018-10-08,275.950012,277.989990,274.609985,277.390015,274.284760,833300
2018-10-09,277.420013,280.429993,275.220001,279.179993,276.054718,923800
2018-10-10,279.049988,279.529999,272.049988,272.649994,269.597809,1997600
2018-10-11,272.350006,274.589996,266.029999,268.519989,265.514038,2016100
2018-10-12,269.489990,272.910004,267.720001,271.410004,268.371735,1326700
2018-10-15,270.989990,271.929993,267.320007,267.380005,264.386810,1305300
2018-10-16,270.929993,279.079987,270.000000,278.420013,275.303284,1417800
2018-10-17,276.920013,281.399994,275.700012,279.579987,276.450256,1067900
2018-10-18,279.679993,282.549988,277.910004,281.190002,278.042236,903800
2018-10-19,281.089996,283.059998,278.510010,279.149994,276.025055,1054100
2018-10-22,279.260010,280.510010,272.790009,275.730011,272.643341,955100
2018-10-23,271.920013,276.119995,268.510010,274.089996,271.021729,1654900
2018-10-24,273.529999,276.470001,265.100006,265.429993,262.458649,1753600
2018-10-25,266.440002,273.690002,263.890015,270.929993,267.897064,1893000
2018-10-26,269.709991,270.000000,263.510010,265.750000,262.775085,1653700
2018-10-29,267.920013,269.480011,259.720001,263.519989,260.570038,2257600
2018-10-30,264.339996,267.250000,261.600006,265.489990,262.517975,1904100
2018-10-31,270.000000,279.200012,266.000000,275.570007,272.485138,2621600
2018-11-01,278.570007,279.649994,264.299988,265.929993,262.953064,2286900
2018-11-02,267.480011,275.279999,266.209991,268.000000,264.999878,1430800
2018-11-05,268.959991,271.500000,268.079987,269.179993,266.166656,1066200
2018-11-06,268.859985,273.380005,268.859985,272.010010,268.965027,984400
2018-11-07,274.679993,290.839996,274.209991,289.940002,286.694305,2393500
2018-11-08,289.010010,289.529999,285.079987,287.369995,284.153046,1763400
2018-11-09,287.720001,288.600006,284.679993,287.059998,283.846497,918300
2018-11-12,287.209991,288.239990,282.230011,282.670013,279.505676,863300
2018-11-13,282.899994,284.589996,278.320007,280.250000,277.112762,1109400
2018-11-14,281.769989,283.910004,275.760010,280.100006,276.964447,1537600
2018-11-15,279.059998,284.890015,276.859985,284.140015,280.959198,1945200
2018-11-16,284.149994,288.940002,283.489990,286.329987,283.124664,1378700
