index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,92.489998,92.970001,91.949997,805700,91.282501,-0.002262123255243115,65.48088600235354,0.0,0.0,0.0,-0.8840579523442758,-0.8649773556537523,0.6895931908143673,-0.13538756227990845,-0.04668672071338864,-0.05560325377795872,-0.04664812001506436,0.296526036156034,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,93.540001,94.190002,92.860001,1651900,91.764847,0.005270189617010154,66.9942041431566,0.4823460000000068,0.0,0.0,-0.784219933046685,-0.5546673022974385,0.7151925979285618,-0.04485992639489389,-0.04668672071338864,-0.05560325377795872,0.059669523872017474,0.3353222871068946,2,0.005284101494984311,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,92.510002,95.550003,90.730003,2684300,93.713936,0.02101761416779875,68.50507243531224,1.9490890000000007,2.4314350000000076,0.0,0.33977348466562063,-0.17607583564055085,0.8186360240434221,0.23042125400442837,0.33720078295250866,-0.05560325377795872,0.28194243047110185,0.3740557323988829,3,0.02124003977252859,0.026636375793428445,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,2018-07-26,95.099998,95.91999799999999,93.16999799999999,1796700,91.794388,-0.020695745314346377,69.17217689470067,-1.919548000000006,0.02954099999999471,0.5118870000000015,-0.3268932893547968,-0.501567685509452,0.7167604187160466,-0.4956520661999286,-0.0420226352059446,0.008513720397676228,-0.3068363648300362,0.3911579869209476,4,-0.02048305814409509,0.0003219206587899036,0.0056077232152085925,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
18,2018-07-27,93.5,94.839996,92.860001,1367800,92.14875,0.003852956323744673,62.22782649286966,0.35436200000000895,-1.565185999999997,0.38390300000000366,-0.5748820571468682,-0.6588496305396139,0.7355673687141815,-0.0688802125610637,-0.2938063625351146,-0.00751705753357481,0.039665455117337475,0.21312882463443827,5,0.0038603885021817343,-0.01670174220406234,0.004183551899781445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
19,2018-07-30,94.370003,94.93,92.400002,1677300,91.05609100000001,-0.011928417938631572,54.52120193728259,-1.0926589999999976,-0.7382969999999887,-2.6578449999999947,-0.3977474070446688,-0.5453528667558994,0.6775769996057237,-0.3404599296230242,-0.16325286058306057,-0.3885145784020254,-0.1830866473685695,0.015557585526737805,1,-0.011857556396587013,-0.008042942668782634,-0.028361256750543427,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-07-31,93.029999,98.400002,92.989998,3635800,96.539139,0.05847281036434256,64.46890192624608,5.483047999999997,4.390388999999999,4.744751000000008,0.5297909065685851,0.17284878710647433,0.968577190295953,0.8936815559133594,0.6464905484022611,0.5387057975103484,0.8106177893524278,0.27058225928826585,2,0.060216158411632185,0.04764458552069343,0.051688900633010466,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-08-01,98.010002,98.349998,95.459999,2265800,94.39316600000001,-0.02247983514652387,71.51752525626117,-2.145972999999998,3.3370749999999987,2.244416000000001,-0.281805037327702,-0.32954399603953133,0.8546845976693547,-0.538147950804058,0.4801878991287498,0.22552356270962842,-0.332018567250057,0.45128461935132735,3,-0.022229046397440916,0.03664856423498345,0.024356445421126176,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
22,2018-08-02,95.160004,96.889999,94.0,1416500,95.259438,0.009135419249147809,66.46848720066296,0.866271999999995,-1.2797010000000029,4.203346999999994,-0.281805037327702,-0.6409908505839857,0.9006599962413908,0.027196052373020724,-0.24873251767228413,0.4708916387476014,0.11422675145150271,0.3218447202422834,4,0.009177274549727414,-0.013255773909481447,0.04616217272054863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,97.160004,98.610001,97.08000200000001,1433000,96.913208,0.017211719365300922,67.4521271072614,1.6537699999999944,2.5200419999999895,0.37406899999999155,-0.719808328471554,-0.6349401345825922,0.98843004409758,0.17499520941832875,0.3511905133122827,-0.00874882611539847,0.22822270651032395,0.34706185048921445,5,0.017360694485726386,0.026697292895123247,0.003874791135230567,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
