Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,204.080002,204.080002,199.279999,202.309998,200.883560,513000
2019-07-02,202.889999,205.710007,202.600006,205.559998,204.110641,672900
2019-07-03,206.449997,209.369995,206.039993,209.330002,207.854065,405400
2019-07-05,207.949997,208.279999,204.320007,207.869995,206.404358,294700
2019-07-08,207.970001,210.289993,207.940002,210.110001,208.628571,509300
2019-07-09,209.919998,211.820007,209.229996,211.509995,210.018692,582400
2019-07-10,212.720001,214.100006,211.020004,213.770004,212.262772,624700
2019-07-11,213.380005,213.529999,210.210007,211.399994,209.909470,577300
2019-07-12,211.500000,211.699997,209.710007,210.479996,208.995956,410900
2019-07-15,210.529999,212.539993,209.899994,211.289993,209.800247,409300
2019-07-16,211.289993,211.500000,209.889999,211.009995,209.522217,446100
2019-07-17,211.240005,212.139999,209.220001,210.970001,209.482498,465900
2019-07-18,210.610001,210.889999,208.360001,210.190002,208.708008,355600
2019-07-19,210.479996,211.059998,206.089996,206.830002,205.371689,562100
2019-07-22,207.080002,207.270004,204.720001,205.149994,203.703537,411600
2019-07-23,205.619995,207.440002,204.070007,206.839996,205.381622,488900
2019-07-24,207.309998,207.309998,205.649994,206.850006,205.391556,333200
2019-07-25,206.850006,207.220001,205.380005,206.850006,205.391556,372400
2019-07-26,206.979996,208.500000,206.479996,208.380005,206.910767,527900
2019-07-29,209.149994,211.800003,208.320007,210.440002,208.956238,456900
2019-07-30,209.899994,213.179993,209.899994,210.860001,209.373276,767100
2019-07-31,210.860001,213.559998,207.690002,208.789993,207.317871,912600
2019-08-01,203.740005,204.589996,199.369995,203.139999,201.707703,1511400
2019-08-02,203.630005,207.460007,203.240005,205.759995,204.309235,857300
2019-08-05,204.940002,206.990005,197.850006,200.619995,199.205475,716000
2019-08-06,200.619995,203.669998,199.470001,203.089996,201.658066,689900
2019-08-07,202.529999,206.149994,200.279999,204.270004,202.829742,604300
2019-08-08,203.970001,206.649994,202.669998,206.520004,205.063889,548400
2019-08-09,206.089996,207.479996,203.649994,206.009995,204.557465,847000
2019-08-12,205.869995,207.570007,204.889999,205.559998,204.110641,452400
2019-08-13,205.460007,205.460007,202.529999,204.199997,202.760239,911700
2019-08-14,204.009995,204.830002,201.210007,201.589996,200.168640,552000
2019-08-15,202.199997,204.869995,201.880005,204.419998,202.978683,607600
2019-08-16,205.119995,206.850006,203.830002,205.839996,204.388672,544600
2019-08-19,206.910004,208.479996,205.270004,207.710007,206.245499,374100
2019-08-20,208.259995,209.130005,206.169998,206.539993,205.083725,634600
2019-08-21,207.089996,208.740005,206.309998,207.949997,206.483795,422000
2019-08-22,208.250000,209.320007,206.960007,208.880005,207.407242,347700
2019-08-23,208.630005,209.990005,205.509995,206.160004,204.706421,602700
