index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,100.150002,101.400002,100.010002,2617900,99.398392,0.010627377687023416,75.77984839879909,0.0,0.0,0.0,-0.6727999330879206,-0.6663984503054687,-0.4386326686686912,0.041942922790444204,0.17908105802980767,0.15083162420008533,0.225392692877058,0.5483490869496972,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,101.459999,102.089996,101.16999799999999,3155100,99.87957800000001,0.004829303863258826,80.07057079436782,0.4811860000000081,0.0,0.0,-0.8650298292494509,-0.5596682064272588,-0.41449712569521413,0.1497226528696266,0.17908105802980767,0.15083162420008533,0.10309979670948913,0.6563277198463058,2,0.004840983745491658,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,101.230003,102.779999,101.08000200000001,2549400,100.783012,0.009004569355603221,80.16712395727167,0.9034339999999901,1.3846199999999982,0.0,-0.5460117681005676,-0.680007947151443,-0.3691822783582195,0.24430099776426592,0.4017315869739584,0.15083162420008533,0.19116444108060532,0.6587575387837807,3,0.009045232449820624,0.013930004018576057,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
17,2018-07-26,102.839996,103.150002,102.360001,2744000,100.65535,-0.0012675045192381527,80.47546122522957,-0.12766200000000083,0.7757719999999892,1.2569579999999974,-0.9181983472798239,-0.6413450553817117,-0.37558560615054937,0.013348209101000947,0.3038272310881627,0.30230319801882494,-0.025494004807540115,0.666517033245495,4,-0.0012667015746661832,0.00776707326496703,0.012645657285884437,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-07-27,102.870003,104.239998,102.66999799999999,3815800,101.98105600000001,0.013084765376032733,80.10293862509529,1.325706000000011,1.19804400000001,2.101478,-0.5991802861309349,-0.4284011324690806,-0.3090902506472819,0.3388847183629492,0.37172967663878964,0.40407332360886267,0.2772238814113832,0.6571422759488841,5,0.013170745519239772,0.01188736054048484,0.021040116929608974,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-07-30,102.730003,103.110001,100.349998,4423000,99.035042,-0.02931332344333045,71.63034813218181,-2.9460140000000052,-1.6203079999999943,-1.7479699999999951,-0.11247139314343557,-0.30776337356578753,-0.4568577407601744,-0.6179278833624524,-0.08146871970880515,-0.05981007336494237,-0.6170360454695102,0.44392439462838107,1,-0.028887855407184693,-0.016097584480109544,-0.01734389521916645,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
20,2018-07-31,101.050003,101.199997,99.440002,4330400,97.728973,-0.013275681350048479,64.09058216019113,-1.306069000000008,-4.252083000000013,-2.9263770000000022,-0.5214727037776534,-0.3261610291561119,-0.5223681348194882,-0.25060042694289425,-0.504665044918608,-0.2018157433149494,-0.27877031121003637,0.25418160845868565,2,-0.013187948160813704,-0.041694832028411365,-0.029073238531285246,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
21,2018-08-01,99.900002,100.93,99.16999799999999,3315400,97.660248,-0.000703467698805554,57.66369687419263,-0.06872500000000059,-1.3747940000000085,-4.320808000000014,-0.5214698407913727,-0.5278199970198183,-0.5258152741603093,0.026549370297870127,-0.04198942433304059,-0.3698537033356033,-0.013597347674074464,0.09244514010031701,3,-0.0007032203234142305,-0.013881894451057116,-0.042368731698561875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22,2018-08-02,98.900002,99.93,98.66999799999999,2481800,97.935211,0.0028115497418327055,58.75861135470603,0.2749629999999996,0.20623799999999903,-1.0998310000000089,-0.7259688601163254,-0.6934386330899519,-0.5120235568148006,0.1035312439838324,0.21224466955382407,0.018294870780607597,0.06054135354999283,0.11999932744803199,4,0.002815505854541754,0.0021103056101899184,-0.011105473151614444,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2018-08-03,99.959999,100.900002,99.699997,1830400,98.97612,0.010572461122446364,57.599921630501775,1.0409089999999992,1.3158719999999988,1.2471469999999982,-0.7505075154412078,-0.8228579943376546,-0.45981317683496314,0.27509370244111925,0.3906767281940387,0.301120909023699,0.22423439342557905,0.09084019739101978,5,0.010628547070777223,0.013473977661822022,0.01276128216347877,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
