Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,125.300003,126.400002,124.550003,124.919998,124.056099,4008800
2019-07-02,124.779999,125.330002,124.599998,125.099998,124.234848,4076100
2019-07-03,125.209999,126.050003,124.940002,125.860001,125.380470,3714300
2019-07-05,126.129997,126.190002,124.309998,125.400002,124.922218,3731500
2019-07-08,124.989998,125.230003,124.639999,124.849998,124.374313,3332000
2019-07-09,124.269997,126.040001,124.180000,125.900002,125.420319,2237100
2019-07-10,126.699997,128.419998,126.699997,126.889999,126.406540,2733800
2019-07-11,126.980003,127.690002,126.440002,127.279999,126.795059,2928100
2019-07-12,127.550003,128.000000,126.870003,127.959999,127.472466,1639400
2019-07-15,128.250000,128.679993,127.760002,128.570007,128.080154,2355700
2019-07-16,129.220001,129.339996,127.800003,128.059998,127.572083,2734000
2019-07-17,128.020004,128.639999,127.010002,127.080002,126.595818,2248900
2019-07-18,126.690002,129.089996,126.660004,128.399994,127.910782,3524500
2019-07-19,126.800003,128.000000,123.800003,124.820000,124.344429,7819000
2019-07-22,124.750000,126.010002,124.699997,126.000000,125.519936,4839700
2019-07-23,126.379997,128.979996,126.360001,128.199997,127.711548,4055100
2019-07-24,127.709999,128.220001,126.790001,127.949997,127.462502,3628300
2019-07-25,127.809998,128.190002,126.500000,127.150002,126.665550,2663500
2019-07-26,127.089996,127.559998,126.300003,126.779999,126.296959,4236200
2019-07-29,126.910004,127.459999,126.540001,127.190002,126.705406,1829500
2019-07-30,126.570000,126.910004,126.300003,126.470001,125.988144,1575400
2019-07-31,126.529999,126.589996,123.620003,124.370003,123.896149,3221000
2019-08-01,123.769997,126.129997,123.519997,124.089996,123.617210,4489800
2019-08-02,123.919998,124.910004,123.080002,124.309998,123.836372,3268800
2019-08-05,122.459999,123.080002,120.160004,120.720001,120.260056,5876200
2019-08-06,121.059998,122.849998,120.870003,122.550003,122.083084,3497000
2019-08-07,120.919998,123.849998,120.220001,123.540001,123.069305,3170800
2019-08-08,123.849998,125.699997,123.699997,125.290001,124.812637,2976100
2019-08-09,125.580002,126.739998,124.720001,126.169998,125.689285,2138300
2019-08-12,124.989998,125.709999,123.800003,123.949997,123.477745,2918000
2019-08-13,123.860001,126.500000,122.510002,126.320000,125.838715,3175700
2019-08-14,124.349998,125.330002,122.129997,122.650002,122.182701,5626300
2019-08-15,122.650002,123.000000,121.139999,122.379997,121.913727,3031700
2019-08-16,123.500000,124.750000,122.690002,124.629997,124.155151,2343400
2019-08-19,126.099998,126.150002,124.339996,124.400002,123.926033,3286700
2019-08-20,123.629997,123.779999,121.339996,121.419998,120.957382,3641600
2019-08-21,122.500000,123.059998,121.989998,122.500000,122.033272,2948300
2019-08-22,123.309998,123.709999,121.769997,122.269997,121.804146,2322100
2019-08-23,122.000000,122.050003,117.059998,117.760002,117.311333,4800400
2019-08-26,118.330002,118.940002,117.379997,118.529999,118.078392,3170600
2019-08-27,119.089996,119.339996,116.849998,117.750000,117.301369,3145800
2019-08-28,117.029999,119.309998,116.970001,119.089996,118.636261,2327400
2019-08-29,120.459999,121.199997,119.959999,120.739998,120.279976,1901300
2019-08-30,121.470001,121.660004,119.820000,120.370003,119.911385,2366200
2019-09-03,119.860001,120.279999,117.519997,117.599998,117.151939,3198700
2019-09-04,118.419998,118.730003,117.800003,118.400002,117.948891,3746900
