index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,52.459998999999996,53.360001000000004,52.32,8353500,51.380359999999996,0.014946798189108625,37.759694949952454,0.0,0.0,0.0,-0.3650779919396886,-0.35960271612445527,0.742857698747259,0.3446982094779767,0.2873994261794297,0.18586731696176195,0.4799159028638573,-0.3058110158586197,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,53.509997999999996,54.470001,53.43,5026100,52.287354,0.017498546235503433,42.62250471510603,0.9069940000000045,0.0,0.0,-0.3650779919396886,-0.6968278098712881,0.8905281173582198,0.5889278423219374,0.2873994261794297,0.18586731696176195,0.5127424629137026,-0.18410468776430333,2,0.017652542722550107,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,54.25,54.25,53.279999,10071800,51.428604,-0.01656002878208047,39.33290217756278,-0.8587500000000006,0.04824400000000395,0.0,-0.4206334593119627,-0.1854565724130941,0.7507124493580326,0.11345941715437774,0.29998507795205004,0.18586731696176195,0.07460129940562735,-0.2664368095353655,3,-0.016423665270956348,0.0009389579987373377,1.0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,53.299999,53.799999,53.259997999999996,6657900,51.525096999999995,0.0018744936280466512,37.94322510566212,0.09649299999999528,-0.7622570000000053,0.14473699999999923,-0.7619027588845018,-0.5314482618830445,0.7664227646446031,0.37068123688721094,0.08854565859710795,0.2191902592032538,0.31174930378686755,-0.30121762594111456,4,0.0018762515894850127,-0.014578228609541138,0.002816971309659941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
18,2018-07-27,53.459998999999996,53.810001,53.310001,3651300,51.53474,0.00018713400503729763,38.4450689262651,0.009643000000004065,0.10613599999999934,-0.7526140000000012,-0.7936495338896237,-0.8361609405087667,0.7679927704513281,0.3472948157945734,0.3150876513792206,0.012592253556148125,0.2900425321999713,-0.28865748650895184,5,0.00018715151569737105,0.0020637542485111853,-0.014393805431424225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2018-07-30,53.209998999999996,53.779999,53.18,4271600,51.854836,0.00619205601051329,39.09775028093125,0.3200959999999995,0.32973900000000356,0.42623199999999883,-0.7142853741501975,-0.7732948211209081,0.8201085620835711,0.43089164466588303,0.37342007599809646,0.2839991306477966,0.3672919036988126,-0.27232218759159177,1,0.0062112664195065215,0.0063995803831287034,0.008287839195479598,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2018-07-31,53.799999,53.810001,53.209998999999996,3918600,51.864536,0.00018704316929877069,43.20240664955065,0.009700000000002262,0.32979600000000175,0.3394390000000058,-0.7142829932015906,-0.8090706395054221,0.821687848231579,0.34731016439563545,0.3734349458710551,0.2640166926674212,0.29004136365794786,-0.1695909110581284,2,0.00018706066296308917,0.006399488966083884,0.0065878381558409456,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-08-01,53.599998,54.150002,52.950001,6482000,51.680240999999995,-0.0035597197647046553,41.849201350050286,-0.18429500000000587,-0.1745950000000036,0.14550099999999588,-0.2380940665173511,-0.5492753623188406,0.7916822254844513,0.29507241241098514,0.24185196180581825,0.2193661556766669,0.2418417231725296,-0.20345891250456338,3,-0.0035533914735110302,-0.0033669955103127432,0.002823357603045943,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2018-08-02,52.939999,53.009997999999996,52.32,5394400,51.049751,-0.012274855748396239,41.337603931587616,-0.6304899999999947,-0.8147850000000005,-0.8050849999999983,-0.6428577097496659,-0.6595013681970204,0.6890302539939865,0.174923832567229,0.0748424184778789,0.0005118034821985917,0.12972723165154515,-0.21626316483411268,4,-0.012199827009320539,-0.01570986772155834,-0.015525745756866308,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,52.650002,52.91,52.470001,4734400,51.185551000000004,0.0026566181585442813,41.5632694259919,0.13580000000000325,-0.4946899999999914,-0.6789849999999973,-0.8412692995725406,-0.7263910003040438,0.7111402600660979,0.3812655783251912,0.15834719014185136,0.02954393083492926,0.321810821381879,-0.21061521230708924,5,0.002660150095541176,-0.009572130284763794,-0.013091508232137608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,2018-08-06,52.779999,53.400002,52.650002,4136700,51.437744,0.0049149368606221586,41.200134455197066,0.25219299999999834,0.3879930000000016,-0.24249699999999308,-0.5952371504172171,-0.7869666565318739,0.7522005602232698,0.41260715242116736,0.3886170861623063,0.13003699351485573,0.35086260593803276,-0.21970374877725485,1,0.004927034975163173,0.007600291723264264,-0.00469225753030047,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,2018-08-07,53.150002,53.549999,52.93,4959500,51.350449,-0.0016985417962838733,39.46746088721258,-0.08729500000000456,0.16489799999999377,0.300697999999997,-0.6984123834724025,-0.7035775818384514,0.7379877989562216,0.3211919615875667,0.33041718602524056,0.2550973140332231,0.2657845534335863,-0.2630690762174923,2,-0.0016971000905483832,0.003221573213112305,0.005890293176944135,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
