index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,48.869999,49.75,48.599998,3679400,48.651871,-0.009334437089074688,73.2421555061462,0.0,0.0,0.0,-0.6819783166230976,-0.4023355474608955,-0.6608476575359008,0.10161415544529073,0.3279552216264723,0.34564853620690794,-0.07804395606892747,0.5756754008788716,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,49.23,49.98,49.040001000000004,2152700,48.90976,0.005286701298571268,71.26739913772403,0.2578889999999987,0.0,0.0,-0.7561842712478672,-0.7294621812727662,-0.6475162134643919,0.17281573823646734,0.3279552216264723,0.34564853620690794,0.21421675672297694,0.5134621922931142,3,0.005300700562985516,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,49.060001,49.389998999999996,48.810001,1426700,48.473328,-0.008963259039573384,66.5428392412397,-0.4364319999999964,-0.17854299999999768,0.0,-0.8833930152699552,-0.8850224983929719,-0.6700773494531962,-0.01888206262030606,0.29096661613810565,0.34564853620690794,-0.07062450907076348,0.3646184994629287,5,-0.00892320878286862,-0.0036698074777020947,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2018-11-26,49.150002,49.450001,48.580002,3259000,48.701462,0.004695341644154001,66.68742208078694,0.22813399999999717,-0.2082979999999992,0.0495909999999995,-0.7809192360994799,-0.49241482751232046,-0.6582840753631438,0.16460056389420546,0.2848022974232503,0.35465421671726666,0.20239611803301027,0.3691734726730467,1,0.004706382033434906,-0.004258822778929997,0.0010193030397535894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2018-11-27,48.970001,49.060001,48.150002,2794100,48.265038,-0.009001602551545227,61.10722147842494,-0.43642400000000237,-0.2082900000000052,-0.6447220000000016,-0.7667849704699858,-0.5920291407756588,-0.680844797795912,-0.018879853869014224,0.28480395477662557,0.22856760720770292,-0.07139095432575845,0.19337346535239797,2,-0.00896120941913412,-0.004297002260707274,-0.013181867995263146,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2018-11-28,48.830002,49.75,48.5,2969400,49.187484999999995,0.018931773601775573,61.37454266889952,0.9224469999999982,0.4860229999999959,0.714156999999993,-0.6466433592626437,-0.5544675380329975,-0.6331593572015826,0.356296155999687,0.42864420414201476,0.4753387980737036,0.4869669661595507,0.20179521764970865,3,0.019112115896396855,0.009979638804272361,0.014732988830475866,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2018-11-29,49.459998999999996,49.84,49.330002,3127200,49.167648,-0.0004033749874339424,62.016043299958035,-0.01983699999999544,0.9026100000000028,0.46618600000000043,-0.9081279801215677,-0.5206556674523247,-0.6341848210873877,0.0961372805191471,0.5149481880259119,0.4303074899364585,0.10047829757582019,0.22200521074360413,4,-0.0004032936426815773,0.018701114458876067,0.009572320436704763,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-11-30,49.509997999999996,49.779999,48.990002000000004,4113800,48.809853000000004,-0.007303648018027909,61.960483323014195,-0.35779499999999587,-0.3776319999999913,0.5448150000000069,-0.8091884740717524,-0.30925648167987996,-0.6526808563256701,0.002829134313063794,0.24972151284045024,0.44458644484458826,-0.03745068311723773,0.22025483561384118,5,-0.0072770411958692,-0.007677400054098951,0.011287984482680962,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
22,2018-12-03,49.869999,50.189999,49.189999,3701500,49.485699,0.013751520524877908,68.59911193376061,0.6758459999999928,0.318050999999997,0.29821400000000153,-0.7349825194469828,-0.3976001714163273,-0.6177433322360315,0.288211121283637,0.39384558397156866,0.3998039274616953,0.3834193205141337,0.42939981830035756,1,0.01384650758935891,0.006468704787343031,0.006062802357144334,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-12-04,49.619999,50.119999,48.950001,3413900,48.730339,-0.015381905210062264,61.801873503379326,-0.755359999999996,-0.0795140000000032,-0.43730899999999906,-0.6749125972349137,-0.4592243411184914,-0.65679129315664,-0.1069361416869761,0.3114823720787323,0.26623361942151347,-0.1989262907248619,0.21525795298544015,2,-0.015264207948239674,-0.0016290563300816166,-0.00889424281592642,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
24,2018-12-06,48.43,48.84,47.939999,5434400,48.422237,-0.006342663171283115,53.36171685299456,-0.3081019999999981,-1.0634619999999941,-0.3876160000000013,-0.7703178301640765,-0.02629097921577017,-0.6727184733827065,0.016549069066549973,0.10763867956170547,0.2752578230391304,-0.018241637361323004,-0.05064281056363473,4,-0.006322590942779981,-0.021490289548097403,-0.007941347416063746,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
25,2018-12-07,48.799999,49.400002,47.970001,4138500,48.09425,-0.006796523013734203,52.7476539120285,-0.32798700000000025,-0.6360889999999984,-1.3914489999999944,-0.5830388105732798,-0.3039640025712448,-0.6896735988307943,0.011058941632643496,0.19617719013551552,0.09296266295453909,-0.02731380380593132,-0.06998839994468309,5,-0.006773478887396306,-0.013053243893911723,-0.02811820441295564,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
26,2018-12-10,48.310001,48.619999,47.799999,5203100,48.004803,-0.001861558944411556,39.50973275545341,-0.08944699999999983,-0.4174340000000001,-0.7255359999999982,-0.7985867147797068,-0.07585172487679448,-0.6942975171749821,0.07691838332657921,0.24147576545383576,0.21389185828624324,0.07133078037510163,-0.48703911228842833,1,-0.0018598273182345046,-0.008620708704556546,-0.014888794432560753,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27,2018-12-11,49.049999,49.27,47.77,4327300,47.537678,-0.00977845074229912,47.72261549314137,-0.4671250000000029,-0.5565720000000027,-0.884559000000003,-0.5583041990783045,-0.26350974930362103,-0.7184453125904655,-0.02735621305173222,0.21265066119077014,0.18501342607477675,-0.08691930786030075,-0.22829844178313752,2,-0.009730797145444028,-0.011572526861319236,-0.01826761948234657,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
28,2018-12-12,48.580002,48.869999,48.029999,3488000,47.895477,0.007498456411525847,54.92463740478882,0.357799,-0.10932600000000292,-0.19877300000000275,-0.7915195819649585,-0.4433469037925861,-0.6999490705741649,0.20040028095316556,0.3053062447210695,0.30955154013734737,0.25842734475621953,-0.0014041784738276775,3,0.007526640236824356,-0.002277397117950946,-0.004132988870811017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2018-12-13,48.299999,49.150002,48.299999,3341200,48.233395,0.007030549404567963,55.94732160598057,0.33791800000000194,0.6957170000000019,0.22859199999999902,-0.7879849554876637,-0.47480179987143767,-0.6824805670018677,0.19491125789490696,0.47208633650944376,0.3871606355641287,0.24907439071473503,0.030814715230481182,4,0.007055321737374115,0.014635064842670732,0.0047618568500322565,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
