Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,26.650000,27.219999,26.540001,26.900000,26.498835,6637100
2019-07-02,26.910000,26.969999,26.290001,26.670000,26.272264,4660300
2019-07-03,27.010000,28.410000,26.959999,28.260000,27.838554,5552000
2019-07-05,28.010000,28.180000,27.360001,28.059999,27.641537,4013400
2019-07-08,27.910000,28.500000,27.760000,28.469999,28.045420,5594000
2019-07-09,28.459999,28.500000,27.940001,28.000000,27.582432,4853500
2019-07-10,28.160000,28.410000,27.980000,28.340000,27.917362,2650800
2019-07-11,28.350000,28.490000,27.150000,27.480000,27.070185,5475800
2019-07-12,27.510000,27.629999,27.309999,27.610001,27.198248,3603800
2019-07-15,27.590000,27.809999,27.260000,27.520000,27.109591,4372300
2019-07-16,27.580000,28.139999,27.530001,28.139999,27.720343,3993900
2019-07-17,28.209999,29.040001,28.040001,28.959999,28.528112,9317500
2019-07-18,29.049999,29.370001,28.969999,29.110001,28.675877,5122900
2019-07-19,29.110001,29.240000,28.820000,28.900000,28.469007,4505000
2019-07-22,28.910000,28.940001,28.030001,28.250000,27.828703,3816300
2019-07-23,28.250000,29.420000,28.200001,29.200001,28.764536,4250300
2019-07-24,28.950001,28.980000,28.459999,28.629999,28.203033,3693400
2019-07-25,28.510000,28.920000,28.350000,28.540001,28.114378,2619300
2019-07-26,28.719999,29.280001,28.480000,29.160000,28.725130,3490300
2019-07-29,28.870001,29.150000,28.690001,29.020000,28.797573,3036700
2019-07-30,29.010000,29.260000,28.719999,29.100000,28.876961,3604200
2019-07-31,29.100000,29.250000,28.530001,28.870001,28.648724,5044200
2019-08-01,29.010000,29.600000,28.879999,29.139999,28.916653,7468100
2019-08-02,29.100000,29.110001,28.240000,28.270000,28.053322,4360500
2019-08-05,28.059999,28.139999,27.809999,28.000000,27.785391,4641900
2019-08-06,28.000000,28.110001,27.430000,27.639999,27.428150,4394100
2019-08-07,27.309999,28.020000,27.040001,27.969999,27.755619,4289700
2019-08-08,27.620001,28.219999,27.440001,28.200001,27.983858,4506500
2019-08-09,28.260000,28.730000,28.160000,28.650000,28.430408,2485200
2019-08-12,28.530001,28.750000,28.340000,28.680000,28.460178,2270900
2019-08-13,28.770000,29.260000,28.590000,28.910000,28.688416,2982000
2019-08-14,28.660000,28.760000,28.080000,28.100000,27.884624,4740200
2019-08-15,28.170000,28.950001,28.080000,28.850000,28.628876,2561800
2019-08-16,29.040001,29.570000,28.969999,29.469999,29.244123,2574000
2019-08-19,29.629999,30.170000,29.549999,30.040001,29.809755,3528000
2019-08-20,29.760000,29.760000,28.610001,28.680000,28.460178,5563600
2019-08-21,28.770000,28.799999,28.070000,28.400000,28.182323,3601400
2019-08-22,28.500000,28.860001,28.240000,28.799999,28.579258,2380900
2019-08-23,28.730000,28.799999,27.799999,27.930000,27.715927,3948500
2019-08-26,28.240000,28.639999,28.020000,28.610001,28.390717,3900700
2019-08-27,28.600000,28.750000,27.500000,27.910000,27.696081,4553800
2019-08-28,28.000000,28.570000,27.889999,28.450001,28.231943,2494700
2019-08-29,28.639999,28.850000,28.400000,28.590000,28.370869,2607300
2019-08-30,28.809999,29.030001,28.320000,28.360001,28.142632,4798000
2019-09-03,28.120001,28.520000,27.360001,28.500000,28.281559,5858000
2019-09-04,28.580000,29.219999,28.490000,28.889999,28.668568,2846200
2019-09-05,29.129999,29.280001,28.450001,28.450001,28.231943,4093100
2019-09-06,27.920000,28.730000,27.799999,28.660000,28.440332,5469900
2019-09-09,28.799999,29.209999,28.730000,29.110001,28.886883,3644300
2019-09-10,29.080000,29.889999,29.080000,29.450001,29.224277,5580500
2019-09-11,29.389999,29.940001,29.160000,29.500000,29.273893,5278800
2019-09-12,29.600000,29.950001,29.500000,29.760000,29.531900,5351000
2019-09-13,29.610001,30.480000,29.559999,29.870001,29.641058,3646300
2019-09-16,29.900000,30.570000,29.850000,30.440001,30.206690,3958900
2019-09-17,30.360001,30.360001,29.900000,29.969999,29.740290,7482900
2019-09-18,30.000000,30.250000,29.230000,29.500000,29.273893,6770800
2019-09-19,29.639999,29.670000,28.969999,29.660000,29.432667,4983400
2019-09-20,29.650000,30.100000,29.650000,29.809999,29.581516,5498600
2019-09-23,29.980000,30.020000,28.879999,28.900000,28.678492,4425800
2019-09-24,28.910000,29.590000,28.719999,29.559999,29.333433,4174800
2019-09-25,29.700001,30.290001,29.660000,29.900000,29.670828,6915500
2019-09-26,31.070000,31.830000,29.990000,31.000000,30.762396,13333400
2019-09-27,31.070000,31.250000,29.830000,30.280001,30.047916,6990200
2019-09-30,30.370001,30.809999,30.370001,30.680000,30.444849,4590600
2019-10-01,30.719999,30.719999,29.420000,29.480000,29.254047,5718600
2019-10-02,29.450001,29.469999,28.230000,28.309999,28.093014,5319300
2019-10-03,28.299999,28.350000,27.530001,27.969999,27.755619,5761300
2019-10-04,28.090000,28.879999,27.990000,28.860001,28.638800,4556800
2019-10-07,28.850000,29.160000,28.570000,28.629999,28.410561,3556300
2019-10-08,28.500000,28.500000,27.860001,27.889999,27.676233,6573300
2019-10-09,28.170000,28.360001,27.910000,28.090000,27.874701,2712600
2019-10-10,27.910000,28.459999,27.799999,28.350000,28.132708,3256100
2019-10-11,28.459999,28.740000,28.370001,28.410000,28.192247,3194800
