index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,48.799999,49.77,48.32,3571400,46.757858,0.007349841502096887,47.03738349913448,0.0,0.0,0.0,-0.5258616156365373,-0.37571684480084644,-0.2658718307641683,-0.10403960336758977,0.042822411996080056,0.11360981103881929,0.0659529234621424,-0.08400488263589057,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,49.450001,49.700001,49.049999,2911800,46.786392,0.0006100642398647156,48.2225162817866,0.028534000000000503,0.0,0.0,-0.8706880425103078,-0.5343183812832875,-0.26210620736636336,-0.09465262095477588,0.042822411996080056,0.11360981103881929,-0.041560040420135134,-0.04756210976429309,2,0.0006102503669009069,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,49.349998,49.740002000000004,49.060001,3673000,47.005154,0.004664863861092373,48.18297276629814,0.21876199999999812,0.24729599999999863,0.0,-0.8577574502090928,-0.3512870144390877,-0.23323625202359022,-0.032072299568895624,0.10307961181844844,0.11360981103881929,0.023122145394791932,-0.0487780708570793,3,0.004675761276911418,0.0052888650288471,1.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2018-07-26,49.419998,49.950001,49.0,4540500,46.871994,-0.002836901038068174,58.298822202740006,-0.13315999999999661,0.08560200000000151,0.11413600000000201,-0.7413782401911722,-0.14269569712781172,-0.25080933717294673,-0.14784595992784225,0.06368056101262096,0.13644706399757212,-0.09654604945437514,0.2622837855119202,4,-0.002832880836854542,0.0018296345655378066,0.0024410014676036276,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-07-27,49.310001,49.889998999999996,48.98,5052200,46.910042,0.0008114134371648783,48.604611981584725,0.03804799999999631,-0.09511200000000031,0.12364999999999782,-0.7586204667064946,-0.01965687629993873,-0.24578815405667598,-0.09152274954959362,0.019647015752286577,0.13835070197901073,-0.038348116919581884,-0.03581268640280588,5,0.0008117427221038709,-0.002023437685152575,0.0026428624801843625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2018-07-30,49.360001000000004,50.27,49.130001,4419700,47.708996,0.016888207828810013,57.199073847412826,0.7989540000000019,0.8370019999999982,0.7038420000000016,-0.6594826211356704,-0.17174218834533583,-0.14035043497872657,0.15879656214187954,0.24676989503552332,0.25444020457805555,0.21810899546268836,0.22846657944374127,1,0.01703161979688703,0.017857187812406663,0.014973719690398242,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2018-07-31,50.220001,50.970001,49.77,9292800,47.509262,-0.004195293993958555,68.40776380278066,-0.1997339999999994,0.5992200000000025,0.6372679999999988,-0.6336197123967997,1.0,-0.16670927088456722,-0.16974716435591708,0.18883091709749672,0.24111954082186954,-0.11821514134306074,0.5731332262624438,2,-0.004186506041753623,0.012773810775952889,0.01359592254598767,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-08-01,49.959998999999996,50.529999,49.830002,3096700,47.59486,0.0018000907071890155,62.27231963672043,0.0855979999999974,-0.11413600000000201,0.6848179999999999,-0.8491384921219911,-0.48985897543792156,-0.15541292856994815,-0.07587997203051804,0.015011546640692191,0.2506337289674915,-0.022576731681232125,0.3844686297859725,3,0.001801711843050675,-0.0023923370762193785,0.014598537345159486,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2018-08-02,49.830002,50.119999,49.369999,4006800,47.537785,-0.0011999037101910952,55.48574640629381,-0.057074999999997544,0.028522999999999854,-0.17121099999999956,-0.8275854934607815,-0.2710244418529161,-0.16294509915345312,-0.12281587102061145,0.04977244802793425,0.0793525309841393,-0.07043265909447716,0.1757818476522124,4,-0.0011991841135785997,0.0006003671452526426,-0.0035886523371818505,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2018-08-03,50.0,50.990002000000004,50.0,4835900,47.842155,0.00638228611115722,58.047556837254135,0.3043699999999987,0.24729500000000115,0.33289299999999855,-0.7241364447099599,-0.07166644625317087,-0.12277748179906833,-0.003909378478401379,0.10307936815417701,0.18021773184555812,0.05051847455488771,0.2545573882854346,5,0.006402696297271711,0.0051958341720093545,0.007006907411022266,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
