index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,49.439999,49.439999,48.970001,1228900,49.200001,-0.0026388119654605687,73.48360920805797,0.0,0.0,0.0,-0.8985535496764927,-0.8008946254182885,0.1422925748722763,0.2112675319522328,0.11077814371257388,0.0029069758991342454,0.055056122277511346,0.6020967202516141,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,49.279999,49.52,48.830002,1818200,49.18,-0.00040660703541894487,65.69386535778179,-0.0200010000000006,0.0,0.0,-0.7391331442993824,-0.5996721983200163,0.1403161916683615,0.2032188349409466,0.11077814371257388,0.0029069758991342454,0.09712463125243484,0.4037967647848326,2,-0.00040652438198122395,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,49.220001,49.349998,48.73,1136400,49.349998,0.003450688564594116,59.75692243228182,0.16999799999999965,0.14999699999999905,0.0,-0.7898578187375527,-0.8324796831250425,0.15711441135233173,0.2796772311934999,0.15568742514969935,0.0029069758991342454,0.1698198719018032,0.25266271720074873,3,0.003456649044326955,0.00304871945022926,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,49.130001,50.02,49.130001,1483300,49.84,0.009880149126557037,60.200011993681855,0.49000200000000405,0.6600000000000037,0.6399990000000031,-0.5942047784092613,-0.7140271802226319,0.20553357652830417,0.40845155439731873,0.3083829341317367,0.18895314274617953,0.2909905653783247,0.26394224602508953,4,0.009929118943429422,0.01342008946726319,0.013008109491705154,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,50.110001000000004,50.43,49.740002000000004,1524900,49.970001,0.0026049708889229997,60.72866101398668,0.13000100000000003,0.6200030000000041,0.7900010000000037,-0.7391331442993876,-0.6998224407566754,0.2183795238755426,0.26358184924457734,0.296407784431138,0.2325583626283832,0.15388133456125608,0.2773998229620114,5,0.0026083667736757628,0.0125633845010491,0.016063460756405117,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-07-30,49.939999,50.189999,49.110001000000004,1045500,49.18,-0.0159358085800742,52.74714402199631,-0.7900010000000037,-0.6600000000000037,-0.16999799999999965,-0.4565242438581538,-0.8635184046984907,0.1403161916683615,-0.10664050702646477,-0.0868266467065889,-0.04651103299097931,-0.19554130894085348,0.07421798611471453,1,-0.01580950538704219,-0.013242375601926237,-0.003444741780941909,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
20,2018-07-31,49.439999,50.02,49.279999,1539600,49.799999,0.012527927162239206,59.70460671254691,0.619999,-0.17000200000000376,-0.04000100000000373,-0.7028990600717822,-0.6948029775319264,0.2015809089346936,0.4607642620307423,0.05987934131736317,-0.008721218394996396,0.34089103489105155,0.2513309397902146,2,0.012606730378202521,-0.0034020811806668516,-0.0008025882825040876,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2018-08-01,49.77,50.040001000000004,49.380001,1684600,49.860001000000004,0.0012041342012832916,61.360018304465164,0.06000200000000433,0.6800010000000043,-0.10999999999999943,-0.7608708412107563,-0.6452912654510686,0.20750995973221897,0.23541322057136252,0.31437125748503025,-0.029069758991349608,0.12748093109772898,0.2934719974765907,3,0.001204859461945056,0.013826779178527945,-0.002201320748422627,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-08-02,49.279999,49.740002000000004,48.720001,1754400,49.32,-0.01088941985542537,53.794074523077285,-0.5400010000000037,-0.4799989999999994,0.14000000000000057,-0.5000003623191062,-0.6214573516355937,0.15415018239622746,-0.006036824569513405,-0.03293413173652773,0.043604638487023166,-0.10043621957529808,0.10086921826451256,4,-0.01083034474868951,-0.009638534330091039,0.0028466856445709754,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
23,2018-08-03,49.689999,49.810001,49.16,1282700,49.5,0.0036429912785010087,60.0178993175677,0.17999999999999972,-0.360001000000004,-0.2999989999999997,-0.7681164986351462,-0.7825240729358738,0.17193674190348496,0.28370218332123764,0.002993413173650511,-0.08430201037732307,0.17344404114227852,0.2593062867101894,5,0.0036496350364963446,-0.007220236517845316,-0.0060240764261862674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
