index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,45.139998999999996,45.369999,44.790001000000004,2792100,44.609249,0.00022174990448017013,26.200680368402402,0.0,0.0,0.0,-0.7415745928518106,-0.840476544494833,-0.140259335942293,0.3344158010415277,0.0641330318605784,-0.0224715705088111,0.3624669139818728,-0.5755797028824937,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,45.700001,46.310001,45.689999,4392200,45.697281,0.02409758520437374,34.748259514504724,1.0880319999999983,0.0,0.0,-0.6966263540005241,-0.5430822987138502,0.06857602083992553,0.6876730012456186,0.0641330318605784,-0.0224715705088111,0.7254469416050151,-0.3370723863337325,2,0.024390278347882485,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,46.200001,47.139998999999996,46.119999,5333600,46.607269,0.019717716678902566,43.04669424276924,0.9099880000000056,1.998020000000004,0.0,-0.24719115641940048,-0.3681138948777042,0.2432378585869195,0.6298664983549548,0.538722218223807,-0.0224715705088111,0.6588605885667889,-0.10551706935302385,3,0.019913394847277797,0.04478936643833668,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,46.970001,47.299999,46.419998,4309600,46.112709,-0.010667920785211909,35.74270634613731,-0.4945599999999999,0.4154280000000057,1.503460000000004,-0.40449313849470714,-0.5584343171511411,0.1483126964131838,0.17384434640330435,0.16280953985975039,0.3153845713051066,0.19691321007569057,-0.3093238459331138,4,-0.010611220322735492,0.009090869104444217,0.03370287628020826,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
18,2019-07-26,47.02,47.549999,46.889998999999996,3324300,46.755638,0.013846252087585432,42.57390427542205,0.6429289999999952,0.1483689999999953,1.0583570000000009,-0.6516848567109081,-0.7415619656531112,0.2717155991776572,0.5431590167465938,0.09937508298695524,0.2153614364762446,0.569597768951255,-0.11870956099021135,5,0.013942555402676412,0.003183387552701174,0.02316017445326782,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,47.02,47.389998999999996,47.0,2531100,46.834765999999995,0.0016909429914233874,49.854845063434055,0.0791279999999972,0.7220569999999924,0.2274969999999925,-0.9550562555231659,-0.8889859490000742,0.28690331802366664,0.3601067143030387,0.23564304884632897,0.028651345095354025,0.38480279210232354,0.08445412075130632,1,0.0016923734416798505,0.015658524854828902,0.00488114847492979,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,47.119999,47.400002,47.02,2467100,46.864441,0.0006334098642298814,56.47134076748384,0.02967500000000456,0.10880300000000176,0.751731999999997,-0.9662888208615371,-0.900880975392164,0.2925990964681553,0.3440505428653509,0.0899769809921582,0.14645694983629837,0.3687253062720038,0.2690774636131179,2,0.000633610510619495,0.0023270562578998873,0.01630205677137721,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,47.360001000000004,47.610001000000004,46.880001,6388100,46.716072,-0.0031709406063879877,47.253441496177814,-0.14836900000000242,-0.11869399999999786,-0.039566000000000656,-0.5730333038764464,-0.172124749089287,0.2641213558774176,0.2862440399746825,0.035939675995173684,-0.03136280546485227,0.3108884506576101,0.011865874011340427,3,-0.003165918483909846,-0.0025343139325175205,-0.000846229496429942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2019-08-01,47.09,47.459998999999996,46.279999,5407600,46.152275,-0.012142004134463714,39.88918251634481,-0.5637969999999939,-0.7121659999999963,-0.6824909999999917,-0.06741617851205595,-0.35436027061185027,0.1559069397134234,0.15136479729948335,-0.1050275783913473,-0.17584031732130967,0.17450298617736187,-0.19362267632878893,4,-0.012068587444594955,-0.015196297764439275,-0.014572315787805833,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
23,2019-08-02,46.43,46.48,45.540001000000004,2669500,45.459891999999996,-0.015115812801851551,33.6094211055847,-0.6923830000000066,-1.2561800000000005,-1.404549000000003,-0.337079768966686,-0.86326295442718,0.02301190460880953,0.1096160892233902,-0.2342470865194976,-0.3381005238089295,0.12929270814201335,-0.36884995612880533,5,-0.01500214236459647,-0.026889675142208032,-0.02997046310655883,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
24,2019-08-05,45.0,45.310001,44.619999,5741700,44.718052,-0.016453174737022003,32.90042611657252,-0.7418399999999963,-1.434223000000003,-1.9980199999999968,-0.6179748011660623,-0.29226451564939393,-0.11937583865179313,0.09355861908419383,-0.27653759537710126,-0.47146477848710183,0.10896103529903334,-0.3886333929809722,1,-0.0163185605456343,-0.031075889541739878,-0.04276943489598177,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,45.32,45.439999,44.580002,4097000,44.569687,-0.0033233036968160923,33.32505023276475,-0.1483649999999983,-0.8902049999999946,-1.5825880000000012,-0.4269695051075725,-0.5979481079473644,-0.14785281148806462,0.2862453386761934,-0.14731713712995945,-0.37810928335850674,0.30857210201147134,-0.3767848968437846,2,-0.0033177876352931987,-0.01958220666252341,-0.03429057397495575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26,2019-08-07,44.939999,45.68,44.75,3493200,44.925765999999996,0.007957518891394821,38.87775687016712,0.35607899999999404,0.20771399999999574,-0.5341260000000005,-0.34831458149227545,-0.7101702475652367,-0.07950750086516578,0.4500258847444616,0.1134712858601627,-0.1424998716292269,0.48007241784330396,-0.2218449849655495,3,0.007989264093328589,0.004644969776411453,-0.011749389989751858,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,2019-08-08,45.619999,46.709998999999996,45.41,4345600,45.944561,0.02242399084038144,45.396181831026794,1.0187950000000043,1.3748739999999984,1.226509,0.06741393132483764,-0.5517433648055906,0.11603860192679427,0.6651934521417976,0.3907065061060591,0.2531483985226532,0.7000035876514649,-0.03995815841910666,4,0.022677298368157028,0.03084773738707203,0.027427603510099235,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
28,2019-08-09,46.330002,46.330002,45.43,3453600,45.499458000000004,-0.00973506020655569,44.843272424074435,-0.44510299999999603,0.5736920000000083,0.9297710000000023,-0.38202014266267703,-0.7175302951453423,0.03060614790904914,0.18990181654250532,0.20040194783894533,0.18646570938587717,0.2110953215853425,-0.05538626229421473,5,-0.009687827901979432,0.012769776702305051,0.02086106191412119,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2019-08-12,45.93,45.93,45.330002,3187900,45.054352,-0.009830830635955483,38.11604699408381,-0.44510600000000267,-0.8902089999999987,0.12858600000000564,-0.7191027206133895,-0.7669132406512527,-0.0548268819245461,0.18990084251637102,-0.14731808724895096,0.006424156581557924,0.20963934098100434,-0.24309935131045335,1,-0.009782665982526707,-0.01937572110004487,0.002862188259628242,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
30,2019-08-13,45.310001,46.119999,45.009997999999996,3185700,45.440109,0.008525590015536775,35.56568864314579,0.38575699999999813,-0.05934900000000454,-0.5044520000000006,-0.1460666077529007,-0.7673221321834807,0.019214782958689725,0.4596616005944168,0.050035878868379444,-0.13583155777173406,0.4887087009196022,-0.314263258204176,2,0.00856203635999466,-0.0013043891643721235,-0.010979580368609911,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,2019-08-14,45.200001,45.299999,44.369999,4936000,44.223492,-0.027139032073793517,35.293078773920996,-1.2166169999999994,-0.8308600000000013,-1.275966000000004,-0.34831458149227545,-0.4420117463385621,-0.21430100082552883,-0.060589782563275185,-0.1332209342567537,-0.3092054708757896,-0.053494130878778745,-0.3218700258353553,3,-0.02677407750056232,-0.01844128176563279,-0.02804354284835665,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
32,2019-08-15,44.790001000000004,44.860001000000004,43.970001,3488300,43.817955,-0.009212476213546258,29.144880296550426,-0.4055370000000025,-1.6221540000000019,-1.2363970000000037,-0.3932583259691096,-0.7110809605233811,-0.2921392115430361,0.20274792252401394,-0.32117679837928703,-0.3003135617625209,0.21904007199241293,-0.49342624021864123,4,-0.009170171365029303,-0.035698725986770895,-0.02744234341668045,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
33,2019-08-16,44.619999,45.150002,44.450001,2083100,44.441101,0.014121074551747667,28.40754661474125,0.6231460000000055,0.21760900000000305,-0.9990079999999963,-0.6067399886404649,-0.9722511337447028,-0.17253343042868252,0.5367359637558419,0.11582164271298079,-0.24696772505980424,0.5737758454197885,-0.5140004255924633,5,0.0142212478879949,0.004920665242808122,-0.021985158530319467,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,2019-08-19,45.849998,46.049999,45.650002,2487500,45.242287,0.017867463136458425,28.3320559573973,0.8011859999999942,1.4243319999999997,1.0187949999999972,-0.9438225665911775,-0.8970894357296855,-0.01875489803357233,0.5945411679449948,0.40245425236443144,0.20647110039650626,0.6307315169129404,-0.5161068786360502,1,0.01802804120446958,0.03250567033536823,0.023037416403028445,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
35,2019-08-20,45.369999,45.549999,45.09,2817900,44.856528999999995,-0.00856305053256319,30.4407075946164,-0.3857580000000027,0.41542799999999147,1.038573999999997,-0.8764047026887041,-0.8356813619805218,-0.09279675485542604,0.2091696768132597,0.162809539859747,0.2109158189982232,0.2289131737566667,-0.4572681320233777,2,-0.008526492040510744,0.009347833214122922,0.023702018955471495,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
