index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,86.620003,86.970001,86.07,828900,85.06725300000001,0.0013877005017361246,61.309112328726464,0.0,0.0,0.0,-0.9292033816274201,-0.9560072565350045,-0.6670513015861821,-0.04600707834700979,-0.011465155226687895,0.007480883082260803,-0.1712909049980354,0.2872642565465131,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,87.010002,87.41999799999999,84.889999,958000,83.661423,-0.0166641802191524,53.847754828214235,-1.4058300000000088,0.0,0.0,-0.6407082369801155,-0.945361589840851,-0.7113094503518416,-0.19904685836981276,-0.011465155226687895,0.007480883082260803,-0.35797351220464335,0.13060338753529566,2,-0.01652610082519073,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,85.08000200000001,86.050003,84.379997,740000,84.428246,0.00912403866658324,57.52673096035074,0.7668230000000023,-0.6390070000000065,0.0,-0.7929193470125623,-0.9633380061020862,-0.6871684330091123,0.03746988774165347,-0.06924844521474,0.007480883082260803,-0.09128595697206826,0.20784825857819444,3,0.009165789589785034,-0.007511785998308967,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,2018-07-26,85.470001,87.449997,84.720001,776600,85.293373,0.010194747116035843,58.504351934350424,0.8651270000000011,1.6319500000000033,0.22611999999999455,-0.6053105472626861,-0.9603199472252,-0.6599326225148219,0.04817133993385406,0.13610668685955038,0.029025795869287975,-0.08021327994785854,0.22837467771035214,4,0.010246890596305899,0.01950660102924622,0.002658132148689397,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,86.790001,86.900002,84.379997,517500,83.23869300000001,-0.02438446115908019,53.12436803389912,-2.0546799999999905,-1.1895529999999894,-0.42272999999998717,-0.6424770860680302,-0.9816854951760534,-0.7246177786900518,-0.26968118916926387,-0.1190324994892015,-0.03279720369670586,-0.4378124052550215,0.11541494443752631,5,-0.024089562034321124,-0.014089514544693838,-0.005052866480647684,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
19,2018-07-30,84.779999,84.980003,83.220001,553700,82.16712199999999,-0.012957053434955946,47.01762741230282,-1.07157100000002,-3.1262510000000105,-2.2611240000000095,-0.7769908556661442,-0.9787004205491878,-0.7583528311010599,-0.1626591558519834,-0.2941616954968831,-0.20796100344106933,-0.3196364489357488,-0.012803987913550419,1,-0.012873472196398133,-0.03665291792364701,-0.026781605767340108,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,84.0,84.779999,82.160004,908200,82.668503,0.006083424578398414,45.814064774721,0.5013810000000092,-0.5701900000000109,-2.6248700000000014,-0.6247797456336949,-0.9494681289684176,-0.7425684226830609,0.008573658973728783,-0.0630255514637991,-0.24261904274157348,-0.12273031306260347,-0.03807434504361118,2,0.006101966185453218,-0.0068500595029767075,-0.030774606603962085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2018-08-01,84.260002,85.650002,83.809998,864300,82.471886,-0.0023812114540226795,45.96172387274252,-0.19661700000000337,0.3047640000000058,-0.7668070000000142,-0.7628312134076408,-0.9530881504081801,-0.7487582923229588,-0.06741096247862156,0.01609364552184673,-0.06558116335097222,-0.21026691647915813,-0.03497405094674266,3,-0.0023783786190007985,0.003709074780543072,-0.009212146086916744,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,83.82,87.480003,82.800003,1290200,85.765266,0.039156639849452314,49.832591836529566,3.293379999999999,3.0967629999999957,3.598144000000005,-0.260177187563579,-0.9179681701987301,-0.6450765513003272,0.3125129068087314,0.2685648827122832,0.3503152129742079,0.21929466211692716,0.04629983775151758,4,0.03993336589877427,0.03746001061613509,0.04379055651967469,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-08-03,86.779999,87.300003,84.66999799999999,790400,83.789238,-0.02330952493539741,47.98748558782262,-1.9760279999999995,1.3173519999999996,1.1207349999999963,-0.623008064688122,-0.9591819905994887,-0.7072855959139064,-0.2611190694404545,0.10765863000937308,0.11426550112741117,-0.42669600691843595,0.007559441205632567,5,-0.023039956525057585,0.01597334635950971,0.013556977075053557,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
