index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,211.229996,211.830002,207.240005,1800500,207.72926299999997,-0.016278363571218465,42.79069015783015,0.0,0.0,0.0,-0.5968491390280063,-0.7344848573887128,0.5698136668991731,-0.047068552449003764,-0.009992164734261455,0.01029174073174044,-0.23411029178706178,-0.16935519567061497,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,207.240005,211.960007,207.240005,1839000,209.658798,0.009245826250665685,38.49386624241217,1.9295350000000155,0.0,0.0,-0.5797769086741725,-0.7264046004995067,0.6184808668481239,0.08916578896133784,-0.009992164734261455,0.01029174073174044,0.06689252365351443,-0.2770696841787965,3,0.009288700937623871,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,208.83999599999999,213.16000400000001,207.190002,535400,211.108444,0.0068905161379760604,42.529448478686895,1.4496460000000013,3.379181000000017,0.0,-0.41562716103142483,-1.0,0.655044189999658,0.05528334481543283,0.17251821724939184,0.01029174073174044,0.03911671646423441,-0.17590410584237315,5,0.006914310364404557,0.016267236263193294,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
17,2018-11-26,213.11999500000002,218.38000499999998,211.52999900000003,2187800,216.22718799999998,0.023957697175993747,44.102778449856494,5.118743999999992,6.568389999999994,8.49792500000001,-0.3000652134117501,-0.6531995718513233,0.7841503931706235,0.31433910156511413,0.3447681656291021,0.44204029360176833,0.24038733778176996,-0.13646324523576858,1,0.024246988434058054,0.031328950001897816,0.04090865618677909,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2018-11-27,215.850006,217.24000499999997,214.22000099999997,2278500,216.747055,0.00240137725616455,51.33989553549303,0.519867000000005,5.638610999999997,7.088256999999999,-0.8030203028287073,-0.6341637458811678,0.7972626047842306,-0.010363471501537061,0.29455057726956246,0.3704202076364074,-0.013823002749516464,0.044959680278117364,2,0.002404262871882721,0.02670954743998775,0.033808535905085174,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
19,2018-11-28,216.580002,222.520004,215.47000099999997,2605500,221.665863,0.022440097930807965,50.28390068238104,4.918808000000013,5.438675000000018,10.55741900000001,-0.27380164774829463,-0.5655340315234957,0.9213259736510802,0.30022266973868184,0.2837519856190176,0.5466756668422365,0.22249052504455402,0.018487581884212068,3,0.02269377085654065,0.025152595519116763,0.05000945864581338,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
20,2018-11-29,220.5,223.830002,218.92999300000002,1890000,222.46566800000002,0.00360166215979406,46.924900767401894,0.7998050000000205,5.718613000000033,6.238480000000038,-0.556138425775032,-0.7157008835813377,0.941498849424347,0.009401481746644506,0.298871504612449,0.3272461398478335,0.00033177112751911486,-0.06571716209953293,4,0.003608155938742902,0.02638380945937205,0.028851505944756765,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
21,2018-11-30,223.190002,223.960007,219.92999300000002,2440900,223.32545499999998,0.003857358398225557,54.54172738116505,0.8597869999999546,1.659591999999975,6.578399999999988,-0.6703859935353935,-0.6000797531848804,0.9631846057555391,0.013636496020273156,0.0796428000270251,0.34451623438168244,0.0033471572456499343,0.12522447267704417,5,0.0038648075801069426,0.007486908347272106,0.03035058538626967,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-12-03,224.82000699999998,226.61000099999998,220.789993,2704100,224.785095,0.006514665465304779,62.559462391684654,1.4596400000000358,2.3194269999999904,3.119232000000011,-0.43532434282977195,-0.5448401788150355,1.0000000000000009,0.05598896871344952,0.11528064774698626,0.16876853383898557,0.0346843677217763,0.3262162383748124,1,0.006535932054857052,0.010425999754712669,0.01407177432638787,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2018-12-04,225.44999700000002,226.190002,217.289993,2547900,217.78680400000002,-0.03162819147236836,63.12408290220297,-6.998290999999995,-5.538650999999959,-4.678864000000004,-0.030859233318251356,-0.5776229353369572,0.8234874063450848,-0.5411811574978433,-0.30913604299474257,-0.22742426183072864,-0.4151284336758594,0.34037036958635225,2,-0.03113325196227977,-0.024800804726894922,-0.021031847484889236,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
