index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,70.389999,71.0,69.82,1762700,69.62344399999999,-0.004680509377511812,53.55679021269985,0.0,0.0,0.0,-0.7751191925552123,-0.28422573564144604,0.5994450469085315,0.3149554116526412,0.059028175166714325,0.20308548668296922,0.2166923479801676,0.2045750347833275,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,70.510002,71.43,70.150002,2066800,70.524178,0.012854251675515451,61.69570714322812,0.9007340000000141,0.0,0.0,-0.7272732709872514,-0.11522965350523773,0.725571691511222,0.5647710800535147,0.059028175166714325,0.20308548668296922,0.5553564543965643,0.5572092075776318,2,0.012937222697573166,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,70.970001,72.739998,70.970001,1980800,71.632767,0.015597007567508503,63.02890033643277,1.108588999999995,2.009323000000009,0.0,-0.4928240447789337,-0.16302203451054487,0.8808035477678402,0.6224189935945357,0.4638926590464715,0.20308548668296922,0.6083296868501523,0.6149723574996213,3,0.0157192757354789,0.028859862203886515,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,2019-07-25,72.639999,72.989998,71.470001,1574400,71.058678,-0.00804662252310858,63.24998587300059,-0.5740890000000007,0.5344999999999942,1.4352340000000083,-0.6124412410427622,-0.3888688210286476,0.8004158647523081,0.15573367997981988,0.16672617426080066,0.4020000613970669,0.1516796741773954,0.6245513120423256,4,-0.008014335115660139,0.007578961076299169,0.020614234481132657,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2019-07-26,72.010002,73.300003,71.66999799999999,1709800,72.32563,0.017672575082013184,67.79363875103925,1.2669520000000034,0.6928630000000027,1.8014519999999976,-0.5598058469363936,-0.31362360721331517,0.9778227402923303,0.6663404606369356,0.19863520743299506,0.4527556160471413,0.6484169292985047,0.8214137800817469,5,0.017829659031934193,0.009672431053794176,0.025543750400040074,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2019-07-29,72.800003,73.519997,72.089996,2005300,71.355614,-0.01350253812687329,61.58851597199814,-0.9700160000000011,0.2969360000000023,-0.27715299999999843,-0.6555015178226,-0.14940676317763768,0.8419947785512143,0.0459246041117487,0.11885869538935646,0.16467379135960336,0.046304826066006166,0.5525649446713778,1,-0.013411787771499551,0.004178743657460139,-0.003869081310233324,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-30,71.519997,73.239998,71.440002,1349400,72.484009,0.01568994863689486,66.89801868622752,1.1283949999999976,0.1583789999999965,1.425331,-0.4784704596960644,-0.5139070271471838,1.0,0.6279121237843013,0.09094043222662473,0.40062756671439126,0.6101247386400186,0.7826093244780492,2,0.015813682158211093,0.0021898046377196645,0.020058507139690946,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,73.019997,74.050003,72.309998,4073600,72.454308,-0.0004098433185993942,69.46977965111039,-0.029701000000002864,1.0986939999999947,0.12867799999999363,-0.5071742805803093,0.9999999999999998,0.9958410724238842,0.30671793514217865,0.28040730597434543,0.22091946333420465,0.2991754397240788,0.8940357966016919,3,-0.0004097593442990007,0.01539744300987999,0.0017791480005081687,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2019-08-01,72.989998,73.08000200000001,68.190002,3212100,67.713112,-0.06767628954043141,61.791012591621744,-4.741196000000002,-4.770897000000005,-3.6425020000000075,1.0,0.521242601906138,0.3319479109759005,-1.0,-0.9022740900979919,-0.3017428104624772,-1.0,0.5613384987651382,4,-0.06543704758038683,-0.06581999348297643,-0.051047167781360654,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,68.489998,68.949997,66.43,1990600,67.198402,-0.007630371671749755,61.427013242978596,-0.5147099999999938,-5.255905999999996,-5.285606999999999,-0.13397245598745489,-0.1575759259773819,0.25987486250271274,0.17220225402496192,-1.0,-0.5294670228805246,0.15971908926803693,0.5455675294455005,5,-0.007601334288106472,-0.07254097299500806,-0.07292100799777781,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
