index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,67.699997,68.144997,67.404999,3314200,68.059998,0.004934281246957174,83.15820691757538,0.0,0.0,0.0,-0.9282054946305989,-0.8819065386121283,0.6496252914604161,-0.009189723543046369,-0.013893769574237491,-0.0014676444702427238,0.15222268817542234,0.8249552926019343,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,66.5,66.949997,64.54499799999999,7178600,65.0,-0.046002369791286024,68.08447502676604,-3.059997999999993,0.0,0.0,-0.35897457812834643,-0.6594002625578664,0.45034181371919146,-0.5204675421497442,-0.013893769574237491,-0.0014676444702427238,-0.36587062832703354,0.40991978048746724,2,-0.04496030105672341,1.0,1.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,65.32,66.434998,64.945,4179200,65.940002,0.014357998078551017,69.16553620161501,0.9400020000000069,-2.1199959999999862,0.0,-0.6717953258819384,-0.8321011538727285,0.5115597843334561,0.1478699124586562,-0.3505347122722811,-0.0014676444702427238,0.24807439038872242,0.4396853874108646,3,0.014461569230769336,-0.031148928332322114,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
17,2018-07-26,65.949997,66.675003,65.275002,2368800,66.514999,0.008682203127478022,68.8733999329604,0.5749969999999962,1.514999000000003,-1.54499899999999,-0.7025635204911016,-0.9363412331007164,0.5490066721584714,0.0868832843038196,0.22667776525252525,-0.2281732272418971,0.1903440259055626,0.43164179696182625,4,0.008720002768577352,0.023307676923076972,-0.02270054430504083,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-07-27,66.599998,66.745003,65.769997,1467200,66.040001,-0.007166836907400989,67.858001264459,-0.47499799999999937,0.09999899999999684,1.0400010000000037,-0.8478609067142209,-0.9882539901886271,0.518072255416981,-0.0885544621090665,0.0019853913434533035,0.15113700626940543,0.029138262517513336,0.4036841213553779,5,-0.007141216374369927,0.0015165149676519092,0.016000015384615443,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2018-07-30,65.945,66.0,64.525002,2202600,64.699997,-0.020499479055263028,62.2529921336494,-1.3400040000000075,-1.8150020000000069,-1.2400050000000107,-0.6769235292569118,-0.9459107763882172,0.43080400971644295,-0.23308343917431637,-0.3021037399132574,-0.18341990215116646,-0.10647239596374578,0.24935751850328702,1,-0.020290793151260058,-0.027287108581329256,-0.018805049475127563,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
20,2018-07-31,64.75,65.474998,64.58000200000001,1895400,65.165001,0.007161375189341923,57.19384009678261,0.4650040000000075,-0.875,-1.3499979999999994,-0.8752147435163284,-0.9635988852806375,0.4610875635892171,0.06850517389263605,-0.15283781704451105,-0.19955973600594576,0.17487518815831954,0.11006037751020692,2,0.007187079158597296,-0.013249545529231594,-0.020296144032115212,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2018-08-01,65.629997,66.66999799999999,65.375,2972400,66.400002,0.018774556274525542,57.360463344180324,1.235000999999997,1.7000050000000044,0.3600009999999969,-0.7384619697565926,-0.9015868628941247,0.5415174508943368,0.1971596326516604,0.25605545947685165,0.051357138266431,0.2929966464977975,0.11464813091558956,3,0.018951906407551452,0.02627519441770615,0.00545125673150727,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
22,2018-08-02,66.400002,67.614998,65.900002,2299600,67.550003,0.017171022214884243,56.79575085546436,1.1500010000000032,2.385002,2.8500060000000076,-0.5948729590177905,-0.9403256638798683,0.6164116824219024,0.18295746174123292,0.3648283231168452,0.4167282709528206,0.27668657777222583,0.09909951039816045,4,0.017319291647009336,0.0365994316489,0.044049553819917604,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-08-03,66.400002,67.635002,66.400002,2017000,67.415001,-0.0020005488982220852,63.52569396052087,-0.13500200000000007,1.014999000000003,2.25,-0.7589740994960331,-0.9565973421773878,0.6076196282891804,-0.0317464468048072,0.14728116669808322,0.32868633053959584,0.08168626546087066,0.28439970038040263,5,-0.0019985491340392693,0.015286129057646761,0.03452773675243249,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
