Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,23.600000,23.840000,23.230000,23.520000,23.006847,4274900
2018-07-03,23.799999,23.860001,23.240000,23.389999,22.879677,3063000
2018-07-05,23.510000,23.680000,23.400000,23.440001,22.928589,2886900
2018-07-06,23.420000,23.709999,23.379999,23.580000,23.065533,5537500
2018-07-09,23.709999,23.930000,23.670000,23.719999,23.202477,5929600
2018-07-10,23.860001,24.059999,23.540001,23.650000,23.134007,4408800
2018-07-11,23.549999,24.040001,23.549999,23.650000,23.134007,3636900
2018-07-12,23.780001,23.780001,23.180000,23.270000,22.762299,4074700
2018-07-13,23.290001,23.690001,23.290001,23.450001,22.938372,2553500
2018-07-16,23.290001,23.730000,23.190001,23.700001,23.182919,5104400
2018-07-17,23.660000,23.950001,23.520000,23.660000,23.143789,3635800
2018-07-18,23.590000,23.990000,23.500000,23.940001,23.417679,5155900
2018-07-19,23.950001,24.540001,23.930000,24.420000,23.887207,5559200
2018-07-20,24.410000,24.420000,23.850000,24.240000,23.711134,6422600
2018-07-23,24.350000,24.629999,24.139999,24.299999,23.769825,7311700
2018-07-24,24.410000,24.510000,24.139999,24.270000,23.740480,5154200
2018-07-25,24.270000,24.969999,24.190001,24.969999,24.425205,4822900
2018-07-26,25.000000,25.230000,24.660000,24.719999,24.180660,6364600
2018-07-27,24.000000,24.430000,22.670000,22.809999,22.312332,15471300
2018-07-30,22.840000,23.100000,22.660000,22.730000,22.234081,7226200
2018-07-31,22.820000,23.639999,22.760000,23.500000,22.987280,6042500
2018-08-01,23.150000,23.410000,23.030001,23.290001,22.781864,4475200
2018-08-02,23.280001,23.360001,23.030001,23.080000,22.576443,5701100
2018-08-03,23.100000,23.580000,22.990000,23.450001,22.938372,4834200
2018-08-06,23.530001,23.750000,23.340000,23.540001,23.026405,3309400
2018-08-07,23.700001,23.940001,23.629999,23.780001,23.261173,4267400
2018-08-08,23.629999,23.750000,23.250000,23.400000,22.947359,5830000
2018-08-09,23.400000,23.709999,23.320000,23.540001,23.084652,6272000
2018-08-10,23.469999,23.740000,23.340000,23.639999,23.182716,4045600
2018-08-13,23.590000,23.730000,23.270000,23.360001,22.908134,5805600
