index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,281.22000099999997,282.320007,279.320007,1459100,278.945587,-0.0047713846453267695,87.71201801254206,0.0,0.0,0.0,-0.7368876453621428,-0.7704972797556551,-0.27285312686264795,-0.26373233281720476,-0.31968327664279195,-0.2198129894692914,-0.36304831034454405,1.0,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,281.850006,282.079987,279.019989,1117800,278.875885,-0.00024990791449052064,82.18924077233358,-0.06970200000000659,0.0,0.0,-0.726569851001778,-0.9333778753459958,-0.27623109838062376,-0.2700880187087079,-0.31968327664279195,-0.2198129894692914,-0.24796273856838336,0.8293607313614468,2,-0.00024987669010876517,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,279.829987,281.23999,279.01001,1257100,279.602692,0.0026028121408881205,76.35589931476993,0.726807000000008,0.6571050000000014,0.0,-0.8693071929031873,-0.866898921446979,-0.24100781432758822,-0.19745938518664422,-0.2722702333857001,-0.2198129894692914,-0.17535218714133857,0.6491258464939853,3,0.0026062023971703684,0.0023556744778328448,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,281.200012,281.940002,279.339996,1600200,278.577179,-0.003674493499836098,81.8713215993077,-1.0255129999999895,-0.2987059999999815,-0.3684079999999881,-0.8056742022036902,-0.7031593013267156,-0.2907073022233835,-0.3572423971719201,-0.3412362407796528,-0.2418521489269238,-0.33512903702525965,0.8195378663767166,4,-0.00366775080978115,-0.0010711073135634568,-0.0013207163589219575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2019-07-26,279.799988,281.769989,279.119995,1447700,280.14035,0.0055955827319057036,82.0952799271598,1.5631710000000112,0.5376580000000217,1.2644650000000297,-0.7970778172494302,-0.7759377684451655,-0.21495126773765882,-0.12119662551029858,-0.28088886477326963,-0.14416928530543854,-0.09917691628056485,0.8264575887569645,5,0.005611267245979296,0.0019229357062128063,0.004534149663030311,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,281.01001,281.299988,279.540009,1257400,278.90576200000004,-0.004416773430726568,76.12582631406525,-1.2345879999999738,0.3285830000000374,-0.6969299999999521,-0.9501327815422234,-0.8667557506919918,-0.2747831678328243,-0.376306628151889,-0.2959745543038252,-0.2615052203676627,-0.3540223578029382,0.6420171968298458,1,-0.004407033831434756,0.001179504369954286,-0.002492572567934904,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-30,280.269989,280.570007,279.100006,978200,278.278503,-0.002251532587645932,71.22949155562556,-0.6272590000000378,-1.8618470000000116,-0.2986760000000004,-1.0,-0.9999999999999999,-0.3051820521746418,-0.32092812600274073,-0.4540238041826631,-0.2376805927519781,-0.29891027931769876,0.49073335070496826,2,-0.002248999789398534,-0.006646122202674522,-0.00107214812452387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,279.019989,279.72000099999997,272.630005,1886900,274.425446,-0.01394279677863892,62.26157839841741,-3.8530569999999784,-4.480316000000016,-5.71490399999999,-0.03353523923678492,-0.5663357831440297,-0.49191294659851614,-0.615068306161656,-0.6429579683791826,-0.5616939490061772,-0.596489124527797,0.21364845739822869,3,-0.013846046167640834,-0.01606390620212434,-0.020400145855461342,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,275.75,280.929993,274.309998,2634300,273.37005600000003,-0.0038532310030365124,63.25246698462027,-1.0553899999999885,-4.908446999999967,-5.535706000000005,-0.11436082787582103,-0.20964970888613155,-0.5430603650421091,-0.3599666924199821,-0.6738495209053383,-0.5509738416890488,-0.33967845947686176,0.2442643045160391,4,-0.0038458168343470174,-0.017638613644547194,-0.01984794419557386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2019-08-02,274.299988,274.940002,270.5,1969200,271.30911299999997,-0.007567584562997554,55.09985849543765,-2.0609430000000657,-3.116333000000054,-6.969390000000033,-0.48925198226483757,-0.5270592726925646,-0.6429399489015317,-0.45165673022748454,-0.5445405389258442,-0.6367406824955946,-0.43422024939952586,-0.0076298222219186584,5,-0.007539022488988572,-0.011355845623732918,-0.025044658228594942,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
