index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,68.730003,70.43,68.730003,6201400,69.150284,0.011736290503634412,61.48293021578832,0.0,0.0,0.0,-0.474837199124721,-0.7058491268973308,0.008008988428443331,0.4511233963037107,0.35995245263983344,0.4103864429006856,0.5249918369224198,0.3622581846931672,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,69.959999,70.889999,68.790001,9236200,68.038452,-0.016209149169977163,54.854327200002075,-1.1118319999999926,0.0,0.0,-0.29978205689277815,-0.5234890456561189,-0.09398340189963861,0.25291690131479766,0.35995245263983344,0.4103864429006856,0.17016262325017797,0.18544933690205556,2,-0.016078487833831492,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,69.040001,71.07,68.779999,6654800,69.80950899999999,0.025697216635173995,56.37646813450007,1.7710569999999848,0.6592249999999922,0.0,-0.21662975929978456,-0.6786044778809984,0.06848209364040869,0.7668500532047341,0.4765090810206661,0.4103864429006856,0.7022566965649104,0.22605034802963986,3,0.026030236549179346,0.009533221873680116,1.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2018-07-26,71.66999799999999,72.220001,70.709999,4526900,69.75048100000001,-0.0008459158462233593,57.26351851627767,-0.05902799999998365,1.7120290000000011,0.6001970000000085,-0.5579859956236316,-0.8064692521241692,0.06306724066236491,0.4406004638946755,0.6626538488705757,0.5023374705374557,0.3652328766940106,0.24971119414778076,4,-0.0008455581602784752,0.025162668309972734,0.008679602819852606,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-07-27,70.849998,71.239998,69.93,5912100,69.14044200000001,-0.008784489435850749,52.09751916170066,-0.6100390000000004,-0.6690669999999841,1.1019900000000007,-0.6455150984682737,-0.7232330637310868,0.007106145997565427,0.34237163165172874,0.24165567433064064,0.5792128664673526,0.26443511300211897,0.11191528279253626,5,-0.008746018540001184,-0.009584181432933214,0.016196576606416626,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2018-07-30,70.309998,71.269997,70.160004,6677200,69.160133,0.00028475659096938806,56.93931118643,0.019690999999994574,-0.5903480000000059,-0.6493759999999895,-0.7330446389496701,-0.6772584696366979,0.00891247299476472,0.45463371449281265,0.2555738680118699,0.3109011230429499,0.37958926601891435,0.24106341055004776,1,0.00028479713797598474,-0.008463712243074076,-0.009302113842399172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-07-31,70.470001,71.260002,70.410004,8092100,69.54386099999999,0.0055330631499879105,62.19133586635246,0.38372799999999074,0.4034189999999853,-0.20662000000001512,-0.8468280087527351,-0.5922376185268421,0.04411323709924542,0.5195306573909112,0.43128038842012995,0.3787319672363445,0.4462281348718495,0.3811539288713395,2,0.005548398815253735,0.005834776121332653,-0.002962273478802463,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-08-01,70.739998,71.16999799999999,70.129997,4262500,69.484833,-0.0008491485009110058,63.10942163649607,-0.05902799999999786,0.3246999999999929,0.34439099999998746,-0.7636757111597416,-0.8223569565792161,0.038698384121200746,0.44060046389467294,0.41736219473889824,0.4631476302422639,0.36519183098729463,0.4056426011912724,3,-0.0008487880763479305,0.004694901324148594,0.004981035556584776,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,70.089996,71.370003,70.089996,4901900,69.947273,0.006633216823037168,67.48659207393365,0.46244000000000085,0.403412000000003,0.7871399999999937,-0.6586402625820573,-0.7839356319628885,0.08111968606548547,0.5335626600977674,0.4312791507601556,0.5309774020257821,0.460197020932902,0.522397588597447,4,0.006655265329629574,0.005800828343424922,0.011381412467786806,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-08-03,71.120003,71.43,70.449997,4266000,70.114532,0.0023883610454329975,73.76014618784642,0.16725900000000138,0.6296990000000022,0.5706710000000044,-0.7899330415754873,-0.8221466427910442,0.09646296204052973,0.4809406889750415,0.47128863123558307,0.4978140456586182,0.40629918088060757,0.6897359963727294,5,0.002391215451673168,0.009062394954593937,0.00820591482546539,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
24,2018-08-06,71.370003,72.41999799999999,71.300003,5091600,70.990227,0.01241214327194108,80.89045946099883,0.8756950000000074,1.0429540000000088,1.5053940000000097,-0.7286673960612735,-0.7725366246439688,0.1767936471155691,0.6072337049018791,0.5443556560928356,0.6410149287115556,0.5335732838109766,0.8799272736619776,1,0.012489493618812252,0.014910574140610297,0.021665073297362746,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
25,2018-08-07,72.339996,72.910004,72.199997,3086600,71.423149,0.006079812805613228,78.10637582881657,0.4329219999999907,1.3086169999999981,1.4758759999999995,-0.9080932166301947,-0.8930163804396158,0.2165071556362923,0.5283004808125114,0.5913271507502535,0.6364927294440099,0.4531703319761697,0.8056656806856102,2,0.006098332380314697,0.018663991082476288,0.02109983615801576,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
26,2018-08-08,72.589996,72.849998,72.190002,3136800,71.373962,-0.0006889075220199042,72.1199487515958,-0.04918699999998921,0.3837350000000015,1.259430000000009,-0.9299798687089746,-0.8899998798206924,0.2119950533554924,0.44235482077339894,0.4278000885634097,0.6033328967093126,0.36722644490649126,0.6459859908040206,3,-0.0006886702797154633,0.005405462360333084,0.017962467466801448,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
