index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,68.730003,70.43,68.730003,6201400,68.919624,0.011736367859287937,61.482724772646726,0.0,0.0,0.0,-0.474837199124721,-0.7058491268973308,0.008009100979174733,0.45112355566255524,0.35995318762090456,0.4103867125780145,0.5249932241628503,0.362253139450198,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,69.959999,70.889999,68.790001,9236200,67.811501,-0.01620914421512077,54.85406612497706,-1.108122999999992,0.0,0.0,-0.29978205689277815,-0.5234890456561189,-0.09398325688590514,0.2529172488405183,0.35995318762090456,0.4103867125780145,0.1701632450967834,0.18544268457069024,2,-0.016078482958641678,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,69.040001,71.07,68.779999,6654800,69.57665300000001,0.02569725383465146,56.37619150412024,1.7651520000000005,0.6570290000000085,0.0,-0.21662975929978456,-0.6786044778809984,0.06848247523071205,0.7668504730711234,0.4765102992822143,0.4103867125780145,0.7022574970518916,0.226043309067256,3,0.026030274716968737,0.009533264429881517,1.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2018-07-26,71.66999799999999,72.220001,70.709999,4526900,69.517815,-0.0008460150048441502,57.26326636628935,-0.058838000000008606,1.706313999999992,0.5981909999999999,-0.5579859956236316,-0.8064692521241692,0.06306698764308294,0.44059939662894904,0.6626537250815836,0.5023371471356659,0.3652320919855759,0.24970482465117216,4,-0.0008456572350499326,0.025162604791774065,0.008679545320792811,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-07-27,70.849998,71.239998,69.93,5912100,68.909813,-0.00878445897791864,52.09725268251616,-0.608001999999999,-0.6668400000000076,1.0983119999999928,-0.6455150984682737,-0.7232330637310868,0.007106090191550507,0.3423722428927519,0.24165560206497375,0.5792128327969455,0.264436017779347,0.1119084350810422,5,-0.008745988348454263,-0.009584249475179664,0.016196544594994186,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2018-07-30,70.309998,71.269997,70.160004,6677200,68.929436,0.0002847229693272477,56.93908001569331,0.019622999999995727,-0.5883790000000033,-0.6472170000000119,-0.7330446389496701,-0.6772584696366979,0.008912203807445174,0.45463345696301377,0.25557460341507915,0.31090028699972844,0.3795893072205711,0.24105759462149412,1,0.0002847635067591277,-0.008463715380007316,-0.009302215212910742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-07-31,70.470001,71.260002,70.410004,8092100,69.31189,0.005533149700242972,62.19113920814324,0.38245400000000984,0.40207700000000557,-0.20592499999999347,-0.8468280087527351,-0.5922376185268421,0.04411351741156011,0.5195318414479038,0.43128174965613353,0.37873312160743194,0.4462296730189143,0.38114913111924875,2,0.00554848584572794,0.0058348293587737,-0.0029621903392676174,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-08-01,70.739998,71.16999799999999,70.129997,4262500,69.253052,-0.000849248052025814,63.109237615455584,-0.058838000000008606,0.32361600000000124,0.34323899999999696,-0.7636757111597416,-0.8223569565792161,0.038698029823930113,0.44059939662894904,0.41736274830602815,0.46314741143027643,0.36519104131308383,0.4056381575798458,3,-0.0008488875429599251,0.004694888262251286,0.004980988701855815,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,70.089996,71.370003,70.089996,4901900,69.713951,0.006633239258336668,67.48642366742169,0.4608989999999977,0.4020609999999891,0.784514999999999,-0.6586402625820573,-0.7839356319628885,0.08111947198121605,0.5335630399147278,0.43127891125206236,0.5309777866112175,0.46019773894054916,0.5223936428260867,4,0.006655287914242361,0.005800750780277223,0.011381422009604127,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-08-03,71.120003,71.43,70.449997,4266000,69.88065300000001,0.0023883742561227996,73.76000677664686,0.166702000000015,0.6276010000000127,0.5687630000000041,-0.7899330415754873,-0.8221466427910442,0.09646283191583116,0.48094099267979107,0.4712897645996227,0.49781364646754783,0.40629980513767766,0.6897329405973569,5,0.0023912286939527356,0.009062430923622149,0.008205850395942228,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
