index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,11.33,11.38,10.86,14410800,10.840380999999999,-0.025836591961983468,39.04614250318541,0.0,0.0,0.0,-0.40298507462686317,-0.5208018363277463,-0.784808009012826,-0.2767905517499175,-0.07803788059260419,-0.1952059585938476,-0.4303804806045353,-0.5167858853540397,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,11.1,11.22,10.94,11710900,10.928434,0.008089873539396369,46.249703061366475,0.08805300000000038,0.0,0.0,-0.7611940298507436,-0.6564118276383399,-0.747563485368012,-0.20282657908331497,-0.07803788059260419,-0.1952059585938476,-0.06712011202439297,-0.26150921528514126,2,0.008122684986810002,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,11.25,11.7,11.2,9327100,11.221947,0.026503397917118154,54.73519221524564,0.2935130000000008,0.3815660000000012,0.0,-0.43283582089552186,-0.7761448167439338,-0.6234138042832074,-0.030241456213223966,0.20961428860054193,-0.1952059585938476,0.1300387594778154,0.039195887089258585,3,0.026857736433234698,0.035198578352550636,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,11.47,11.51,11.39,6878900,11.212163,-0.0008722432599565954,50.27454584254588,-0.009783999999999793,0.283729000000001,0.3717820000000014,-0.9999999999999999,-0.8991124750744627,-0.6275522256810113,-0.28500905093302337,0.1358576507519134,0.066179960051999,-0.16308005962514832,-0.11887857389163603,4,-0.0008718629663818403,0.025962457201095877,0.034296027049233915,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2019-07-26,11.52,11.77,11.4,6221100,11.495891,0.02499049598109886,57.66871782241002,0.283728,0.2739440000000002,0.567457000000001,-0.6268656716417914,-0.9321523107291567,-0.507541388972486,-0.03846079539011474,0.12848100693261302,0.20375168119779336,0.1138396857817468,0.14315290147269244,5,0.02530537595645015,0.024411450169921512,0.051924822897773004,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
19,2019-07-29,11.78,11.8,11.57,7255100,11.515459,0.001700726356050648,58.10547600438077,0.019567999999999586,0.30329599999999957,0.2935119999999998,-0.8358208955223864,-0.8802167831114103,-0.4992645461768772,-0.2603535533837058,0.15060867677258047,0.011151271593679957,-0.13553053811609855,0.1586305494244702,1,0.0017021734113518983,0.02705062350591938,0.026155176102685192,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
20,2019-07-30,11.74,12.12,11.58,13173200,11.848105,0.028477545652439748,59.577936448268964,0.33264600000000044,0.352214,0.635942,-0.3731343283582098,-0.5829637405634553,-0.35856244843628016,0.002630020537847777,0.18748661876057315,0.2519009047709101,0.15117652385634778,0.21081096713430125,2,0.028886907590917603,0.03063825152830694,0.05671893995832918,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2019-07-31,12.12,12.44,12.02,11572400,11.828538,-0.0016528529365103031,59.84921999740321,-0.019567000000000334,0.3130790000000001,0.3326469999999997,-0.5522388059701486,-0.6633683755832701,-0.3668388682534145,-0.2932267101223458,0.15798381284659307,0.03866561582283884,-0.17143827067458972,0.22042459646498158,3,-0.0016514877273623363,0.027187713490187417,0.028936165104557765,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
22,2019-08-01,12.2,12.31,11.99,11355700,11.799188000000001,-0.0024843707004152823,53.116510248586884,-0.0293499999999991,-0.04891699999999943,0.283729000000001,-0.7014925373134315,-0.6742527361584787,-0.37925328648987655,-0.3014443693116668,-0.11491506870795232,0.00427321283313753,-0.18034156917424551,-0.018166265836621953,4,-0.002481287205570046,-0.004128677117564322,0.024638965758985467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2019-08-02,11.99,12.02,11.65,9076500,11.760053,-0.00332226628148921,47.55282633760058,-0.039135000000001696,-0.0684850000000008,-0.08805200000000113,-0.6268656716417914,-0.7887318991627028,-0.3958065491026197,-0.30966370848855906,-0.1296668486012653,-0.257112002750381,-0.18931315678628863,-0.21532969503823818,5,-0.003316753661353789,-0.0057898110484998905,-0.007431736973971882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
