index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,82.139999,82.760002,81.739998,1943100,81.194351,0.005215082116028459,50.07234755997912,0.0,0.0,0.0,-0.8289460976457638,-0.9667403618876845,0.9866602901134645,0.3833270622197287,0.6031027135347209,0.5184340136215719,0.5075545099793062,0.06859887069031068,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,82.529999,82.910004,82.010002,2611900,80.79167199999999,-0.0049717848739693725,51.44488206443675,-0.4026790000000062,0.0,0.0,-0.8605255630195885,-0.9326707555628007,0.9544889227494586,0.3069009611648045,0.6031027135347209,0.5184340136215719,0.3819882786173069,0.10728278798477664,2,-0.004959446008750119,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,82.550003,82.839996,81.910004,3107100,81.36131999999999,0.007026084889371311,60.40905259541686,0.5696480000000008,0.1669689999999946,0.0,-0.8526334598333004,-0.9074445757600458,1.0,0.4914428954609328,0.6240069429950994,0.5184340136215719,0.529877447292424,0.35993161415833375,3,0.007050825733622655,0.002056411535329528,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,83.050003,83.300003,82.629997,1813900,81.243462,-0.0014496255176435508,60.22101871141197,-0.11785799999999824,0.4517900000000026,0.04911099999999635,-0.9210508102497866,-0.9733219903822643,0.9905839315812672,0.3609583084030882,0.6596660386304258,0.5239265502539535,0.4254034205902495,0.35463201171207204,4,-0.0014485753180995373,0.005592036763393171,0.0006048573502360572,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-07-27,82.730003,83.0,80.989998,2427300,80.104164,-0.014122512537974842,54.13134727538029,-1.1392979999999966,-1.2571559999999948,-0.687507999999994,-0.5684203767314797,-0.9420745374521152,0.8995616172935197,0.16709501614910813,0.4457089608531312,0.4415436453729996,0.2691937964553872,0.1829989158468348,5,-0.014023257649950917,-0.015451519223139386,-0.008509639458878808,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
19,2018-07-30,81.529999,81.760002,80.339996,2830900,79.318451,-0.009857062773137696,47.383327103247545,-0.7857130000000012,-1.9250109999999978,-2.042868999999996,-0.7236824411361995,-0.9215145896161057,0.8367883870886308,0.23420336533420247,0.36209467217522334,0.2899611090246891,0.3217709482490066,-0.007189274972691839,1,-0.009808641158779228,-0.02369434970656467,-0.02510860197450086,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
20,2018-07-31,81.139999,81.730003,80.809998,3429000,80.045242,0.009121224856153626,55.77341228939206,0.7267910000000057,-0.05892199999999548,-1.198219999999992,-0.8552616170364158,-0.8910465400603147,0.8948541423374827,0.5212677107556816,0.5957257812403167,0.38442600637975877,0.5557027407867897,0.22927936051898445,2,0.009162949992556029,-0.0007355672546560186,-0.014748509855476028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2018-08-01,81.5,82.290001,81.360001,3571400,80.624702,0.007213079160193111,55.70063214598293,0.5794599999999974,1.3062510000000032,0.5205380000000019,-0.8526313545706944,-0.8837924851251122,0.9411491329695902,0.4933051552349728,0.7666430751398682,0.5766505849303797,0.5321823920704831,0.22722810349107414,3,0.007239156076259941,0.01646843809393105,0.006498263935442881,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-08-02,75.449997,78.16999799999999,74.83000200000001,12197300,75.48806,-0.065830580931809,46.8352891490728,-5.136641999999995,-4.557181999999997,-3.8303909999999917,-0.21842204778367524,-0.44437708859727776,0.5307656841198183,-0.5915773171369336,0.032551424249226746,0.09004601737131879,-0.36817461972176835,-0.022635338313665487,4,-0.0637105238540912,-0.05693257820371131,-0.04829129857818318,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2018-08-03,77.540001,78.25,76.269997,5647000,76.43092299999999,0.01241286753839438,55.75459087568823,0.9428629999999885,-4.193779000000006,-3.614319000000009,-0.5763148483381987,-0.7780585214768931,0.6060941515763467,0.5622769029587465,0.07804885011025475,0.11421134439035613,0.5962764684112989,0.2287488922438925,5,0.012490226931252285,-0.05201605582368548,-0.04515345209400465,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
24,2018-08-06,77.769997,78.519997,77.75,3399700,77.088951,0.008572597315141876,56.50969963924216,0.6580280000000016,1.60089099999999,-3.5357510000000048,-0.894737396121737,-0.892539122992909,0.658666201580945,0.5082168986029744,0.8035314925599033,0.12299832934551913,0.5489402010565777,0.25003110035070386,1,0.008609447252128588,0.021207208133312606,-0.04385443806043469,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
25,2018-08-07,78.550003,78.83000200000001,77.809998,2220000,76.676468,-0.005365107344736534,56.64196296392941,-0.4124829999999946,0.245545000000007,1.1884079999999955,-0.82894609764576,-0.9526346890537127,0.6257115599820366,0.30504021974361895,0.633844522031202,0.6513446542970983,0.3771400735300396,0.25375884890396505,2,-0.005350740860386006,0.0032126394705452796,0.015742992997832973,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2018-08-08,78.279999,78.279999,77.209999,2221400,75.861275,-0.01068851216599112,56.83258178548308,-0.8151929999999936,-1.2276759999999882,-0.5696479999999866,-0.8157892590028246,-0.9525633710978891,0.5605830743258071,0.22860823507139127,0.44939980576740945,0.45472501751961814,0.3115222656136747,0.2591313059925133,3,-0.010631592994085143,-0.015925446955426702,-0.007453108998827434,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
27,2018-08-09,77.120003,77.25,76.209999,4262500,74.89877299999999,-0.012768834849541132,50.2698591021035,-0.9625020000000148,-1.7776950000000085,-2.190178000000003,-0.8236837306095436,-0.8485868856467521,0.48368558170615206,0.2006498550210254,0.380538380092172,0.27348618326916396,0.28587961418348146,0.07416559424839075,4,-0.012687659151523815,-0.023184362117462276,-0.02841104946414439,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
28,2018-08-10,75.970001,76.260002,75.360001,2840700,74.211258,-0.009221644814896934,45.742146947653104,-0.6875149999999906,-1.6500170000000054,-2.465209999999999,-0.8605258261774134,-0.9210153639253404,0.42875771699688325,0.2528407670149262,0.3965234444396997,0.24272681499978932,0.32960329144484585,-0.05344478053422397,5,-0.009179255847088319,-0.021750451729159643,-0.03215080277302287,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
29,2018-08-13,75.75,76.459999,75.33000200000001,2933400,74.073769,-0.0018543887023640385,45.8331438008076,-0.1374890000000022,-0.8250039999999927,-1.7875060000000076,-0.800000578947219,-0.9162930964218764,0.41777326256168834,0.35723246029625993,0.4998136423794135,0.31852071139594795,0.4204141939959163,-0.050880098385940764,1,-0.001852670385940664,-0.011014920097556108,-0.023562825697300862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
30,2018-08-14,74.660004,75.739998,74.660004,3949800,73.877335,-0.0026553923575062845,39.275633783555634,-0.19643399999999644,-0.33392299999999864,-1.0214379999999892,-0.8131592596949319,-0.8645162604939278,0.40207949562380296,0.34604504668223485,0.5612961325879693,0.40419716988581167,0.4105407942173432,-0.23569889481047834,2,-0.0026518699217262247,-0.00449962726679554,-0.013637579883985406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
