index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,77.099998,77.779999,75.300003,10232600,73.024437,-0.03933781040487537,57.81464918240822,0.0,0.0,0.0,0.06629642715371098,-0.6191702564879452,0.6575686132066556,0.1592264477618266,0.19787331276428666,0.19906736240992196,-0.42265343381505327,0.5601745227397592,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,76.139999,76.550003,74.959999,6889400,72.60863499999999,-0.005710284403661316,51.927030042398535,-0.41580200000001355,0.0,0.0,-0.42541199597016055,-0.7825484595329608,0.6265686392262291,0.07182160753712416,0.19787331276428666,0.19906736240992196,0.0075718170186004075,0.3694448369552281,3,-0.005694011718296623,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,74.790001,75.870003,74.339996,2439700,72.695663,0.0011978724869702306,53.49582918703449,0.08702800000000366,-0.3287740000000099,0.0,-0.4585595189390951,-1.0,0.6330569815996867,0.17752041564816545,0.1441936200689089,0.19906736240992196,0.09595368403322675,0.42026615552220403,5,0.001198590222774518,-0.004502246282296019,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2018-11-26,76.550003,78.910004,76.5,14719200,75.267761,0.03477017571823628,56.989496046022396,2.572097999999997,2.6591260000000005,2.243323999999987,0.027626803211826312,-0.39991545696001796,0.8248188564225725,0.6999016122205571,0.6320349755426232,0.5472117129696678,0.5254724234794013,0.5334436499226822,1,0.035381725592075516,0.036622724005209585,0.030720182067271354,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2018-11-27,77.989998,79.58000200000001,77.050003,11905200,76.872925,0.02110183153530857,56.759848740434286,1.605164000000002,4.177261999999999,4.264290000000003,0.0939224016360265,-0.5374322861561993,0.9444913020440859,0.4966445048044571,0.8799045575344702,0.8608480381609183,0.3506017890958762,0.5260042151707915,2,0.021326049541981223,0.05746232756691413,0.05872979157368821,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2018-11-28,80.620003,81.650002,79.779999,19884000,77.617462,0.009638693755391118,59.57814793082573,0.7445370000000082,2.3497010000000103,4.921799000000007,-0.2707163731260711,-0.14751783100677074,0.9999999999999991,0.3157339622191353,0.5815144389057048,0.9628877095557729,0.20394421676873958,0.6173031436930727,3,0.009685295570579736,0.031217894205727875,0.06770416276415289,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,80.690002,80.809998,79.709999,10092000,77.356392,-0.003369216680433534,58.47357176715792,-0.2610700000000037,0.48346700000000453,2.0886310000000066,-0.6961330652301314,-0.6260412110668305,0.9805360166447725,0.10434748701256939,0.2768100899679453,0.523204706393207,0.03752306732490842,0.5815203493900605,4,-0.0033635472388932747,0.006289171382512173,0.02774934410497486,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-11-30,79.760002,80.239998,78.68,15921500,77.549774,0.002496764401996039,49.580180818519814,0.19338199999999972,-0.06768800000000397,0.6768490000000043,-0.4419899011021865,-0.34116048761297857,0.9949535446227111,0.19987686024741547,0.1868217361823038,0.3041084333974459,0.11257150182712597,0.2934185512173699,5,0.002499883913924007,-0.0008720718026055008,0.008804777494807233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2018-12-03,80.199997,80.66999799999999,79.160004,16494800,76.89224200000001,-0.008514988212270657,53.39957014890583,-0.6575319999999891,-0.4641499999999894,-0.7252199999999931,-0.46961642807084125,-0.3131439992767415,0.9459314742832294,0.021008066410543508,0.1220904669049478,0.08651953342358831,-0.02831112005888467,0.4171478396699715,1,-0.008478838378045939,-0.006000150575791971,-0.009343516024783097,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2018-12-04,79.449997,80.370003,78.57,13333700,76.302414,-0.0077004110972403875,46.530627327108995,-0.5898280000000113,-1.2473600000000005,-1.0539780000000007,-0.3093904169586762,-0.4676231921594882,0.9019570521954883,0.03523997799964389,-0.005786044364027687,0.035499154556637214,-0.017889549241435918,0.1946281292542149,2,-0.007670838886451136,-0.016084637461354825,-0.01362496327388176,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
24,2018-12-06,77.900002,78.059998,73.889999,15678500,74.039742,-0.030102572963610505,44.66358713987018,-2.262671999999995,-2.8525000000000063,-3.5100319999999954,1.0000000000000002,-0.3530356082578513,0.7332643255461742,-0.31640494564393146,-0.2678609710098585,-0.3456590396095506,-0.30449926616878986,0.13414527875200566,4,-0.029654002820932966,-0.03709737062940636,-0.04526166639763509,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
25,2018-12-07,76.199997,76.379997,73.690002,10556300,71.641685,-0.03292490580072094,43.79664818505068,-2.3980570000000085,-4.6607290000000035,-5.250557000000015,0.18231800616519522,-0.603351422937553,0.5544780171504025,-0.3448639340418279,-0.5630947092095555,-0.61577336360288,-0.3406077462496039,0.10606075247491664,5,-0.03238878114945361,-0.06108232696281409,-0.06828461316032396,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
26,2018-12-10,74.110001,74.220001,71.510002,10798500,70.916466,-0.010174448126437766,38.829845038335115,-0.7252189999999956,-3.123276000000004,-5.385947999999999,0.19336994291987408,-0.5915153973400706,0.5004095659882859,0.006779728354714493,-0.31207119587339105,-0.6367848678557786,-0.049541987824629985,-0.05483905795764499,1,-0.010122863525613554,-0.042183777463730275,-0.07058686242875617,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
27,2018-12-11,74.739998,75.410004,72.610001,10488200,70.984161,0.0009541184780736194,43.85937102901455,0.0676950000000005,-0.6575239999999951,-3.0555810000000037,0.2430959235071659,-0.6066793888466716,0.5054565432481475,0.17345646748037313,0.09051784590913921,-0.27513220164221946,0.09283513378318853,0.10809266181488142,2,0.0009545737939056425,-0.009177952751948746,-0.04126947119831946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28,2018-12-12,74.400002,75.66999799999999,74.129997,10141800,72.038147,0.014739030508509814,49.70095158780103,1.0539859999999948,1.1216809999999953,0.39646199999999965,-0.45303797045248395,-0.6236075443667701,0.5840361041346585,0.38078256805242106,0.38101276838499254,0.26059481252930666,0.2691971187772719,0.2973309256983261,3,0.01484818563961043,0.01581693312241469,0.005533956941409177,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2018-12-13,74.360001,74.57,72.32,10693900,70.94548,-0.015284103414847885,48.71955884683028,-1.0926669999999916,-0.03868099999999686,0.029014000000003648,-0.060773221208070716,-0.5966270747863822,0.5025726947011542,-0.07046072198194828,0.19155777627676127,0.20357008256409576,-0.11491410970033333,0.2655386638917543,4,-0.015167894310218609,-0.0005449243810882946,0.0004091292422835008,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
30,2018-12-14,72.739998,73.440002,71.610001,10624700,69.504707,-0.020517217844777676,46.68254933753692,-1.4407730000000072,-2.533439999999999,-1.479454000000004,-0.29281693171737855,-0.6000087963856628,0.3951563631017381,-0.14363533228026487,-0.21576730560022422,-0.030531015716921323,-0.18186574831259622,0.1995496495875808,5,-0.020308171852526858,-0.03516803395845258,-0.02084202981563738,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
31,2018-12-17,71.0,71.980003,70.25,9481500,68.354042,-0.01669377867875686,39.84625959436191,-1.1506649999999894,-2.5914379999999966,-3.684104999999988,-0.3480644607912893,-0.655875619106727,0.30936893288209877,-0.08265235627748302,-0.22523677343206705,-0.37267365343037384,-0.1329492721439618,-0.02191226288348269,1,-0.016555209706876246,-0.03652717551562124,-0.0511410294881681,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
32,2018-12-18,71.370003,71.410004,68.720001,9711800,67.261375,-0.016114549057389082,33.55711548532034,-1.0926670000000058,-2.243331999999995,-3.6841050000000024,0.18232242605592353,-0.6446211323391788,0.2279055234485936,-0.07046072198195127,-0.16840070030762083,-0.37267365343037606,-0.12553869994979452,-0.22564936802665958,2,-0.015985404345217884,-0.03227597233090984,-0.051928678190633175,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
