index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,122.349998,123.07,121.160004,5359400,114.36799599999999,-0.00771754637149892,35.242297184098675,0.0,0.0,0.0,-0.6184621538461547,-0.8610202779494747,0.2838294647958861,-0.008460629480016912,-0.0012749870506196803,0.07835280586363291,-0.23331261869326864,-0.5670124969920282,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,121.870003,124.160004,121.860001,4423500,116.743393,0.020557019379107214,35.66201951841039,2.3753970000000066,0.0,0.0,-0.49845999999999757,-0.9076725220824278,0.4598941016641529,0.38104184418520376,-0.0012749870506196803,0.07835280586363291,0.270876847531742,-0.555957305312769,2,0.020769770242367515,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,123.620003,125.230003,123.269997,4278800,117.733154,0.0084423529029759,43.113991239977516,0.9897610000000014,3.365158000000008,0.0,-0.6030744615384622,-0.9148854505214046,0.5332552749970194,0.15383407655748418,0.41965436380672977,0.07835280586363291,0.054849224756890524,-0.3596776007660951,3,0.008478090062021767,0.029423948287071573,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,2018-07-26,124.699997,125.379997,123.800003,5544100,116.83764599999999,-0.007635326737504402,42.12318447304224,-0.8955080000000066,0.09425299999999481,2.4696500000000015,-0.7200012307692292,-0.8518134508404283,0.4668801424054454,-0.15530032877533304,0.010514609190137955,0.3875723216073281,-0.23184648571203892,-0.3857747555518629,4,-0.007606251676566879,0.0008073518987065487,0.021593890654514936,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-07-27,122.790001,127.040001,122.08000200000001,7580900,118.741753,0.016165661975321995,44.58225945720761,1.9041070000000104,1.0085990000000038,1.9983600000000052,0.32000030769230614,-0.7502841305604849,0.6080127225650251,0.303762711133474,0.12488518799773538,0.328563123714977,0.19257056460075644,-0.32100444651362725,5,0.016297033235332475,0.008566822222396282,0.017117542574764853,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2018-07-30,126.760002,128.41000400000001,126.220001,5729300,120.49501799999999,0.014657415595621483,45.09079739978504,1.7532649999999848,3.657371999999995,2.7618639999999886,-0.5323061538461468,-0.8425816999980061,0.7379648802712264,0.27902860052685996,0.4562058271648912,0.4241598022517611,0.16567565332875206,-0.30760991405304505,1,0.014765362273201278,0.03130302710823184,0.023458676729241353,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-07-31,128.0,128.550003,126.129997,5894400,119.024529,-0.01227880975677205,45.487153683962056,-1.4704889999999864,0.28277599999999836,2.186883000000009,-0.4615359999999985,-0.8343518832372939,0.6289721048304155,-0.24958205170859168,0.03409592810939268,0.3521676793267235,-0.3146486495210186,-0.2971701677335137,2,-0.012203732771756477,0.0023814369659844784,0.018717280558699454,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-08-01,125.309998,125.91999799999999,124.75,4661000,118.19503,-0.00699354121023854,44.87401796759872,-0.8294989999999984,-2.299987999999985,-0.5467230000000001,-0.8461538461538465,-0.8958337487288897,0.5674895651885823,-0.14447659329693904,-0.2889680034913588,0.009898805780244518,-0.22040222498396123,-0.3133197321375907,3,-0.006969143309947468,-0.01908782651910127,-0.004604302919462542,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
22,2018-08-02,124.440002,124.809998,123.300003,4639600,116.658569,-0.013084601875620817,44.08043681319898,-1.5364610000000027,-2.365960000000001,-3.8364489999999876,-0.7415393846153862,-0.8969004845173769,0.45360693924131823,-0.26039972016260093,-0.29722008292857033,-0.40200064582198203,-0.3290174607655192,-0.3342221027234298,4,-0.012999370616514102,-0.019877919449695962,-0.03183906740442985,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,124.150002,124.25,123.33000200000001,5299400,116.931923,0.002340455918728328,43.47151663771002,0.27335399999999765,-1.263107000000005,-2.0926060000000035,-0.9230769230769231,-0.8640111259545791,0.4738679620288728,0.03636221873705229,-0.15927018655488515,-0.1836578490722291,-0.05395924326995559,-0.35026063273979813,5,0.002343196923665313,-0.01068663377808699,-0.017581300405734045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
