index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,74.720001,75.239998,73.910004,4930500,71.223602,0.003219913274593458,71.85711832050862,0.0,0.0,0.0,-0.5607509804310986,-0.4023630966653713,-0.3610527735822977,0.27232087803135574,0.2578776677713748,0.20265698477871985,0.417133739543341,0.5370607829638443,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,74.5,74.519997,73.230003,2795200,69.973892,-0.017702051202068397,74.99236856624854,-1.2497099999999932,0.0,0.0,-0.5794425473801988,-0.7554715857883466,-0.5022503070911624,-0.16488609252501607,0.2578776677713748,0.20265698477871985,-0.12320349840047329,0.6041254010579042,3,-0.017546290343473405,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,73.360001,73.459999,72.769997,1316500,69.735405,-0.0034140495552712168,80.28107006301798,-0.23848700000000633,-1.4881969999999995,0.0,-0.8598123133033762,-1.0,-0.5291955793334662,0.188886978336962,-0.23589762221270127,0.20265698477871985,0.24580292803615428,0.7172534509085533,5,-0.0034082283146406422,-0.020894716894548516,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
17,2018-11-26,73.059998,74.029999,73.010002,3143000,70.584427,0.012101387936769783,80.25348615361037,0.849022000000005,0.6105349999999987,-0.6391749999999945,-0.7056092224191315,-0.697956888782319,-0.43326947464136545,0.5693484576744059,0.4604497040477732,0.015159386525638113,0.6465094988407785,0.7166634168745951,1,0.012174905989289157,0.008725182815327732,-0.0089742021191233,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2018-11-27,73.83000200000001,74.309998,73.410004,4646700,70.698914,0.001620672674481823,81.22088512399634,0.1144869999999969,0.963509000000002,0.7250219999999956,-0.7616853251339699,-0.44929429565993906,-0.42033424805373354,0.31237378185551196,0.5775644672188056,0.4153372111340156,0.3758312485829031,0.7373565792726131,2,0.0016219866741993513,0.013816640198762765,0.010361321619783499,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-11-28,73.900002,74.08000200000001,72.809998,3555700,69.945274,-0.01071707582126181,74.14300743583959,-0.7536400000000043,-0.6391530000000074,0.20986899999999764,-0.5887836579630102,-0.6297098633240452,-0.505483690047174,0.008662380227779154,0.045810342061676446,0.2642206151581557,0.057192673698025664,0.5859571288722267,3,-0.010659852568598215,-0.00905515603321406,0.003009504282652372,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-11-29,73.949997,74.0,73.129997,3841200,70.355476,0.005847483621263057,75.11277607722984,0.4102019999999982,-0.3434380000000061,-0.22895100000000923,-0.7756997947432323,-0.5824975401635482,-0.4591373291791303,0.4158287108374988,0.14392689509708892,0.13549578069901802,0.4849941981157786,0.6067009797539236,4,0.005864613526283394,-0.004857754957876809,-0.0032436474974856595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2018-11-30,73.790001,74.529999,73.57,5397600,71.070953,0.010118096158033035,76.44621657647164,0.715477000000007,1.1256790000000052,0.3720390000000009,-0.733645638264437,-0.32512009789735663,-0.3782997047043928,0.5226281746623869,0.6313715497332303,0.31179207134574616,0.5952883812944461,0.6352239590453899,5,0.010169457172033164,0.01609371063440262,0.005262301483159994,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-12-03,74.120003,75.209999,73.639999,4425400,71.671951,0.008420755561331381,76.65515415399514,0.6009980000000041,1.3164750000000112,1.7266770000000093,-0.44859877500143497,-0.48589004737769037,-0.31039640294337545,0.48257806961215577,0.6946765760353963,0.7091658289275695,0.5514523289536283,0.6396932414770398,1,0.008456309851367888,0.01871176310426798,0.024686113889553274,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2018-12-04,75.370003,76.449997,75.029999,5453000,71.853218,0.002525927649362828,77.81494519515034,0.18126699999999119,0.7822649999999953,1.4977420000000023,-0.5186930856389228,-0.3159587574311866,-0.28991608886526876,0.3357365472120764,0.5174287401222739,0.6420093183380268,0.3992106484144883,0.6645017693926891,2,0.002529120492338644,0.01100681737024119,0.02128820790012141,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2018-12-06,74.75,74.900002,73.360001,5493500,72.13780200000001,0.003952807203456449,68.49638131608648,0.2845840000000095,0.4658510000000007,1.0668490000000048,-0.46261698292408426,-0.3092613875958097,-0.25776258215083914,0.37188166294051017,0.4124443767584055,0.515609814909286,0.4360616887648093,0.46517288692671177,4,0.003960629849591559,0.006499767252045373,0.01501104114925833,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,2018-12-07,74.970001,76.360001,74.480003,5232800,72.938469,0.011037988827758438,77.07012950332086,0.80066699999999,1.0852509999999995,1.2665179999999907,-0.30374006572422285,-0.352372605276866,-0.1672998303428681,0.5524316185187137,0.6179577695525962,0.5741813453126845,0.6190458188390247,0.6485697780019288,5,0.011099132185923684,0.015103721589755375,0.017671041213877248,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
