index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,141.259995,141.309998,137.600006,2823800,137.765579,-0.023200295795357723,61.563783792964266,0.0,0.0,0.0,-0.06262852280516018,-0.3239889705882353,-0.653327954820492,-0.5312662849213681,-0.5699413424091132,-0.5163976256416118,-0.9015674411709537,0.28391512015554454,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,138.110001,138.110001,134.070007,2442900,136.94722,-0.005957941703163408,53.576585670652335,-0.8183590000000152,0.0,0.0,0.07070569941760385,-0.4490217962184875,-0.7015906126078946,-0.6146409052264095,-0.5699413424091132,-0.5163976256416118,-0.6385529328939907,0.025848948516395742,2,-0.0059402283643000195,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,137.369995,139.25,137.029999,1608500,138.873367,0.013966892991065082,54.8483930831739,1.9261470000000145,1.1077879999999993,0.0,-0.6646454533204734,-0.7229188550420168,-0.587996244476999,-0.33502994515276685,-0.4694438435565961,-0.5163976256416118,-0.33461992168326027,0.06694101421774468,3,0.014064885727508851,0.008041108730069645,1.0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2019-07-25,138.729996,138.729996,136.800003,1729600,137.446228,-0.010329717586523611,48.595212326728195,-1.427139000000011,0.49900800000000345,-0.3193510000000117,-0.7818204738305872,-0.6831670168067228,-0.6721616549778382,-0.6766635644130278,-0.5246717999448536,-0.5443807721904741,-0.7052399106761954,-0.13509909968347888,4,-0.010276549282484171,0.0036437979536934266,-0.0023180754025649013,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
18,2019-07-26,137.779999,138.619995,137.16000400000001,1281300,137.695724,0.001813580710398429,54.281604282668255,0.24949600000002192,-1.1776429999999891,0.7485040000000254,-0.9717203869012506,-0.8303243172268908,-0.6574476479621794,-0.505847569824903,-0.6767760220059077,-0.45080992707668016,-0.5200062927289044,0.04862808224403525,5,0.001815226242512977,-0.008479977301911237,0.005465638513874363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2019-07-29,137.850006,138.139999,135.509995,1491600,135.530045,-0.01585300218097802,48.208224659106804,-2.1656790000000115,-1.9161829999999895,-3.3433220000000006,-0.49898757514398606,-0.7612920168067228,-0.7851683969908629,-0.7519062049657487,-0.7437756851206355,-0.8093563747484933,-0.7894919782254749,-0.14760266154901425,1,-0.01572800474181763,-0.013941328386254366,-0.0240746089205139,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
20,2019-07-30,135.610001,135.610001,133.610001,1551000,133.933212,-0.011852092268709365,41.164156037005334,-1.5968330000000037,-3.762512000000015,-3.5130159999999933,-0.7535348001220964,-0.7417935924369748,-0.879341497821466,-0.6939520317214374,-0.9112729378069544,-0.8242258195614491,-0.7284621822005721,-0.3751963426161118,2,-0.011782132884261963,-0.027324828184207194,-0.025559202686886346,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
21,2019-07-31,133.929993,135.139999,132.570007,1547900,133.753586,-0.0013420611573139076,34.62796253665067,-0.17962599999998474,-1.7764589999999885,-3.942138,-0.5232348625665846,-0.74281118697479,-0.8899349270716108,-0.549566626882429,-0.7311000535650769,-0.861827655201045,-0.568142387701591,-0.5863805911972615,3,-0.0013411609959745067,-0.01310749214316271,-0.028629342186399336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,133.860001,136.020004,131.550003,2137000,131.887283,-0.014051555506471925,28.46161526397495,-1.8663030000000163,-2.045929000000001,-3.6427620000000047,0.24444600673495764,-0.5494353991596639,-1.0,-0.7214057029508124,-0.7555461217801045,-0.8355948189762901,-0.7620127483738571,-0.785615117408853,4,-0.013953293184976859,-0.015275740568366277,-0.026877892647346236,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
23,2019-08-02,132.300003,134.600006,132.029999,2004800,133.42424,0.011586184994660268,30.087224148791833,1.536957000000001,-0.32934600000001524,-0.508972,-0.5232288019568432,-0.5928308823529412,-0.9093580815693931,-0.3746807200284871,-0.5998193057532573,-0.5609963213252546,-0.3709351916097091,-0.7330917349832461,5,0.011653564809580625,-0.00246233398183444,-0.0038001925915134476,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
