index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,114.739998,115.639999,113.040001,820200,111.133896,0.003749704874916412,69.24366422043154,0.0,0.0,0.0,-0.4756263376159885,-0.7677780016116036,1.0,0.07892605151375376,0.016253033942027928,0.08940452874752114,0.08676697398712666,0.5935699272697206,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,105.809998,108.720001,105.0,2872500,101.973495,-0.08602281804770034,53.13444102109676,-9.160400999999993,0.0,0.0,-0.1805002268775916,0.26581385979049155,0.4551661842877994,-1.0,0.016253033942027928,0.08940452874752114,-0.8783884271867294,0.1705029441397239,2,-0.08242670624990951,1.0,1.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,105.75,107.93,104.449997,2401600,104.140266,0.021025775409910713,58.39565515855392,2.166770999999997,-6.993629999999996,0.0,-0.24374083991611895,0.02865632554391606,0.5840393757239104,0.3341316565483484,-0.7092353467634618,0.08940452874752114,0.27250412657092116,0.30867509342292476,3,0.021248374393757877,-0.06292976537059401,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
17,2018-07-26,107.660004,109.18,107.059998,1108100,103.830727,-0.0029767538646157618,63.22686750882921,-0.3095390000000009,1.8572319999999962,-7.303168999999997,-0.602107563693047,-0.6227840451248994,0.5656289028110173,0.04246807428551702,0.20891410355457765,-0.652108137316682,0.014449991330543782,0.4355543605731713,4,-0.002972327725761723,0.018212889535658226,-0.06571504520996904,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,107.07,108.040001,106.480003,1097600,103.230995,-0.00579280101878822,57.16980476058911,-0.599732000000003,-0.9092710000000039,1.2574999999999932,-0.749671277824123,-0.6280721192586625,0.5299586003903354,0.008288698550007925,-0.07807073574731288,0.2170822776228013,-0.015825676906525192,0.2764813108166291,5,-0.005776055097832486,-0.008731214494881394,0.01233163578437704,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2018-07-30,106.720001,107.400002,106.099998,1059000,103.521187,0.0028071499681834693,49.52780627840714,0.29019200000000467,-0.30953999999999837,-0.6190789999999993,-0.8181809318476576,-0.6475120870265916,0.5472183704210538,0.11310530946773246,-0.015857282640859102,0.026547579963457607,0.07663345061583426,0.07578403305625603,1,0.002811093703010464,-0.0029811984269357797,-0.005944665053957124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,2018-07-31,107.16999799999999,107.949997,106.779999,653700,104.198296,0.006519478948405976,47.97085570539946,0.6771090000000015,0.9673010000000062,0.36756900000000314,-0.8524381304021782,-0.851631748589847,0.587490830122662,0.15867698597769572,0.11659658030418975,0.12672491242651795,0.11654515466011607,0.0348947627510261,2,0.006540777010217257,0.009370257450293937,0.0035400792291476794,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-08-01,107.900002,108.220001,106.849998,550200,103.443802,-0.007267286623318896,43.04323721569493,-0.754493999999994,-0.07738499999999249,0.21280700000001218,-0.7997358628383997,-0.9037570507655117,0.5426157373235627,-0.009939406702629147,0.008225454796306908,0.11101146211126145,-0.03167805243118978,-0.09451636171219269,3,-0.007240943748254712,-0.0007475281364383166,0.0020614641949349825,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2018-08-02,106.83000200000001,108.690002,106.5,633500,104.97213700000002,0.014666463642814976,42.704273808564224,1.5283350000000127,0.7738410000000187,1.4509500000000202,-0.5836622311790396,-0.8618049959709912,0.6335166258039377,0.258935687220781,0.09652789177887813,0.23672383668437308,0.20413438603180786,-0.10341835681597722,4,0.014774543959627592,0.007426618569655099,0.014015971435876408,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-08-03,106.83000200000001,109.0,106.83000200000001,602400,105.28168500000001,0.0029445193500778066,46.76412555195654,0.3095479999999924,1.837883000000005,1.083389000000011,-0.5889333802020468,-0.8774677679290895,0.6519276340104643,0.1153850887757657,0.20690692349525736,0.1994042652693844,0.07811032568378261,0.003203123796630347,5,0.0029488587052390134,0.01776697070743789,0.01039737732371373,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
