index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,94.019997,95.379997,93.690002,872400,91.978806,0.004023322926787329,46.01280401391098,0.0,0.0,0.0,-0.7547177567005091,-0.7414887187751813,-0.014619754024575826,0.05538447062018026,-0.0771395239453383,-0.14505206408228777,0.08970867521178226,-0.16436446342056144,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,94.870003,95.209999,93.190002,978200,90.58901999999999,-0.015225167293075544,47.46659319926189,-1.389786000000015,0.0,0.0,-0.6657684185671771,-0.6882050765511685,-0.1092530174955515,-0.11249040685909767,-0.0771395239453383,-0.14505206408228777,-0.1172342032473283,-0.12063185322697079,3,-0.015109850414888132,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,92.800003,94.610001,92.660004,359100,91.41510799999999,0.009077746553534835,49.89301454069954,0.8260879999999986,-0.5636980000000165,0.0,-0.6846363456383243,-1.0,-0.05300306005303135,0.15516920135361692,-0.14116648055962544,-0.14505206408228777,0.14404940335842426,-0.04764070722055069,5,0.009119074254252874,-0.0061285640085392765,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,2018-11-26,94.889999,95.25,93.730003,873400,92.163475,0.008153142194778175,49.64518504795163,0.748367000000016,1.5744550000000146,0.18466899999999953,-0.8005393262182388,-0.7409850926672039,-0.0020452784348652386,0.14578113487966776,0.1016930459345361,-0.12147438954277763,0.1341088685293863,-0.05509586695762336,1,0.008186469571309985,0.017380196849463816,0.0020077342599989774,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-11-27,94.989998,95.720001,93.870003,708100,91.998253,-0.001794314661606339,49.306421686988315,-0.16522199999999998,0.583145000000016,1.4092330000000146,-0.7115902576267213,-0.8242344883158743,-0.013295569528027684,0.03542699298917739,-0.010903703320041758,0.03487221678963942,0.027162540183916128,-0.0652864820496617,2,-0.0017927058414409828,0.006379087798047738,0.015556333427605406,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2018-11-28,95.019997,97.300003,94.760002,1338700,94.204422,0.02369753541739391,47.86079754825931,2.2061689999999885,2.0409469999999885,2.7893140000000045,-0.5256055964428037,-0.5066478646253022,0.13692681883859503,0.321871793541533,0.15467897642375106,0.21107450659551663,0.3012285460025272,-0.10877347286134609,3,0.023980553195939367,0.022144857276703036,0.030512615048269756,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
20,2018-11-29,92.949997,92.949997,87.400002,4330300,85.467209,-0.09733434124360922,32.04425950352311,-8.737212999999997,-6.5310440000000085,-6.6962660000000085,0.2857136503657174,1.0,-0.45800720685386587,-1.0,-0.8189602698660061,-1.0,-1.0,-0.5845635667019384,4,-0.09274737655096485,-0.07099095675218972,-0.07265639669077156,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
21,2018-11-30,87.389999,88.699997,85.559998,3534900,86.079491,0.00713840137980811,27.39520801034088,0.6122820000000075,-8.12493099999999,-5.918762000000001,-0.3638810463451557,0.5994157937147462,-0.4163157206649588,0.1293431705443178,-1.0,-0.900731924333984,0.12319926560774247,-0.7244154508471587,5,0.007163940500268443,-0.08624787273786351,-0.06433559124215109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
22,2018-12-03,87.849998,90.900002,87.5,2175900,88.246796,0.024866205913418118,36.50379239380923,2.167304999999999,2.7795870000000065,-5.9576259999999905,-0.2937993657411563,-0.08501208702659158,-0.2687396585324002,0.317177337532944,0.23857650884993814,-0.9056938981536466,0.313793065798886,-0.4504127451787301,1,0.02517794860102041,0.03252226242698538,-0.06324146864358439,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-12-04,90.900002,91.410004,89.519997,2074300,87.216583,-0.011742904352444229,44.10719394870784,-1.0302130000000034,1.1370919999999956,1.749374000000003,-0.700806159138299,-0.1361804995970992,-0.33888888888888946,-0.0690569046365557,0.05201569773444517,0.07829982941299943,-0.07979596740366196,-0.22168866351935135,2,-0.011674225543554049,0.013209790006774035,0.02046836465667205,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
