index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,140.990005,141.619995,140.679993,1008100,139.181366,0.002194833996727599,56.76919988904886,0.0,0.0,0.0,-1.0,-0.9274462330189539,-0.5793578432323332,-0.36884075830197505,-0.3668015031216936,-0.2682175648662235,-0.18599840547442742,0.08777989665004005,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,141.929993,143.16000400000001,139.399994,1782600,137.40947,-0.012812573730917175,50.58138053849894,-1.7718959999999981,0.0,0.0,-0.4674203842947563,-0.7705266783503693,-0.6209149109670822,-0.477471525665219,-0.3668015031216936,-0.2682175648662235,-0.3398011592071981,-0.09170506144242085,2,-0.012730842144486484,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,139.5,141.580002,139.5,1388600,139.299484,0.01366087627727407,49.492891312342,1.8900140000000079,0.11811800000000972,0.0,-0.7847024682539981,-0.8503540567098558,-0.5765875690589657,-0.25296845476538193,-0.3606159304966983,-0.2682175648662235,-0.06848917875328558,-0.12327796816011793,3,0.01375461240044087,0.0008486624567257783,1.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,141.919998,142.899994,139.600006,1986300,137.53746,-0.012729860177221225,48.945597029210354,-1.7620239999999967,0.12799000000001115,-1.643905999999987,-0.5542989817937617,-0.7292555185233961,-0.6179131043715649,-0.476866296613734,-0.36009895617480026,-0.3464548317546776,-0.3389534730137973,-0.13915288077588417,4,-0.012649178226675963,0.0009314496300728847,-0.011811250652619598,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-07-27,139.940002,140.679993,136.729996,1981000,134.653229,-0.02119351670545974,41.732819643155615,-2.8842309999999998,-4.6462549999999965,-2.7562409999999886,-0.4315399174843866,-0.7303293385876226,-0.685558261327539,-0.5456661627178419,-0.610115373461056,-0.3993934123452767,-0.4256928822652388,-0.348367948884043,5,-0.020970512324424193,-0.033354430803203806,-0.020058595670298333,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
19,2018-07-30,136.800003,136.990005,133.83999599999999,3831700,131.965866,-0.020159501423869585,31.35205113019066,-2.687363000000005,-5.571594000000005,-7.333618000000001,-0.5826236383847507,-0.3553635286132525,-0.7485861852118183,-0.5335966496599273,-0.6585732849329744,-0.617241309973289,-0.4150958224267579,-0.6494743154348812,1,-0.019957657309502802,-0.04050964733535143,-0.05264641181298275,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,133.600006,135.830002,132.029999,2730000,132.832123,0.006542799615004937,31.40331669753185,0.8662569999999903,-1.8211060000000145,-4.705337000000014,-0.45986740693763906,-0.578576276680883,-0.7282694731560881,-0.3157325834182456,-0.4621687072803631,-0.4921553731527812,-0.14143847231591034,-0.6479872975236356,2,0.006564250485803581,-0.013524413885388626,-0.03421131232174866,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2018-08-01,134.330002,134.929993,133.28999299999998,2198500,132.33007800000001,-0.003786705631604079,31.14840907693356,-0.5020449999999812,0.3642120000000091,-2.3231509999999957,-0.8678001389235608,-0.6862621944424746,-0.7400441586178146,-0.39961995392117494,-0.34772854407316045,-0.3787816633056599,-0.24729994955818269,-0.655381192045858,3,-0.0037795451029566185,0.002759895502068763,-0.017252842856074365,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,134.41000400000001,137.110001,133.759995,1658300,134.604019,0.01703788338558487,31.67559700842662,2.2739409999999793,1.7718959999999981,2.6381529999999884,-0.5448527081596597,-0.7957107979698722,-0.6867124054213392,-0.2294307953195312,-0.2740113154116271,-0.14266179686393107,-0.033880070900729475,-0.6400894877425523,4,0.017183855963569968,0.013339363701956328,0.019991177112420787,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2018-08-03,136.75,137.770004,133.869995,1750800,132.88133200000001,-0.01288078626919429,26.539230347950394,-1.7226869999999792,0.5512540000000001,0.04920900000001893,-0.4409805253939618,-0.7769695987357288,-0.7271153525157348,-0.4744546378618829,-0.3379335773879456,-0.26587559539454114,-0.34050023238602545,-0.7890758272873805,5,-0.012798183982901576,0.004165749830510945,0.000370460088182276,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
24,2018-08-06,135.380005,136.300003,134.020004,1317000,132.96993999999998,0.0006665983022347021,20.17791249245542,0.08860799999996516,-1.634079000000014,0.6398619999999653,-0.7469315380289071,-0.8648607579548793,-0.7250371895435066,-0.3634084106729277,-0.4523745261112365,-0.23776506085092233,-0.20166046133586354,-0.9735933130159949,1,0.000666820528258741,-0.012139897546447065,0.0048353481662722604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25,2018-08-07,135.830002,136.690002,134.919998,1147500,133.235718,0.0019967876738992965,25.30789531343018,0.2657780000000116,0.3543859999999768,-1.3683010000000024,-0.8432479105752242,-0.8992027392542016,-0.7188037794853503,-0.3525465355664028,-0.34824310947905457,-0.3333381560196956,-0.18802807444660657,-0.8247921442236528,2,0.001998782581988167,0.002666935939504104,-0.010165379980221857,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,2018-08-08,134.949997,135.300003,133.08999599999999,1547600,131.040527,-0.016613233543367082,25.145710541601616,-2.195190999999994,-1.9294129999999825,-1.8408050000000173,-0.7601500510481727,-0.8181394547830579,-0.7702885737834984,-0.5034227443998535,-0.4678405000155525,-0.3558257079562805,-0.37875205304341225,-0.8294965037606354,3,-0.01647599482294976,-0.014510144172434633,-0.013852999306178065,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
27,2018-08-09,132.550003,133.130005,130.470001,3087400,130.105408,-0.00716168909031424,19.267530862484136,-0.935118999999986,-3.13030999999998,-2.8645319999999685,-0.675164749826152,-0.5061643349913385,-0.7922203370602654,-0.42617070009649793,-0.5307287609803357,-0.40454723006272286,-0.28188831812739173,-1.0,4,-0.007136105305803495,-0.023494525694678813,-0.021542703561421243,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
28,2018-08-10,131.220001,134.389999,128.809998,1959300,130.656647,0.004227914380626428,21.70575006936764,0.5512389999999812,-0.3838800000000049,-2.579070999999999,-0.12370146315447239,-0.7347259226241731,-0.7792918827598805,-0.33504559449408494,-0.3869044308658393,-0.39096148462275077,-0.16516247116261992,-0.9292765920632725,5,0.004236864619801055,-0.002929475398095773,-0.019357204199552547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2018-08-13,133.380005,133.559998,131.229996,1934100,130.262894,-0.003018197084044053,28.321863140900604,-0.3937530000000038,0.15748599999997737,-0.7776330000000087,-0.7374880972570685,-0.7398316331182316,-0.7885267476118587,-0.39298082664773565,-0.3585543173378183,-0.3052269075915803,-0.23942392372967314,-0.737368472238549,1,-0.0030136469061539887,0.0012104492996938094,-0.005934293899779636,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2018-08-14,132.770004,133.449997,131.350006,1939100,130.97166399999998,0.005426324484552931,29.449044104070538,0.708769999999987,0.3150169999999832,0.8662559999999644,-0.7809273960065712,-0.7388185953217914,-0.771903648457982,-0.3253877401880197,-0.3503047750056752,-0.2269904497722203,-0.15288061826503102,-0.7046732663063985,2,0.005441073649108295,0.0024110292681855158,0.00665810909259025,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,2018-08-15,132.389999,133.630005,131.350006,1956300,131.444153,0.0036010749351500335,36.27038780530474,0.47248900000002436,1.1812590000000114,0.7875060000000076,-0.7469315380289071,-0.7353337453020372,-0.760822153055924,-0.3398735713786486,-0.30494163982034483,-0.23073834336678253,-0.1715866074699849,-0.5068121913476593,3,0.0036075665954738456,0.009068269280122178,0.006027293812307977,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,2018-08-16,134.330002,138.979996,132.83999599999999,3010800,131.483551,0.0002996869458449068,45.17090485691438,0.039398000000005595,0.51188700000003,1.220657000000017,-0.01794146097882776,-0.5216840740328021,-0.7598981341774946,-0.36642535978390306,-0.33999513817908655,-0.21012369119688853,-0.2054207361289995,-0.24864225465301137,4,0.00029973185646382913,0.003908379754570653,0.009370719185772251,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,2018-08-17,134.399994,136.220001,133.630005,4549000,133.816513,0.017587799283386628,59.00889955963229,2.3329619999999807,2.3723599999999863,2.8448490000000106,-0.6883862845651698,-0.2100331263359435,-0.7051821351252956,-0.22581235692329002,-0.2425663732292776,-0.13282465890301495,-0.028244282166374035,0.15274501258844242,5,0.017743375367158896,0.018048425478461458,0.021721102970792303,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
34,2018-08-20,141.110001,144.979996,139.179993,6274500,138.364334,0.03342075203583743,71.49694727980406,4.547821000000027,6.880783000000008,6.920181000000014,-0.08215243896220215,0.13956621721556428,-0.5985200593925688,-0.09002457210330483,-0.006470453126526943,0.061129762665529774,0.13401903320700997,0.5149754842185628,1,0.0339854992335664,0.052331892070666755,0.052647309462293186,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
35,2018-08-21,141.470001,142.389999,134.889999,5280900,134.495743,-0.02835775967710037,65.39652873447943,-3.868591000000009,0.6792300000000182,3.012191999999999,0.2389047172444667,-0.06174465369302928,-0.6892518507759466,-0.6060149541602764,-0.3312317635894015,-0.12486042070879111,-0.4991153092057177,0.33802568899599317,2,-0.027959452325337024,0.005075830962655695,0.02290926870388524,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
36,2018-08-22,136.509995,136.600006,133.770004,2844700,132.960098,-0.011483479812738666,59.1113126944741,-1.5356450000000166,-5.404236000000026,-0.8564149999999984,-0.6430593552632092,-0.5553371896305451,-0.7252680183622662,-0.46298753370387824,-0.649809124827201,-0.30897632413973175,-0.32617999902449857,0.15571562568715325,3,-0.011417796323858493,-0.039058013317218185,-0.0063999201653087345,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
37,2018-08-23,134.220001,134.369995,132.100006,3086000,131.05043,-0.014466857216227244,57.214473142833185,-1.9096679999999822,-3.4453129999999987,-7.313904000000008,-0.7488220014436284,-0.5064479855743418,-0.7700563143045125,-0.4859180022536684,-0.5472247559480065,-0.6163030753787084,-0.35675501027280543,0.10069556964687232,4,-0.014362715045531799,-0.02561652081434279,-0.05285974924723019,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
38,2018-08-24,133.369995,136.240005,133.28999299999998,1983900,133.47197,0.018309282293848705,61.14683794573761,2.421539999999993,0.511872000000011,-1.0237730000000056,-0.6203945686098417,-0.7297417766656873,-0.7132628558834742,-0.2203818485235291,-0.33999592369517634,-0.3169412762184507,-0.020850195473035987,0.21475842311250282,5,0.01847792487212742,0.0038498166570245084,-0.0076119360893080875,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,2018-08-27,136.220001,139.300003,136.0,1887500,136.090408,0.019427936335484564,61.87089558217201,2.6184379999999976,5.039977999999991,3.1303100000000086,-0.5542961489314983,-0.7492731453810542,-0.6518514607873502,-0.2083104962363246,-0.10286924938072622,-0.1192389134630415,-0.009385719049105984,0.23576056412045032,1,0.019617886811740304,0.03845830952252496,0.023543228736188273,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
40,2018-08-28,142.919998,146.0,139.53999299999998,3226600,137.901672,0.01322147987006489,67.03711426886667,1.8112639999999942,4.429701999999992,6.851241999999985,0.04249425589963085,-0.4779613627384437,-0.609371077777562,-0.25779643164994903,-0.13482802382061912,0.05784879712247232,-0.07299231338089818,0.38561279669984394,2,0.013309270114025922,0.03318825668041007,0.052279431666114984,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
41,2018-08-29,140.509995,142.119995,140.119995,2532300,138.177307,0.0019967843446938383,67.62064864121277,0.2756350000000225,2.0868990000000167,4.705337000000014,-0.7998114446879849,-0.6186317911521279,-0.6029064870989504,-0.3519422261295619,-0.2575153204439564,-0.04427975657966582,-0.1880281085658213,0.40253889561007505,3,0.001998779246128521,0.015334651653039476,0.03525337192520658,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
42,2018-08-30,139.850006,140.529999,139.16000400000001,1808800,137.69366499999998,-0.003506294931931886,63.23028600033094,-0.48364200000003166,-0.20800700000000916,1.603256999999985,-0.9187926038876697,-0.7652183602970226,-0.6142495587879044,-0.3984917093674425,-0.37769435946033236,-0.19191487736475926,-0.24442617291611338,0.27519127765814666,4,-0.0035001550580228895,-0.0015083718491825768,0.011780822936470182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,2018-08-31,139.33999599999999,140.610001,138.800003,2844300,138.30561799999998,0.004434460815677042,64.10902518833905,0.6119529999999997,0.1283109999999681,0.4039459999999906,-0.8356947443606181,-0.5554182326542603,-0.5998971519471628,-0.3313233622582799,-0.36008214613050255,-0.2489928458065431,-0.1630456891666225,0.30068013849889197,5,0.0044443075866997936,0.0009285967629979073,0.00292923206906433,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,2018-09-04,138.880005,139.949997,137.899994,2389200,136.36113,-0.014159125559238409,59.044385167278456,-1.9444879999999785,-1.3325349999999787,-1.8161770000000104,-0.7903680039161464,-0.647624932886246,-0.6455020968905489,-0.48805273438218366,-0.4365833485461607,-0.3546536048013985,-0.35360123600914994,0.15377431426007115,2,-0.014059356576534576,-0.009677533094931991,-0.013143815286543471,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
45,2018-09-05,137.380005,138.58999599999999,136.179993,2126600,135.966309,-0.002899607017776146,54.430877763641035,-0.3948210000000074,-2.339308999999986,-1.7273559999999861,-0.7223793096805705,-0.7008296779552845,-0.6547620100232057,-0.39304630321043704,-0.4893058268640841,-0.35042640915742534,-0.23820855868539856,0.019954120733004066,3,-0.0028954072175847137,-0.016914056231612993,-0.012544919913345224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
46,2018-09-06,137.21000700000002,139.66000400000001,137.029999,1670300,136.884247,0.006728529174454044,53.070883634981676,0.9179379999999924,0.523116999999985,-1.4213709999999935,-0.6808302854883003,-0.7932795072584158,-0.6332332004077994,-0.31256414312146746,-0.33940704846728637,-0.33586387936018436,-0.13953503114797122,-0.019494104135862722,4,0.006751216582631454,0.0038362618438259125,-0.010277030105891965,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,2018-09-07,137.919998,139.190002,136.529999,1687500,136.973099,0.0006488926035066552,45.56271617649731,0.08885200000000282,1.0067899999999952,0.6119689999999878,-0.6751649386836409,-0.7897946572386616,-0.6311493147946661,-0.3633934516080386,-0.3140781869199427,-0.23909255286404102,-0.2018419174054631,-0.23727730776437217,5,0.0006491031798567941,0.007404701998639937,0.004487855153444297,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48,2018-09-10,139.440002,140.389999,138.5,1434000,136.755951,-0.0015865911605047725,37.76391882943823,-0.21714799999998036,-0.12829599999997754,0.7896420000000148,-0.82058595678412,-0.8411556735181789,-0.6362421837578922,-0.38215359035949514,-0.3735200745967963,-0.2306366862148077,-0.22475217379814497,-0.46349057219719625,1,-0.001585333190132322,-0.0009372590550903754,0.005807629888666132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,2018-09-11,137.850006,138.380005,136.479996,2047100,136.380875,-0.002746434754012241,41.631630480382555,-0.37507600000000707,-0.5922239999999874,-0.5033719999999846,-0.8186954933693988,-0.7169369789186835,-0.645039008592803,-0.3918357837998242,-0.39781493513260463,-0.29217419590727695,-0.23663877952100798,-0.3513030592372759,2,-0.0027426667523960772,-0.004323651901896353,-0.003677355218237674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,2018-09-12,138.71000700000002,140.270004,138.03999299999998,1719500,137.92067,0.011227141823530481,48.74898439377534,1.539794999999998,1.164718999999991,0.9475710000000106,-0.7563721459384822,-0.7833112153414443,-0.608925509204223,-0.2744395561817117,-0.30580780222757775,-0.22312048192914513,-0.09343119856331368,-0.14485586087797242,3,0.011290402704924705,0.008516770140408667,0.006917935031900028,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
51,2018-09-13,139.889999,140.66000400000001,139.080002,1110800,138.315521,0.0028587946241753768,55.822982564848246,0.3948509999999885,1.9346459999999865,1.5595699999999795,-0.8791312102478573,-0.9066384366800725,-0.5996648924681769,-0.34463337416422485,-0.2654884658483275,-0.19399404215797517,-0.17919383437694894,0.06033375332243707,4,0.002862884874326586,0.014185610702380275,0.011404037547148346,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
52,2018-09-14,140.58999599999999,141.800003,139.940002,1526500,139.105118,0.005692432509752785,55.22784458516303,0.7895970000000148,1.1844480000000033,2.7242430000000013,-0.8262513035887795,-0.8224144742840356,-0.5811461216079485,-0.3204324273289851,-0.3047746390998699,-0.13856457579020295,-0.15015342194912534,0.04307107817120781,5,0.00570866519022124,0.008587893315773504,0.019975256794620224,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
53,2018-09-17,140.91000400000001,140.91000400000001,139.020004,1877600,138.078613,-0.007406709542981785,48.53423659190391,-1.0265050000000144,-0.23690799999999967,0.15794299999998884,-0.8205857679266313,-0.7512789602180057,-0.6052212015308442,-0.4317733603577438,-0.3792078394924605,-0.2607006942883667,-0.2843993993897273,-0.1510848727536851,1,-0.0073793474658496346,-0.0017128084996332386,0.0011451728011471294,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
54,2018-09-18,140.399994,141.399994,139.350006,1506600,138.483292,0.002926500588138297,45.07650718966183,0.4046790000000158,-0.6218259999999987,0.1677710000000161,-0.7903708367784098,-0.8264463647138675,-0.5957300843242863,-0.3440308426490293,-0.3993651249499497,-0.26023295716776373,-0.1784999528025551,-0.251380369712777,2,0.002930786971332163,-0.004470187789927317,0.0012129585948638122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2018-09-19,140.0,140.690002,138.830002,1201400,137.85159299999998,-0.004571989529091106,47.5242056062454,-0.631699000000026,-0.2270200000000102,-1.2535250000000246,-0.8262514924462684,-0.8882821918085764,-0.6105456029162206,-0.40756873506392766,-0.378690027286735,-0.32787570223925583,-0.25534789681778997,-0.18038200618032496,3,-0.00456155389489171,-0.0016441358662837252,-0.009011350682294986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,2018-09-20,141.429993,142.830002,140.369995,1647000,140.743622,0.020762258163652427,54.55472553490003,2.892029000000008,2.260329999999982,2.6650089999999977,-0.712935680051243,-0.7980002633898271,-0.5427175559857806,-0.19153727688616046,-0.24843313105770498,-0.14138365806551006,0.0042890191376847575,0.02354647060215309,4,0.020979293289704735,0.016322041217795298,0.019300664614874122,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
57,2018-09-21,143.869995,145.550003,143.0,2544600,141.68133500000002,0.006640464466899798,54.139727631385504,0.9377130000000307,3.8297420000000386,3.1980430000000126,-0.6959392619222872,-0.616139718172885,-0.5207249544692378,-0.3113517844815629,-0.16624657266238366,-0.1160153442333191,-0.1404375584047981,0.011508969650522394,5,0.006662561234924242,0.027781630350837073,0.023093349051812057,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
