index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,141.889999,144.720001,141.580002,1666600,140.526184,-0.0059672727157344275,56.67940051568672,0.0,0.0,0.0,-0.6042053895571369,-0.7940291552277815,-0.5559124668593576,-0.44971137270279227,-0.4014045197711369,-0.26821840823271015,-0.4107771347200209,0.018081514881688632,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,142.330002,142.869995,140.520004,1581400,139.190384,-0.009551169345315372,49.35233682880566,-1.335800000000006,0.0,0.0,-0.7552584577867345,-0.8112913192791222,-0.5871646269531916,-0.5362313912413161,-0.4014045197711369,-0.26821840823271015,-0.4515892550565127,-0.21003570899830426,3,-0.009505701798605775,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,139.71000700000002,140.860001,138.809998,971500,138.63626100000002,-0.00398898913938556,41.758451015918276,-0.5541229999999757,-1.8899229999999818,0.0,-0.8126175071027646,-0.9348616696888961,-0.6001287987660939,-0.48560202417203924,-0.5026318710696639,-0.26821840823271015,-0.3882491558962858,-0.44646004269137274,5,-0.003981043690489249,-0.013448902874926012,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-11-26,141.429993,142.309998,140.100006,2162600,139.447647,0.005835564584803844,51.40764411517815,0.8113859999999704,0.2572629999999947,-1.0785370000000114,-0.7820268936748189,-0.6935358058209151,-0.5811457435408398,-0.3971577480869098,-0.38762509485429497,-0.3194223904697874,-0.27637068665292763,-0.1460467753103003,1,0.005852624660729781,0.0018482814157621313,-0.007674989594821783,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,2018-11-27,140.580002,140.759995,138.309998,2628200,138.51753200000002,-0.006692338046048616,43.786779341006174,-0.9301149999999723,-0.11872900000000186,-0.6728519999999776,-0.7361368626365965,-0.5992017262164051,-0.6029065631887476,-0.5099550970948842,-0.40776383821549844,-0.3001623302828395,-0.4190339168125504,-0.38331105881333505,2,-0.006669994223710152,-0.000856406535660983,-0.004834040834314946,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2018-11-28,139.929993,141.320007,139.130005,2767600,138.725311,0.0014988956010756752,51.18350856145049,0.20777899999998795,-0.7223359999999843,0.08904999999998608,-0.7858490712146802,-0.5709582324516528,-0.5980453994126314,-0.4362534875913124,-0.4400940113681871,-0.2639907233056182,-0.32575510666175483,-0.1530249022209078,3,0.0015000195065559493,-0.005179979838598384,0.0006423283443859328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,2018-11-29,139.639999,142.41000400000001,139.279999,2139900,140.442398,0.012301628007061012,57.6265782491927,1.7170869999999923,1.9248659999999802,0.9947510000000079,-0.6061162871225833,-0.6981349974167537,-0.5578727105227967,-0.3384953230903825,-0.29830556453084917,-0.22099220038419434,-0.20273749190216167,0.04757048404066988,4,0.01237760425709186,0.013896190411477877,0.007133508677991591,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-11-30,141.520004,142.860001,140.869995,4825200,141.593735,0.008164509868636226,67.6584980155845,1.1513370000000123,2.8684240000000045,3.0762029999999925,-0.8240892022432801,-0.15407291846058768,-0.5309362168516221,-0.3751390575477623,-0.24776706262545994,-0.12217442108192939,-0.24984949896119835,0.3598993766356049,5,0.00819793037142539,0.020677005366381947,0.02220804078432463,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
22,2018-12-03,144.220001,152.919998,144.220001,5296600,151.509048,0.06768341000784055,70.27768850906398,9.915312999999998,11.06665000000001,12.783737000000002,0.45889113256723135,-0.05856371501220714,-0.2989591624598904,0.1925053248382037,0.19134326267706625,0.3386946993115467,0.4279302379674508,0.4414439748155261,1,0.07002649516943668,0.07879849787241607,0.09215143875222598,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-12-04,152.0,152.0,144.059998,3101800,143.013031,-0.057709593956044344,62.068203947822774,-8.496016999999995,1.4192960000000028,2.570633000000015,0.31357668437284136,-0.5032467861375908,-0.4977305978873021,-1.0,-0.32538471643068556,-0.14617656222275044,-1.0,0.18585389021600562,2,-0.05607597111955977,0.010023720329151588,0.018303824461898002,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
