index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,295.0,296.390015,292.0,363400,290.325348,-0.009711261885925521,37.00832143293488,0.0,0.0,0.0,-0.6241088319245417,-0.12592033226354538,-1.0,0.3345482932493242,0.0067366055021358395,-0.2279617301412422,-0.018147743803369754,-1.0,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,292.47000099999997,295.660004,291.109985,354000,293.86431899999997,0.01211597702700036,39.83913014611759,3.538970999999947,0.0,0.0,-0.5957393258634126,-0.16141212006796302,-0.8323345057775082,0.7676373251644126,0.0067366055021358395,-0.2279617301412422,0.7794068212524399,-0.8791947413752377,2,0.01218967280803861,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,296.160004,296.160004,292.649994,364400,292.01532000000003,-0.006311894169354392,44.593112025126764,-1.8489989999999352,1.6899720000000116,0.0,-0.78013810107607,-0.12214461015669231,-0.9199343564549753,0.10827314521280443,0.1703565347009752,-0.2279617301412422,0.10606316768526164,-0.6763177303936521,3,-0.006292016010286487,0.00582095918128379,1.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2019-07-25,296.519989,299.76001,293.690002,546000,296.83667,0.016375788228913894,54.55448463495381,4.821349999999995,2.97235100000006,6.511322000000007,-0.32623770622674186,0.5635265244478007,-0.6915137136834986,0.9245711569641839,0.2945140717406924,0.343285939053672,0.9350578352865643,-0.25121440610905266,4,0.016510606361337464,0.010114705351485903,0.022427673108308843,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2019-07-26,299.399994,304.269989,299.399994,319500,302.274384,0.01815310630447849,56.40646409623973,5.437713999999971,10.259063999999967,8.410065000000031,-0.5390059875005284,-0.29167453275438926,-0.4338916520021332,1.0,1.0,0.5098654006668701,1.0000000000000002,-0.17218085758755874,5,0.01831887549472904,0.03513193759834232,0.028618870874214684,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2019-07-29,305.140015,308.920013,303.980011,336100,306.012146,0.012289632796280012,57.92505931895276,3.737761999999975,9.175475999999946,13.996825999999942,-0.5265933977476436,-0.22899754578063058,-0.2568080553815193,0.7919647925958908,0.8950890358889296,1.0,0.7857521016651285,-0.10737453995406643,1,0.012365460647171396,0.03091085747593094,0.0479318208373449,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2019-07-30,307.850006,310.540009,305.0,327400,304.868958,-0.003742755593572902,59.539650368328005,-1.1431879999999524,2.594574000000023,8.032287999999994,-0.4202091684582604,-0.261846328110251,-0.31096876509324467,0.19464825331767943,0.25793840895281445,0.4767224796555197,0.1999379911363438,-0.03847158357108116,2,-0.003735760213909785,0.008583506037349241,0.027059621710484736,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2019-07-31,306.52999900000003,309.089996,300.309998,347700,300.435303,-0.01464960542310917,56.89189526517844,-4.433655000000044,-5.576842999999997,-1.8390810000000215,0.15425701722136376,-0.18519916934113634,-0.5210216185320089,-0.20802957805720512,-0.5332029064028164,-0.38930695845442703,-0.19859193317641377,-0.15146499726288498,3,-0.014542822034377288,-0.018224253752333077,-0.00608414439776022,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
22,2019-08-01,302.22000099999997,306.709991,296.5,338000,303.07959,0.008763011325695845,57.009355683352815,2.64428700000002,-1.7893680000000245,-2.932555999999977,0.40780189785478016,-0.2218236737776098,-0.3957434835257825,0.6581484857729926,-0.16650665857009184,-0.48523909713116314,0.6568914123077312,-0.14645235330370587,4,0.008801518908049298,-0.005869302049439958,-0.009583135958270025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2019-08-02,305.22000099999997,307.230011,304.130005,364600,303.586578,0.0016713907739273734,58.85173420730965,0.5069879999999785,3.1512749999999983,-1.282380000000046,-0.8528338522015826,-0.12138946573532183,-0.37172396101913563,0.3965920178553074,0.31183715887584185,-0.3404667768924549,0.39776773811011473,-0.0678285264676366,5,0.0016727883259970704,0.010489030312126797,-0.004206331823392941,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
24,2019-08-05,304.73999,304.73999,291.190002,353800,292.681366,-0.03658230583976396,56.557203720396956,-10.905211999999949,-10.39822399999997,-7.753936999999951,1.0,-0.1621672644893335,-0.8883791581318157,-1.0,-1.0,-0.908225805291292,-1.0,-0.16574801767276304,1,-0.035921258679624334,-0.03430855901580166,-0.025809007538637865,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,294.230011,300.980011,293.52999900000003,339600,297.66177400000004,0.016873326124905153,61.56268842197591,4.980408000000011,-5.924803999999938,-5.417815999999959,-0.08155612425143643,-0.2157825184066453,-0.6524228395438243,0.9440362148124563,-0.5668918398194336,-0.7032745409847064,0.9532375794960393,0.047861920399201896,2,0.017016484746077108,-0.019516027483928944,-0.017875885340876828,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26,2019-08-07,298.209991,303.559998,294.850006,368500,298.884521,0.004099426055054824,66.65642117979954,1.2227469999999698,6.203154999999981,-4.702056999999968,0.14184460477345873,-0.10666414951859537,-0.5944928706166799,0.48418453341830936,0.6073144741942894,-0.6404799717013447,0.4864867295640908,0.26523785975840397,3,0.004107840195832367,0.02119422594194118,-0.01548835601025803,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
