index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,148.570007,153.600006,147.520004,2091600,149.58999599999999,-0.0019368156388937258,51.4620902202637,0.0,0.0,0.0,-0.2852857032711219,-0.23892042163790117,-0.8112250213145447,-0.2017328469635754,-0.22764714155705945,-0.18205349697246098,-0.17246824474871708,0.07970745544033941,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,150.869995,153.869995,147.270004,1126800,148.220001,-0.00920052837667322,44.432880901064046,-1.3699949999999887,0.0,0.0,-0.20720922409032028,-0.685949264450365,-0.8379696780274184,-0.2865097862647974,-0.22764714155705945,-0.18205349697246098,-0.2605750491789179,-0.1487751618238604,3,-0.009158333021146606,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,147.580002,149.679993,147.279999,449000,148.199997,-0.000134970650869247,39.144680589063235,-0.020004000000000133,-1.3899989999999889,0.0,-0.8378398303722627,-1.0,-0.8383601904839488,-0.202970718557108,-0.3094117549481004,-0.18205349697246098,-0.15061236887580345,-0.3206667349774788,5,-0.0001349615427407812,-0.009292058541133921,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,2018-11-26,149.25,152.96000700000002,148.179993,1160000,152.649994,0.029584987256213734,46.86246284600505,4.449996999999996,4.429992999999996,3.0599980000000073,-0.48047922855203073,-0.6705664311363374,-0.7514886018005447,0.07363832268275383,0.032940574671528,-0.006039832320988703,0.20988241024367488,-0.06980223379883865,1,0.030026970918224757,0.02988795688916502,0.020455900005505765,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-11-27,151.58999599999999,155.759995,150.570007,1287500,154.520004,0.012175883809411762,47.928022161529924,1.8700100000000077,6.320007000000004,6.300003000000004,-0.4189215293013363,-0.6114907911502375,-0.7149827930204822,-0.08601437772632992,0.14411782301030868,0.18032798672304057,-0.001285146633225348,-0.035166505908878376,2,0.012250311650847544,0.04264512232075149,0.04250440532651193,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2018-11-28,155.380005,161.330002,154.559998,1671000,161.050003,0.04139133072026616,49.19333086902368,6.529999000000004,8.400009000000011,12.850006000000008,-0.18168172936453364,-0.4338005328391058,-0.5875059908493703,0.20235134959191958,0.2664708314531881,0.5570896811777871,0.3530900551733449,0.005962023916759707,3,0.04225989406523704,0.05502790258871554,0.08670719473766257,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,160.669998,163.360001,159.550003,1259200,162.800003,0.01080757759099506,50.13412306315525,1.75,8.279999000000004,10.150009000000011,-0.6261273750109912,-0.6246032665353876,-0.553342983504431,-0.09344074095067773,0.2594114225952972,0.4017835775404711,-0.017882318456890006,0.036542229037381135,4,0.010866190421617067,0.053585288542964335,0.06649203667836379,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-11-30,163.529999,163.800003,160.330002,1794500,162.009995,-0.004864441135924234,59.95671207006835,-0.7900080000000003,0.9599919999999997,7.489991000000003,-0.677178010105266,-0.37657824626433456,-0.5687652972796085,-0.2506194927275967,-0.1711770471623924,0.24877709968692996,-0.20797952340517306,0.35582292515778025,5,-0.004852628903207086,0.005960831928702291,0.048472630119786975,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-12-03,164.070007,165.309998,162.020004,1440600,163.440002,0.008787931886239051,67.4541422062774,1.4300069999999891,0.6399989999999889,2.389998999999989,-0.7042061064455698,-0.5405536893316345,-0.5408491031971434,-0.11324229288175564,-0.19000015705875956,-0.04457873963492312,-0.04238005612232941,0.5995249380708876,1,0.008826659120630114,0.003931197716255502,0.014840105280842428,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2018-12-04,163.5,164.25,156.740005,1643900,157.350006,-0.037973301104303914,65.54661961730525,-6.089995999999985,-4.659988999999996,-5.449996999999996,-0.07057189453056045,-0.4463570022008573,-0.6597362906706574,-0.5785891283636446,-0.5017640286854002,-0.49554191896147115,-0.6095807369235219,0.5375214133745192,2,-0.0372613553932775,-0.028763589555076498,-0.033476639432248635,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
