Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,147.880005,148.889999,146.279999,148.119995,148.119995,522400
2019-07-02,148.139999,148.440002,144.679993,146.380005,146.380005,541100
2019-07-03,147.149994,149.320007,146.850006,147.800003,147.800003,525300
2019-07-05,147.020004,147.949997,146.110001,147.660004,147.660004,402100
2019-07-08,139.830002,142.300003,138.779999,142.009995,142.009995,963500
2019-07-09,141.130005,142.770004,140.470001,142.679993,142.679993,871600
2019-07-10,143.570007,145.190002,141.050003,141.570007,141.570007,761500
2019-07-11,141.729996,143.809998,141.059998,142.759995,142.759995,772000
2019-07-12,143.179993,146.440002,143.179993,145.559998,145.559998,482100
2019-07-15,146.500000,147.000000,144.570007,146.080002,146.080002,406300
2019-07-16,145.970001,146.979996,145.199997,146.520004,146.520004,646100
2019-07-17,147.029999,147.600006,144.880005,144.970001,144.970001,533700
2019-07-18,144.949997,146.250000,144.050003,145.589996,145.589996,606800
2019-07-19,146.850006,149.089996,146.000000,147.970001,147.970001,623700
2019-07-22,148.000000,148.000000,145.350006,145.619995,145.619995,881300
2019-07-23,147.059998,148.000000,145.119995,147.639999,147.639999,507000
2019-07-24,147.830002,148.759995,146.929993,148.669998,148.669998,945500
2019-07-25,146.020004,149.139999,142.320007,147.690002,147.690002,2056300
2019-07-26,148.220001,153.990005,147.600006,153.809998,153.809998,1241500
2019-07-29,153.350006,153.520004,150.020004,152.250000,152.250000,778900
2019-07-30,151.020004,151.539993,148.990005,149.880005,149.880005,548800
2019-07-31,150.270004,150.270004,146.039993,146.720001,146.720001,727000
2019-08-01,146.710007,149.720001,144.449997,144.759995,144.759995,846500
2019-08-02,142.729996,143.009995,138.160004,139.039993,139.039993,836900
2019-08-05,136.690002,137.199997,133.580002,134.610001,134.610001,679000
2019-08-06,135.940002,136.270004,133.149994,136.119995,136.119995,810300
2019-08-07,133.699997,135.210007,131.320007,134.000000,134.000000,703800
2019-08-08,135.690002,137.910004,135.169998,137.410004,137.410004,655700
2019-08-09,136.429993,136.580002,133.139999,133.440002,133.440002,679100
2019-08-12,133.070007,133.070007,130.250000,130.479996,130.479996,591700
2019-08-13,129.539993,133.750000,129.160004,131.610001,131.610001,612300
2019-08-14,129.690002,129.690002,125.349998,127.629997,127.629997,928000
2019-08-15,127.190002,127.419998,125.220001,126.169998,126.169998,652300
2019-08-16,126.970001,129.449997,126.480003,128.740005,128.740005,615000
2019-08-19,131.020004,132.309998,129.600006,129.679993,129.679993,579100
2019-08-20,129.410004,129.410004,126.650002,127.120003,127.120003,568400
2019-08-21,128.710007,130.520004,127.660004,129.380005,129.380005,415600
2019-08-22,129.869995,130.309998,128.839996,129.350006,129.350006,448900
2019-08-23,129.000000,129.479996,123.910004,124.389999,124.389999,733000
2019-08-26,126.120003,126.120003,124.250000,125.139999,125.139999,485700
2019-08-27,126.080002,126.279999,121.800003,122.070000,122.070000,916500
2019-08-28,122.070000,124.589996,121.360001,124.209999,124.209999,693400
2019-08-29,126.059998,129.350006,126.059998,128.119995,128.119995,760900
2019-08-30,128.610001,129.229996,127.730003,128.729996,128.729996,551200
2019-09-03,127.699997,128.639999,126.709999,128.080002,128.080002,801500
2019-09-04,130.080002,130.399994,126.510002,127.870003,127.870003,806800
2019-09-05,130.229996,132.839996,128.240005,131.270004,131.270004,737400
2019-09-06,131.899994,133.220001,131.130005,132.960007,132.960007,486700
2019-09-09,136.350006,136.710007,133.860001,134.729996,134.729996,773000
2019-09-10,134.910004,140.949997,134.100006,140.880005,140.880005,686400
2019-09-11,141.139999,142.589996,139.410004,142.320007,142.320007,506900
2019-09-12,142.429993,142.990005,139.880005,141.289993,141.289993,458900
2019-09-13,141.009995,142.330002,139.699997,139.830002,139.830002,406900
2019-09-16,139.360001,141.520004,139.360001,140.610001,140.610001,412700
2019-09-17,139.550003,140.089996,135.750000,139.029999,139.029999,481100
2019-09-18,138.710007,140.000000,137.539993,138.770004,138.770004,517100
2019-09-19,139.029999,140.130005,137.800003,138.199997,138.199997,447300
2019-09-20,138.630005,139.080002,136.589996,137.139999,137.139999,666000
2019-09-23,136.539993,139.320007,136.539993,139.059998,139.059998,733500
2019-09-24,139.610001,139.740005,136.940002,137.679993,137.679993,400900
2019-09-25,137.690002,140.399994,137.619995,140.179993,140.179993,472200
2019-09-26,140.089996,140.089996,138.029999,139.740005,139.740005,322900
2019-09-27,140.080002,141.830002,139.119995,139.710007,139.710007,348100
2019-09-30,140.500000,141.169998,139.470001,140.419998,140.419998,407000
2019-10-01,140.699997,141.880005,132.990005,135.619995,135.619995,907300
2019-10-02,134.009995,134.460007,131.589996,132.080002,132.080002,562400
2019-10-03,131.979996,133.460007,129.020004,132.839996,132.839996,698000
2019-10-04,133.770004,134.589996,131.369995,132.960007,132.960007,735000
2019-10-07,133.009995,134.309998,131.009995,133.300003,133.300003,604500
2019-10-08,131.970001,131.970001,129.580002,129.970001,129.970001,484800
2019-10-09,131.619995,132.669998,130.250000,131.949997,131.949997,378400
2019-10-10,131.460007,133.820007,128.509995,132.449997,132.449997,354600
2019-10-11,134.740005,138.259995,134.210007,135.669998,135.669998,530000
2019-10-14,135.250000,136.039993,133.940002,135.399994,135.399994,289400
2019-10-15,135.389999,136.869995,134.630005,135.399994,135.399994,472200
2019-10-16,135.729996,136.630005,134.570007,136.309998,136.309998,580800
2019-10-17,136.860001,137.750000,135.990005,137.169998,137.169998,308200
2019-10-18,137.130005,138.039993,136.020004,137.690002,137.690002,490700
2019-10-21,138.649994,139.479996,137.770004,137.839996,137.839996,557700
2019-10-22,138.660004,140.440002,137.839996,139.100006,139.100006,468200
2019-10-23,138.669998,139.440002,137.309998,138.320007,138.320007,807800
2019-10-24,150.000000,153.000000,145.860001,145.940002,145.940002,2154200
2019-10-25,144.559998,146.610001,141.649994,143.550003,143.550003,1186400
2019-10-28,144.250000,145.559998,142.160004,143.029999,143.029999,411300
2019-10-29,141.679993,143.690002,141.039993,143.529999,143.529999,498500
2019-10-30,143.970001,144.429993,140.580002,143.770004,143.770004,650400
2019-10-31,143.100006,144.679993,142.449997,144.080002,144.080002,557900
2019-11-01,143.550003,146.350006,143.029999,146.100006,146.100006,536900
2019-11-04,145.710007,148.369995,145.630005,146.429993,146.429993,585800
2019-11-05,146.479996,147.429993,145.960007,146.380005,146.380005,552000
2019-11-06,146.309998,149.750000,144.539993,147.910004,147.910004,786200
2019-11-07,148.580002,149.509995,147.250000,147.619995,147.619995,536500
2019-11-08,147.899994,148.759995,147.059998,148.410004,148.410004,361200
2019-11-11,147.210007,148.139999,146.259995,147.690002,147.690002,260900
2019-11-12,147.500000,147.500000,145.550003,146.410004,146.410004,368300
2019-11-13,145.869995,147.270004,144.949997,146.289993,146.289993,343200
2019-11-14,144.529999,145.339996,142.770004,144.309998,144.309998,420400
2019-11-15,144.570007,145.729996,143.539993,145.460007,145.460007,325000
