index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,65.300003,65.82,64.75,6302600,64.309341,-0.0020006923469485815,33.71799887568439,0.0,0.0,0.0,-0.49748667962816073,-0.3442607518973937,-0.0774136424559444,0.2835172203231575,0.183518820751287,-0.062474361981354476,0.223692821593503,-0.6943207423804694,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,65.07,66.440002,64.68,7854200,65.78555300000001,0.02269536209975267,35.034116535953245,1.4762120000000039,0.0,0.0,0.19598371253826574,0.020886038712713884,0.429005047336144,0.9905110721319986,0.183518820751287,-0.062474361981354476,0.9896808709491902,-0.6413660840257573,2,0.02295486125413731,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,66.480003,66.82,65.83000200000001,4592400,66.023323,0.0036078034366366406,36.30154522105041,0.2377699999999976,1.7139820000000014,0.0,-0.577890820940944,-0.7467317761957994,0.5105727163917138,0.3973910596799613,0.8057668915895655,-0.062474361981354476,0.39764938434565067,-0.590370451162225,3,0.003614319393195609,0.02665214684753186,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,2019-07-25,66.57,67.07,66.199997,4061200,65.70629100000001,-0.004813384059570243,41.413914660413,-0.31703199999999754,-0.07926199999999994,1.396950000000004,-0.6984889926969704,-0.8717420721303761,0.4018139947025787,0.13168288025096042,0.15474335718703514,0.39706090853078746,0.13645264146514421,-0.38467168636545757,4,-0.004801818290787901,-0.0012048542025632882,0.021722349790522715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2019-07-26,66.349998,67.040001,65.91999799999999,4790600,66.300735,0.009006308772062757,48.85683412572339,0.5944439999999958,0.2774119999999982,0.5151819999999958,-0.44723233251103656,-0.7000882508678004,0.6057396853450889,0.5682109182775508,0.28423112801436634,0.10699791672080647,0.5650927539026721,-0.08520206495894023,5,0.009046987601232822,0.004201727319904789,0.00783123309763765,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,68.089996,68.400002,67.300003,5571700,67.241951,0.01409634048323964,49.1172852101967,0.9412159999999972,1.535659999999993,1.2186279999999954,-0.4673368854324875,-0.5162675766311704,0.9286264885490638,0.7342884681006492,0.7410284518113014,0.3384007929158622,0.7229683153619951,-0.07472268411575556,1,0.014196162380401924,0.023371582486675327,0.018457538103618252,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
20,2019-07-30,67.800003,67.83000200000001,66.660004,6694500,66.469162,-0.011559212803653218,42.4455362373274,-0.7727890000000031,0.1684269999999941,0.7628709999999899,-0.39698602560706076,-0.2520327116549981,0.6635190426905169,-0.08659023832472185,0.2446649563741086,0.1884767324392494,-0.07278014153343104,-0.3431638715203231,2,-0.011492661775979745,0.0025403489116673306,0.01161031901800681,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,65.650002,66.720001,64.160004,10366300,64.913689,-0.02367958481497586,40.276360966000084,-1.5554729999999921,-2.328261999999995,-1.387045999999998,1.0,0.6120727187150674,0.12990964331769206,-0.46143665327673544,-0.6617389111887613,-0.5187516509485914,-0.4487130718100084,-0.4304417334260453,3,-0.02340142335478808,-0.03462514048707473,-0.020920522223471547,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
22,2019-08-01,65.660004,66.779999,65.08000200000001,8259800,64.864159,-0.0007633044185602926,47.87887443325852,-0.04953000000000429,-1.6050029999999964,-2.3777919999999995,0.1356770889604373,0.11633817732541019,0.11291823713388638,0.2597960979639741,-0.3991652567008954,-0.8446636242610379,0.26207240840596346,-0.12455076679808808,4,-0.0007630131758496161,-0.024146580936284356,-0.035361734224517063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
23,2019-08-02,65.190002,65.459999,64.25,6753100,64.348961,-0.007974433713628574,39.78881582130947,-0.515197999999998,-0.5647280000000023,-2.1202009999999945,-0.3567839549506835,-0.2382420427134202,-0.06382188972018454,0.03677636029478151,-0.02150136531155411,-0.7599274849099551,0.03840757666929637,-0.45005835840493646,5,-0.007942722266698904,-0.008699675040806914,-0.031897513616915986,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
