index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,1181.01001,1206.48999,1181.0,2619200,1205.5,0.017227567609219924,68.86836545606073,0.0,0.0,0.0,-0.6134667394743587,-0.30098812437675637,0.27857250052770155,-0.08827481335791809,0.02972867618792252,0.09063094651236359,0.08449866787638768,0.45948126383794485,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,1262.589966,1266.0,1235.560059,3318200,1248.079956,0.03471191656361731,76.53530617607257,42.57995600000004,0.0,0.0,-0.5079915951885251,-0.04752062369685417,0.5160182172467946,0.30346310523967757,0.02972867618792252,0.09063094651236359,0.2793441810352315,0.6744239425357947,2,0.03532140688510994,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,1239.130005,1265.859985,1239.130005,2127800,1263.699951,0.012437551804765539,77.91686339259121,15.619995000000017,58.199951000000056,0.0,-0.5870446346569589,-0.4791768651980781,0.6031226028859829,0.05542999295528836,0.5312362786768934,0.09063094651236359,0.031118751364074243,0.7131558983102488,3,0.01251521981817647,0.04827868187474082,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2018-07-26,1251.0,1269.7709960000002,1249.02002,2405600,1268.329956,0.003657152822433168,79.47600232743122,4.630004999999983,20.25,62.82995600000004,-0.7144471704771214,-0.3784425709364517,0.6289416726764259,-0.045678514719271014,0.20422244767583408,0.6389570270362217,-0.0667299789440487,0.7568663574562153,4,0.0036638483655365615,0.016224922051388188,0.05211941600995441,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,1271.0,1273.890015,1231.0,2130600,1238.5,-0.0238000698826276,71.34498709977079,-29.82995600000004,-25.199951000000056,-9.579956000000038,-0.2427014233223237,-0.4781615447375577,0.46259590937598816,-0.36271203624508747,-0.18741870609852576,0.007025289919654287,-0.3727131563467565,0.5289133502020209,5,-0.023519081812177933,-0.01994140379609784,-0.007675755029912554,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
19,2018-07-30,1228.01001,1234.9160160000001,1211.469971,1849900,1219.73999,-0.01526325686685508,65.08150101344216,-18.760009999999966,-48.589966000000004,-43.95996100000002,-0.6570197754109356,-0.579947420904723,0.3579813339145357,-0.26086792900768674,-0.38896991264217096,-0.29301396826541626,-0.27757894705262365,0.35331652135630254,1,-0.015147363746467473,-0.03831019347145342,-0.03478670784565063,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,1220.01001,1227.588013,1205.599976,1644700,1217.26001,-0.0020352735790532327,63.57542977424135,-2.4799800000000687,-21.239990000000034,-51.06994600000007,-0.688087477731606,-0.6543559060828573,0.34415180744557805,-0.11109076467932602,-0.1532958157363013,-0.3550638319901887,-0.13016635545480315,0.3110938150272111,2,-0.002033203814199835,-0.017149769882922918,-0.040265504854164365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2018-08-01,1228.0,1233.469971,1210.209961,1567200,1220.01001,0.0022566241281689868,64.09445400313696,2.75,0.2700199999999313,-18.489990000000034,-0.6609838688872616,-0.68245852597226,0.3594870915162689,-0.0629746633027281,0.03205543214728814,-0.07073386083566865,-0.08233746497852056,0.32564465898726924,3,0.0022591722207320358,0.00022137504895607409,-0.01492934194590233,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,1205.900024,1229.880005,1204.790039,1531300,1226.150024,0.005020135076675536,58.643732086900684,6.140014000000065,8.890014000000065,6.410033999999996,-0.6219905792290955,-0.6954763847339316,0.3937266765664571,-0.03178634952483849,0.10633371675287787,0.14657223698922886,-0.05154091028344753,0.17283367318495668,4,0.005032757067296575,0.00730329915298874,0.0052552462430948054,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-08-03,1229.619995,1230.0,1215.060059,1089600,1223.709961,-0.001992002662848205,62.70646256312156,-2.440063000000009,3.6999510000000555,6.4499510000000555,-0.8382705689461244,-0.8556431873810171,0.3801197459281367,-0.11072352610123345,0.061611066524242496,0.14692059840072344,-0.12968414454178534,0.28673231976076563,5,-0.0019900199422905277,0.0030327218380774234,0.005298745499739251,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,2018-08-06,1225.0,1226.088013,1215.7969970000001,1081700,1224.77002,0.0008658915526849597,57.72867437729063,1.0600589999999102,-1.380004000000099,4.760009999999966,-0.9373313546284541,-0.8585078415374852,0.3860311298905694,-0.07852221271524451,0.01783721432972888,0.13217223975398784,-0.09783578310541619,0.14718003081971354,1,0.0008662665450019248,-0.0011254772849884959,0.0039016155285479712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,2018-08-07,1237.0,1251.170044,1236.170044,1494000,1242.219971,0.01414699053901645,57.98507234889148,17.449951000000056,18.510009999999966,16.069946999999956,-0.8369908125019387,-0.7090019037258635,0.48334020465589056,0.07226568800779606,0.18922899496219173,0.23087568984365134,0.05016872961933855,0.15436814780681019,2,0.014247532773540666,0.015126141479533128,0.01310602021404842,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
26,2018-08-08,1240.469971,1256.5,1238.008057,1370300,1245.609985,0.002725279587539367,63.07674210994924,3.3900140000000647,20.83996500000012,21.90002400000003,-0.7625833705367755,-0.7538573112138518,0.5022445056353888,-0.05708649958002847,0.20930616213982847,0.2817556120031119,-0.07711477045818789,0.2971131066441737,3,0.0027289965377638135,0.01701541077891515,0.01789641720502431,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27,2018-08-09,1249.900024,1255.541992,1246.01001,848600,1249.099976,0.0027979150532862615,67.36037507445161,3.489990999999918,6.880004999999983,24.32995600000004,-0.9535050946650413,-0.9430332698758045,0.5217063250496254,-0.056166705724732466,0.08901351669684529,0.30296197874797326,-0.07630532112530747,0.417204754352535,4,0.0028018328706636998,0.005538475600630947,0.01986491798680706,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,2018-08-10,1243.0,1245.694946,1232.0,1108700,1237.609985,-0.009241184496813172,60.689784030290994,-11.489990999999918,-8.0,-4.609985999999935,-0.8647993219095662,-0.8487172513824675,0.45763277015701576,-0.19398335751529278,-0.03920713477026476,0.05039893433890573,-0.2104689972180087,0.23019473824697734,5,-0.009198615980119047,-0.006422556094073058,-0.003711086689653563,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
29,2018-08-13,1236.97998,1249.272949,1233.640991,997300,1235.01001,-0.002103012968828327,56.33866919108411,-2.599975000000086,-14.089966000000004,-10.599975000000086,-0.8235248486504623,-0.8891125011331701,0.4431340955382179,-0.11219472522691618,-0.09168422788498828,-0.0018765628896949826,-0.1309212429371006,0.10821123621989392,1,-0.0021008031863932364,-0.011280094684750842,-0.008509866754159077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
30,2018-08-14,1235.189941,1245.869995,1225.109985,1348100,1242.099976,0.005724400935644024,48.00972536712182,7.089966000000004,4.489990999999918,-7.0,-0.7142546711062292,-0.7619073520079774,0.48267105650604947,-0.02304673929021074,0.06841882253541709,0.029540937732682057,-0.04369257443469081,-0.12529069911835156,2,0.005740816627065237,0.0036279531148093623,-0.0056040350128066935,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,2018-08-15,1229.26001,1235.23999,1209.51001,1828800,1214.380005,-0.02256981364316356,37.191127483670876,-27.719970999999987,-20.630004999999983,-23.22998000000007,-0.6083529555445459,-0.5875985858036442,0.3280915547910297,-0.3433000591126506,-0.14803958940538464,-0.11210043665218364,-0.3590031858514037,-0.4285900845895676,3,-0.022317020799942425,-0.016704322096952058,-0.01877003279025748,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
