index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,18.809998999999998,19.110001,18.49,4428300,18.446033,-0.003200116177916671,53.7934958229236,0.0,0.0,0.0,-0.5570442953020087,-0.907074818150329,0.6076548007478824,0.1666668588735971,0.26034118292253194,-0.04824553008880428,0.08797003950198867,0.2937027310710918,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,18.860001,18.99,18.43,7214800,18.43618,-0.0005342955008906937,52.32350282281842,-0.009852999999999668,0.0,0.0,-0.6375825503355701,-0.6657776238309664,0.6028704288866695,0.159091599288526,0.26034118292253194,-0.04824553008880428,0.12458436946221521,0.23602021880100343,2,-0.0005341527904671789,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,18.75,19.35,18.709999,5488800,19.037252,0.032082652899094746,53.803853766843794,0.6010719999999985,0.5912189999999988,0.0,-0.5301986577181167,-0.8152407343262902,0.894736049851085,0.6287876778442665,0.552311924562162,-0.04824553008880428,0.5725693825971075,0.2941091766985382,3,0.03260284939721778,0.0320512817037679,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,19.33,19.57,19.08,5237700,18.978132000000002,-0.0031103222664318362,54.4330026055176,-0.05911999999999651,0.541952000000002,0.5320990000000023,-0.7315422818791898,-0.8369847592656736,0.8660288475335332,0.12121376370771944,0.5279816467321892,0.1885973365476254,0.08920333472392872,0.31879697154104214,4,-0.003105490225164667,0.029396111341937536,0.02884625653656818,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2019-07-26,19.33,19.610001,18.99,4700600,19.254034,0.014433228271602823,54.57174963576187,0.27590199999999854,0.21678200000000203,0.8178540000000005,-0.5570442953020087,-0.8834949774852787,1.0,0.3787879661546637,0.36739796106079037,0.31578989536786795,0.33015928258990423,0.3242414037757064,5,0.014537890241252327,0.011387252740048934,0.044361359023398585,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2019-07-29,19.57,19.68,19.25,4376700,19.234327,-0.0010240499314684683,61.484454137532616,-0.019707000000000363,0.2561949999999982,0.19707500000000167,-0.8120791946308706,-0.9115431243505369,0.9904307707024351,0.15151557087572803,0.38686188701757057,0.03947462714203917,0.11785772408985555,0.5954958670380179,1,-0.0010235257712747554,0.013499484564655686,0.010352071822130719,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2019-07-30,19.459999,19.459999,19.1,4200500,19.116083,-0.0061665246705604375,61.957833674892136,-0.11824400000000068,-0.13795100000000105,0.1379509999999975,-0.9060402684563755,-0.926801177693107,0.9330144237667657,0.07575759323093155,0.19221472592448385,0.01315791230699307,0.04722721674481538,0.6140712758802338,2,-0.006147550678534304,-0.007164784273259362,0.00726894512062607,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,19.389999,19.629998999999998,19.200001,9303000,19.214619,0.005141372942032546,64.58332603242624,0.09853599999999929,-0.01970800000000139,-0.039415000000001754,-0.8120818791946317,-0.48494977485278834,0.9808610558297293,0.2424240676906667,0.25060847917614654,-0.0657895615349736,0.20253814891367966,0.7170955726746047,3,0.005154612479972978,-0.0010246264400101646,-0.00204710347971764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2019-08-01,19.440001000000002,19.469998999999998,17.690001000000002,10351400,17.697157,-0.08226739035120481,54.54135275240428,-1.5174619999999983,-1.418925999999999,-1.5371699999999997,0.9999986577181146,-0.394163491513682,0.2440192316890215,-1.0,-0.4403887945507128,-0.732456079831463,-0.9979977041596602,0.32304863034268916,4,-0.0789743476048106,-0.07422681728259911,-0.07991805484018233,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,17.950001,18.299999,17.83,5371100,17.775988,0.00444455261969243,48.60729476226357,0.07883100000000098,-1.4386309999999973,-1.340094999999998,-0.7583892617449624,-0.8254329754069969,0.2822976056047022,0.22727431734825138,-0.45012001676110935,-0.6447359226006195,0.19296750921348207,0.09019624750602584,5,0.004454444292944962,-0.07487169014384294,-0.07010301221228209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
24,2019-08-05,17.68,17.870001000000002,17.299999,6152800,17.569059,-0.011709214264544252,42.583647061232845,-0.20692900000000236,-0.12809800000000138,-1.6455599999999997,-0.6241570469798606,-0.7577416002771042,0.18181802731699825,0.007574106343479325,0.19708058395234693,-0.7807016099202669,-0.028900133984432447,-0.14617163479037454,1,-0.011640928200446711,-0.007238337773688812,-0.0856410423750791,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
25,2019-08-06,17.879998999999998,17.950001,17.43,4847500,17.569059,0.0,48.52617815077334,0.0,-0.20692900000000236,-0.12809800000000138,-0.6912724832214736,-0.8707741600277104,0.18181802731699825,0.1666668588735971,0.15815026281213662,-0.10526329845595694,0.13192277445489498,0.0870132323914925,2,0.0,-0.011640928200446711,-0.007238337773688812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
26,2019-08-07,17.639999,17.940001000000002,17.469998999999998,5606900,17.588767999999998,0.0011211729362319899,55.25938770415745,0.019708999999998866,0.019708999999998866,-0.1872200000000035,-0.7583852348993206,-0.8050138552130239,0.1913882277648451,0.1818196845269172,0.27007438051424526,-0.13157912306994687,0.14732178316671543,0.3512243154730883,3,0.0011218016855654516,0.0011218016855654516,-0.010532185327758068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,2019-08-08,18.02,18.32,17.639999,6545500,17.933645000000002,0.019418041029541692,55.50004499722821,0.3448770000000039,0.36458600000000274,0.36458600000000274,-0.47650738255033276,-0.723735711811569,0.3588519255603604,0.4318178585610717,0.44039027608670156,0.114035536734305,0.39862434503091476,0.3606677055160663,4,0.019607797430724192,0.020751595176497658,0.020751595176497658,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
28,2019-08-09,18.09,18.110001,17.629998999999998,4747400,17.549353,-0.021661474395331587,55.44301408304187,-0.3842920000000021,-0.0394149999999982,-0.019705999999999335,-0.744962416107377,-0.8794423276757879,0.17224928359457614,-0.12878748563733977,0.24087626927509248,-0.05701687814609682,-0.1655917499730888,0.358429812949848,5,-0.021428549522420123,-0.0022409187499657854,-0.0011216309308312606,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
29,2019-08-12,17.690001000000002,17.889999,17.15,5869200,17.204473,-0.01984767498575179,56.61148830154532,-0.34487999999999985,-0.7291720000000019,-0.38429499999999805,-0.3959731543624131,-0.7822999653619674,0.004784129073639676,-0.09848644729705264,-0.09975700340580551,-0.21929928030078716,-0.14067970294894017,0.4042807309074741,1,-0.01965200654405891,-0.040659442071034745,-0.021848886744085663,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
30,2019-08-13,17.48,18.959999,17.18,9861300,17.687304,0.027677685920288204,58.58103922215989,0.4828310000000009,0.13795100000000105,-0.24634100000000103,1.0000000000000002,-0.4366037409075164,0.23923485982780868,0.5378807186847815,0.32846763992058003,-0.15789450257340715,0.5120683459685461,0.48156589154210616,2,0.028064271425227667,0.007860745635465937,-0.013736248264086917,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
31,2019-08-14,17.280001000000002,17.309998999999998,16.52,10025400,16.288086,-0.08241317375509337,50.177209134860625,-1.3992180000000012,-0.9163870000000003,-1.2612670000000001,-0.32885906040268553,-0.42239348804987875,-0.44019061737723053,-0.9090907343573373,-0.19221225669783937,-0.6096487499293386,-1.0,0.1517996735453595,3,-0.07910860807277362,-0.05326446209657223,-0.07186971508294353,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
32,2019-08-15,16.610001,16.639999,15.22,13635000,15.135207000000001,-0.07341030102689697,41.64908939258312,-1.1528789999999987,-2.552097,-2.069265999999999,0.516778523489932,-0.10981988223068928,-1.0000000000000009,-0.719698481142386,-1.0,-0.9692976111363084,-0.8763479646245929,-0.182843669408999,4,-0.07078050791234763,-0.1442897685254915,-0.12027488432804649,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
33,2019-08-16,15.5,16.17,15.27,7907700,15.736279999999999,0.03894525523477622,42.91133734445238,0.6010729999999977,-0.5518060000000009,-1.951024000000002,-0.1812067114093916,-0.6057758919293383,-0.7081338934604462,0.628788446671992,-0.012165632760317069,-0.916666852129387,0.6668253798102367,-0.13331307098684153,5,0.03971356321720593,-0.033877890870664666,-0.11030646615221867,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
34,2019-08-19,16.299999,16.77,16.190001000000002,8868100,16.426037,0.042898823319186194,49.151036284087226,0.689757000000002,1.2908299999999997,0.13795100000000105,-0.6107382550335587,-0.5226099757533772,-0.3732050411439962,0.69697116473172,0.8978115491162509,0.013157912306994653,0.7211265740392127,0.11153265999377604,1,0.04383227802250608,0.08528657718391296,0.008469442020382323,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
35,2019-08-20,16.52,16.58,16.07,8688300,16.071304,-0.021832376393935572,40.464949953363956,-0.3547329999999995,0.33502400000000243,0.9360970000000002,-0.7046966442953025,-0.5381797713889851,-0.5454545675261437,-0.10606170688212374,0.42579122046712425,0.36842109948531815,-0.16793904295557455,-0.2293092904883971,2,-0.021595775049088196,0.021289910957354753,0.06184897239925428,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
36,2019-08-21,16.58,17.24,16.459999,11509200,16.711792000000003,0.039079256582318776,50.793956899707695,0.6404880000000013,0.28575500000000176,0.9755120000000037,-0.34227919463087275,-0.2939037062694838,-0.23444951681631743,0.6590917914954584,0.4014599549464912,0.38596513093148827,0.6686658522757409,0.17600085036102797,3,0.03985289557088841,0.01739646635399651,0.06199127112634014,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,2019-08-22,17.15,17.99,17.110001,16992800,17.490231,0.04552791846013246,60.29996867075387,0.7784389999999988,1.418927,1.0641940000000005,-0.20805369127516893,0.18094908209213711,0.1435411101267423,0.7651523451359903,0.9610716542411063,0.42543842274194277,0.75723648863963,0.5490166678402546,4,0.04658022311431345,0.08828947545264529,0.06478702075247976,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
