index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,268.839996,272.170013,268.0,513900,266.816437,0.00819910109671656,45.7112202087915,0.0,0.0,0.0,-0.863230872593656,-0.5606152192894083,-0.8578310622279588,-0.3079909364671414,-0.2900235496166551,-0.16083914429041635,-0.17454669007754525,-0.5668476458107223,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,271.130005,279.190002,270.579987,664200,276.085999,0.034151487672793024,54.458276878290725,9.269562000000008,0.0,0.0,-0.39610681733585207,-0.35872120357310766,-0.5723965366811239,0.17610574905033405,-0.2900235496166551,-0.16083914429041635,0.21309143957839505,-0.16988373478082286,2,0.03474134541418829,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,284.359985,304.839996,284.359985,1675700,301.131622,0.08683504379822268,64.05080472547118,25.045622999999978,34.315184999999985,0.0,0.8527125902711554,1.0,0.1988249641869757,1.0,1.0,-0.16083914429041635,0.9999999999999999,0.26544983109831355,3,0.0907167443865923,0.1286097115523658,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,304.73999,305.290009,295.98999,902300,297.229675,-0.013042295114943812,67.2199804682196,-3.901947000000007,21.14367599999997,30.41323799999998,-0.3235128260214051,-0.03888776949425754,0.07867361392318628,-0.5117675129402108,0.5048385490567006,0.9999999999999999,-0.4918190563253215,0.4092751708802411,4,-0.012957612933788824,0.07658365899242855,0.11398562375675521,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
18,2019-07-26,300.119995,304.579987,299.350006,504700,296.902832,-0.0011002361564801631,71.33547210933374,-0.32684299999999666,-4.228790000000004,20.816832999999974,-0.7517136816997066,-0.5729733360198804,0.06860924662802148,-0.32506009388629303,-0.4489980294681676,0.6337159966832769,-0.3134463511665936,0.5960467581004547,5,-0.0010996311185953983,-0.014042995457979513,0.07539981409922918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
19,2019-07-29,299.399994,299.399994,291.130005,502900,288.732574,-0.02790401005806371,71.1457647549777,-8.17025799999999,-8.497100999999986,-12.399047999999993,-0.4318802976210129,-0.5753912284236684,-0.18297477814307506,-0.734677204666505,-0.6094582370144126,-0.634096883908138,-0.7138012376997827,0.5874373508241879,1,-0.027518289215914215,-0.028587660367357288,-0.04117484546342328,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
20,2019-07-30,290.25,297.070007,290.0,427100,293.8526,0.017577370839910705,79.01456497932435,5.120025999999996,-3.050231999999994,-3.3770749999999907,-0.5581280916707423,-0.6772113640942977,-0.0253155282133104,-0.04060099761530639,-0.4046920589600931,-0.2897383050178782,-0.03446805291621957,0.9445437273109913,2,0.017732761943236773,-0.010273502544428388,-0.011361836599928964,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2019-07-31,296.579987,299.079987,288.380005,568500,288.217621,-0.019362457806535237,78.07614493324729,-5.634978999999987,-0.5149529999999913,-8.685210999999981,-0.17622541629256072,-0.4872724830411713,-0.19883155381747386,-0.6022739518739717,-0.30938236982834083,-0.49234389578125387,-0.586220241268681,0.9019558139413926,3,-0.019176209432892503,-0.0017834946465028617,-0.02925270514091958,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
22,2019-08-01,291.549988,293.48999,276.769989,674900,274.966919,-0.04706502737955989,70.71027505102911,-13.25070199999999,-18.885680999999977,-13.765654999999981,0.4571291830992874,-0.34434817650614546,-0.6068559932173603,-1.0,-1.0,-0.6862587385735729,-1.0,0.5676737088787216,4,-0.04597464219580103,-0.06426923226134455,-0.047676141314072794,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,276.600006,278.820007,272.390015,468300,273.71911600000004,-0.004548339383736237,65.96262932663669,-1.2478029999999762,-14.498504999999966,-20.133483999999953,-0.6254628366158632,-0.621868493518705,-0.64527917408404,-0.3731566148971201,-0.8350712561709047,-0.9293116212474819,-0.36494898588406044,0.3522133447643667,5,-0.004538011352558291,-0.050304020100144974,-0.06851558910828066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
