Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,23.260000,23.540001,22.850000,22.950001,22.730734,11586900
2019-07-02,22.830000,22.840000,22.219999,22.650000,22.433598,14286700
2019-07-03,22.639999,22.850000,22.459999,22.840000,22.621784,6255300
2019-07-05,22.660000,23.090000,22.620001,23.030001,22.809969,8454700
2019-07-08,22.969999,23.500000,22.830000,23.250000,23.027866,14363000
2019-07-09,23.110001,23.570000,22.750000,23.570000,23.344809,13350800
2019-07-10,23.709999,23.850000,23.360001,23.600000,23.374523,15516200
2019-07-11,23.600000,23.850000,23.490000,23.850000,23.622133,12268800
2019-07-12,23.900000,24.040001,23.690001,23.750000,23.523088,11853900
2019-07-15,23.860001,24.010000,23.410000,23.459999,23.235859,13114400
2019-07-16,23.410000,23.559999,22.830000,22.879999,22.661400,9675800
2019-07-17,22.820000,22.889999,21.770000,21.780001,21.571911,12759600
2019-07-18,21.690001,21.780001,21.219999,21.680000,21.472866,12674400
2019-07-19,21.700001,21.860001,21.420000,21.750000,21.542198,17145600
2019-07-22,22.850000,23.820000,22.440001,23.740000,23.513184,28286300
2019-07-23,23.670000,24.049999,23.219999,23.840000,23.612228,18363400
2019-07-24,23.760000,24.080000,23.580000,23.790001,23.562708,12981900
2019-07-25,23.990000,24.030001,23.030001,23.219999,22.998152,12426200
2019-07-26,23.260000,23.410000,22.930000,23.030001,22.809969,6551500
2019-07-29,22.990000,23.000000,21.910000,22.180000,21.968090,12261500
2019-07-30,22.000000,23.230000,21.809999,23.200001,22.978344,17794400
2019-07-31,23.270000,23.459999,22.750000,23.000000,22.780254,13557400
2019-08-01,22.709999,22.760000,21.360001,21.660000,21.453056,16509400
2019-08-02,21.719999,21.840000,20.840000,21.000000,20.799362,14128600
2019-08-05,20.459999,20.540001,19.959999,20.309999,20.115955,13777200
2019-08-06,20.420000,20.600000,19.500000,19.950001,19.759396,14552800
2019-08-07,19.430000,19.870001,19.110001,19.650000,19.462261,16661000
2019-08-08,19.740000,20.030001,19.510000,19.930000,19.739586,17492900
2019-08-09,19.930000,20.030001,19.410000,19.520000,19.333504,13613200
2019-08-12,19.420000,19.559999,19.100000,19.410000,19.224554,10673200
2019-08-13,19.350000,20.379999,19.180000,19.480000,19.293884,12404600
2019-08-14,18.969999,19.000000,18.120001,18.330000,18.154873,18264700
2019-08-15,18.139999,18.299999,17.459999,18.250000,18.075636,21154700
2019-08-16,18.350000,18.930000,18.200001,18.870001,18.689714,14359600
2019-08-19,19.330000,19.490000,19.070000,19.330000,19.145319,13001000
2019-08-20,19.110001,19.190001,18.820000,19.059999,18.877897,8284200
2019-08-21,19.299999,19.360001,18.590000,18.600000,18.422293,10964700
2019-08-22,18.850000,19.200001,18.660000,18.670000,18.491625,13271100
2019-08-23,18.299999,18.580000,17.660000,17.719999,17.550699,14091600
2019-08-26,18.010000,18.139999,17.360001,17.500000,17.332802,12999100
2019-08-27,17.700001,17.780001,17.209999,17.309999,17.144617,10316700
2019-08-28,17.290001,18.260000,16.969999,18.000000,17.828026,14771300
2019-08-29,18.190001,18.790001,18.180000,18.530001,18.352962,13070400
2019-08-30,18.610001,19.129999,18.510000,18.840000,18.660000,12154600
2019-09-03,18.200001,18.830000,18.129999,18.760000,18.760000,13125600
2019-09-04,19.030001,19.160000,18.709999,18.760000,18.760000,12794000
2019-09-05,18.950001,19.530001,18.940001,19.000000,19.000000,12560800
2019-09-06,18.910000,19.129999,18.540001,19.090000,19.090000,10921200
2019-09-09,19.280001,20.200001,19.219999,19.950001,19.950001,13565300
2019-09-10,20.200001,20.709999,19.910000,20.030001,20.030001,16748500
2019-09-11,20.129999,20.600000,19.760000,20.049999,20.049999,14736400
2019-09-12,19.459999,20.000000,19.100000,19.750000,19.750000,13410400
2019-09-13,20.129999,20.450001,19.770000,20.270000,20.270000,10717200
2019-09-16,21.459999,22.750000,21.379999,22.490000,22.490000,36553100
2019-09-17,22.280001,22.280001,20.820000,21.030001,21.030001,19353900
2019-09-18,20.879999,21.150000,20.559999,20.809999,20.809999,15049000
2019-09-19,21.150000,21.320000,20.879999,20.920000,20.920000,12901700
2019-09-20,20.910000,21.059999,20.280001,20.440001,20.440001,15934600
2019-09-23,20.320000,20.850000,20.230000,20.610001,20.610001,11085400
2019-09-24,20.400000,20.500000,19.400000,19.490000,19.490000,18536300
2019-09-25,19.129999,19.480000,19.090000,19.440001,19.440001,10550700
2019-09-26,19.250000,19.350000,18.860001,19.270000,19.270000,10841000
2019-09-27,19.040001,19.480000,18.590000,18.730000,18.730000,14587700
2019-09-30,18.610001,19.020000,18.549999,18.850000,18.850000,9884200
2019-10-01,19.000000,19.160000,18.360001,18.580000,18.580000,12198100
2019-10-02,18.580000,18.900000,18.100000,18.170000,18.170000,12056800
2019-10-03,18.059999,18.660000,18.030001,18.639999,18.639999,10074200
2019-10-04,18.670000,18.930000,18.270000,18.549999,18.549999,7944900
2019-10-07,18.629999,18.799999,18.330000,18.360001,18.360001,8287800
2019-10-08,18.139999,18.600000,18.040001,18.250000,18.250000,11337600
2019-10-09,18.389999,18.500000,18.020000,18.270000,18.270000,11083800
2019-10-10,18.370001,18.610001,18.219999,18.430000,18.430000,9799100
2019-10-11,18.629999,19.110001,18.600000,18.950001,18.950001,10477700
2019-10-14,18.620001,18.830000,18.049999,18.760000,18.760000,9185800
2019-10-15,18.719999,19.180000,18.580000,18.700001,18.700001,11120800
2019-10-16,18.660000,18.910000,18.290001,18.299999,18.299999,9417800
2019-10-17,18.420000,18.660000,18.260000,18.510000,18.510000,13595800
2019-10-18,18.570000,19.209999,18.430000,18.430000,18.430000,26677300
2019-10-21,18.150000,20.000000,18.100000,19.610001,19.610001,27859700
2019-10-22,19.809999,20.100000,19.200001,19.900000,19.900000,14548100
2019-10-23,19.709999,20.400000,19.420000,20.209999,20.209999,11784100
2019-10-24,20.299999,20.360001,19.530001,19.910000,19.910000,9416900
2019-10-25,19.889999,20.520000,19.790001,20.480000,20.480000,13148300
2019-10-28,20.600000,20.639999,20.219999,20.299999,20.299999,12464800
2019-10-29,20.049999,20.530001,19.930000,20.379999,20.379999,11592000
2019-10-30,20.400000,20.450001,19.420000,19.440001,19.440001,13151500
2019-10-31,19.320000,19.440001,18.860001,19.250000,19.250000,10693300
2019-11-01,19.420000,20.129999,19.350000,20.090000,20.090000,11548200
2019-11-04,20.500000,21.090000,20.480000,21.070000,21.070000,16301100
2019-11-05,21.160000,21.410000,20.850000,21.049999,21.049999,14116000
2019-11-06,20.910000,21.090000,20.420000,20.600000,20.600000,11389800
2019-11-07,20.959999,21.400000,20.860001,20.959999,20.959999,8367700
2019-11-08,20.700001,21.299999,20.450001,21.280001,21.280001,9603400
2019-11-11,20.969999,21.280001,20.660000,21.250000,21.250000,6712900
2019-11-12,21.280001,21.440001,20.879999,21.030001,21.030001,6971200
2019-11-13,20.910000,20.910000,20.510000,20.620001,20.620001,7355600
2019-11-14,20.620001,20.920000,20.280001,20.330000,20.330000,6247700
2019-11-15,20.440001,20.799999,20.340000,20.480000,20.480000,9152100
