index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,14.6,14.83,14.39,9002900,14.223598,-0.012129521042473921,34.97738154941166,0.0,0.0,0.0,-0.7375571098060327,-0.4678885337594886,-0.18433140245838597,-0.4960437774693076,-0.34929052208045674,-0.29708741383007753,-0.5523373153297859,-0.22366619266646037,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,15.12,15.86,15.05,6568500,15.15898,0.06369067934883907,45.79205368518804,0.9353819999999988,0.0,0.0,-0.4027150263099919,-0.6415658352833742,0.06844755762560428,-0.03389018626077106,-0.34929052208045674,-0.29708741383007753,0.04865095481603965,0.016368802016337503,3,0.06576268536273303,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,15.62,15.73,15.27,2370300,14.763613000000001,-0.02642752321312925,36.0269751675406,-0.39536699999999847,0.5400150000000004,0.0,-0.7194575377251644,-0.9410778494378175,-0.03839698194381924,-0.6913867270827757,-0.10633114308537625,-0.29708741383007753,-0.6656703261466227,-0.20037013751253385,5,-0.026081372229529855,0.03796613205744428,1.0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
17,2018-11-26,15.42,15.85,15.42,5034000,15.120408,0.023879782098666303,43.312504094449515,0.3567949999999982,-0.03857200000000027,0.8968099999999986,-0.746606895846466,-0.7510416072142001,0.05802380556670261,-0.31975848378688787,-0.3666445384811091,0.06407770118229067,-0.2669098343648316,-0.03866556845336211,1,0.024167187259649666,-0.0025444983765398645,0.06305085394005079,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2018-11-27,15.56,15.7,15.23,4547500,14.995047,-0.008325407940119727,34.96558054667898,-0.12536099999999983,0.23143399999999836,-0.1639330000000001,-0.7104077516847327,-0.785749957194224,0.02414607089243148,-0.5579821474053266,-0.24516552385198714,-0.3631068391256504,-0.5221840403315197,-0.22392811957396408,2,-0.008290847707284079,0.015675973083282415,-0.010814250035292619,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-11-28,15.58,15.87,15.23,4901400,15.265054999999998,0.017846282619593312,34.24469330692686,0.2700079999999989,0.14464699999999908,0.5014419999999973,-0.5565613889973623,-0.7605016836938531,0.09711341627042458,-0.36263820963174587,-0.2842120607534544,-0.09514568971679685,-0.3147343243574652,-0.23992843494074834,3,0.018006479072723076,0.00956634238970265,0.03396472123727418,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2018-11-29,15.83,15.85,15.48,4118600,15.101122,-0.010797183497592067,33.28275629703349,-0.16393299999999833,0.10607500000000059,-0.019285999999999248,-0.8009056120890679,-0.8163489526853489,0.05281192953725178,-0.5770398033363741,-0.301566077154106,-0.3048543102832039,-0.5417765514144135,-0.26127892454931445,4,-0.010739103134577526,0.007074002502292963,-0.0012754946824185729,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
21,2018-11-30,15.62,16.08,15.62,5327100,15.3422,0.015838155865972457,40.493965507884646,0.2410779999999999,0.07714500000000157,0.3471530000000005,-0.719457537725166,-0.7301309856743337,0.11796119062964916,-0.3769319456600878,-0.3145820393668731,-0.15728126406380702,-0.3306517265492751,-0.10122390458647967,5,0.01596424424622223,0.005053699446218935,0.023151177852260185,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-12-03,16.110001,16.33,15.96,5889600,15.583278,0.01559121469598307,47.51141596899297,0.2410779999999999,0.4821559999999998,0.3182230000000015,-0.8009056120890694,-0.6900005707436789,0.18311045172204565,-0.3769319456600878,-0.13236261759863327,-0.16893201146549464,-0.33260910394756416,0.05453057996664912,1,0.015713391821251182,0.03192848849244446,0.020846502027015396,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2018-12-04,16.200001,16.33,15.39,8806300,14.898617000000002,-0.04493002640660656,45.001085141515915,-0.6846609999999984,-0.4435829999999985,-0.2025049999999986,-0.2850678077843566,-0.48191455967125163,-0.0019133092548226927,-0.834321122885862,-0.548863960249349,-0.3786406320319031,-0.8123302839181084,-0.0011869895777983919,2,-0.04393562124733951,-0.028912607057657864,-0.013409930732299137,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
24,2018-12-06,15.28,15.75,14.85,7018300,15.139694,0.016051646592879783,38.34484613951488,0.24107699999999888,-0.44358399999999953,-0.20250599999999963,-0.32126695194608845,-0.6094757719308258,0.06323568159615345,-0.37693243974014456,-0.5488644101616278,-0.37864103475390154,-0.3289594938461957,-0.14892427401818797,4,0.01618116634584263,-0.028465384497408024,-0.013199280416107184,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
25,2018-12-07,15.62,16.040001,15.04,4486700,14.618965,-0.0350003780624099,39.17679131534782,-0.5207290000000011,-0.27965200000000223,-0.9643130000000006,-0.23076818656314824,-0.7900876091547286,-0.077486862888962,-0.7533255910988523,-0.4751093905465785,-0.6854374718723859,-0.7336229981191269,-0.13045899339291422,5,-0.034394948801475186,-0.01877033284364597,-0.06188126785648056,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
26,2018-12-10,15.13,15.36,14.89,6265400,14.416460999999998,-0.013948979669940633,39.44640270318202,-0.20250400000000113,-0.7232330000000022,-0.48215600000000336,-0.7104077516847327,-0.6631898864220078,-0.132211831439617,-0.5960969651873673,-0.6746819288909147,-0.491262241490234,-0.5667592409838943,-0.12447488520796857,1,-0.013852143431494716,-0.04777064846885295,-0.032362466932333606,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
27,2018-12-11,15.2,15.38,14.73,5614200,14.348957999999998,-0.004693352383323003,40.6147628352463,-0.06750300000000031,-0.27000700000000144,-0.7907360000000025,-0.5475116029569272,-0.7096484218937276,-0.15045393802553564,-0.5293956635087547,-0.47076998662185837,-0.6155341956282526,-0.49339457822396643,-0.09854277052463134,2,-0.004682355815341943,-0.018469638582485248,-0.0522293251105341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
