index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,64.16999799999999,64.650002,63.470001,4027900,62.892162,0.003118121822050476,52.64476689209239,0.0,0.0,0.0,-0.7858667177159429,-0.4032338124557754,0.44208250757424095,-0.14425586791241296,0.02275912019265114,0.22222179831102973,0.1282981632424043,0.11156065690027561,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,64.839996,65.889999,64.239998,3505600,63.69495,0.012683736121452861,54.579906817518975,0.8027879999999996,0.0,0.0,-0.5845818349386883,-0.5135551870900968,0.48509192261414746,-0.01432731350086136,0.02275912019265114,0.22222179831102973,0.2093391384139532,0.1638937757575769,2,0.012764515870832993,1.0,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,64.980003,65.019997,62.799999,4159300,63.518726,-0.0027705215077899283,52.87296743064631,-0.17622399999999772,0.6265640000000019,0.0,-0.34047166615488933,-0.3754792104512763,0.47565071129061964,-0.17277713326842348,0.10948771337778143,0.22222179831102973,0.07840890543305298,0.11773201730193228,3,-0.002766687154947099,0.009962513293786942,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2018-07-26,64.650002,65.599998,63.099998,4196900,62.980278000000006,-0.008513130299828723,54.853952326021776,-0.5384479999999954,-0.7146719999999931,0.08811600000000652,-0.22055641137319726,-0.36753725432213513,0.44680332753624397,-0.23140187690331787,-0.07616532670950515,0.2336177382261456,0.02975686888119143,0.17130494844868105,4,-0.00847699621683211,-0.011220230175233565,0.00140106488945326,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
18,2018-07-27,63.810001,64.660004,63.290001000000004,2473100,62.275387,-0.011255354262177521,49.21887106223986,-0.7048910000000035,-1.2433389999999989,-1.4195629999999966,-0.7044953766575527,-0.7316421472852662,0.40903875011742974,-0.25834012010317003,-0.1493430789796701,0.03863136463586997,0.006524434759169667,0.018912155724381208,5,-0.011192249738878628,-0.019574369297016423,-0.022286900295863277,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
19,2018-07-30,64.559998,65.239998,64.43,2108900,63.322926,0.01668116817286532,48.52494014241365,1.0475390000000004,0.34264799999999696,-0.19579999999999842,-0.9443263144866502,-0.8085692861744485,0.46516071459807584,0.025284817747714572,0.07018823995966325,0.19689921177306272,0.24320583860577571,0.00014577669986892694,1,0.016821075716478492,0.00544056029730445,-0.0030825555285853563,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2018-07-31,64.709999,66.059998,64.529999,2812400,64.252998,0.01458094049177686,56.18346093715016,0.9300720000000027,1.9776110000000031,1.2727199999999996,-0.635974576434515,-0.6599744421092654,0.5149893775389724,0.006273176441340483,0.2964987858891139,0.38682119738458254,0.22541247018945526,0.20725962606851733,2,0.014687760954065873,0.031755900609658244,0.02020823090047331,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-08-01,64.769997,65.129997,63.810001,2771900,63.440414000000004,-0.012727281008818283,56.75590274686565,-0.8125840000000011,0.11748800000000159,1.165027000000002,-0.7259116599193416,-0.6685289427270904,0.47145514121408016,-0.275769872179986,0.03902173495528464,0.372893386802186,-0.005945896491412445,0.22274050415547308,3,-0.012646631679349827,0.0018553785717356395,0.018707663751652028,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,64.449997,66.0,63.849998,2282700,64.439011,0.01561810742432048,55.91559893710349,0.9985969999999895,0.18601299999998844,1.1160849999999911,-0.37044855265462806,-0.7718588613009179,0.5249550351220673,0.017363718640588444,0.048506922179590364,0.3665637747983991,0.23419946671661718,0.20001567760690597,4,0.015740707492860773,0.0028950088834763543,0.017625291035982624,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2018-08-03,65.43,66.5,65.16999799999999,3088100,64.90894300000001,0.007266200246315428,63.92404014079074,0.4699320000000142,1.4685290000000037,0.6559450000000027,-0.7216264332447245,-0.6017404712368118,0.5501316700848897,-0.06819894450083838,0.22603197695040636,0.3070544031457947,0.16344115668418419,0.41659262889991644,5,0.007292663135379503,0.02314816230549825,0.010208784343416981,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
24,2018-08-06,66.529999,67.489998,65.589996,2226700,65.55510699999999,0.00990570634012206,71.46513735681548,0.6461639999999846,1.1160959999999989,2.1146929999999884,-0.47751497966380474,-0.7836873065996388,0.5847499449717164,-0.03967638437157296,0.1772484236629284,0.49571258734950385,0.18580335331035372,0.620530923870338,1,0.009954930247438855,0.01732019133564913,0.033333530894044734,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
25,2018-08-07,67.91999799999999,68.309998,66.959999,2907000,65.839012,0.004321433013632764,71.6587794905135,0.2839050000000043,0.9300689999999889,1.4000010000000032,-0.713062403881119,-0.6399928184439259,0.599960172300606,-0.09830679263947399,0.15149868380482762,0.4032823012514829,0.13849275287861404,0.6257677011521492,2,0.00433078387012631,0.014328826768909005,0.02172598521103937,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
26,2018-08-08,66.529999,67.07,65.129997,2981600,64.5467,-0.019823557355410512,64.8668781067335,-1.2923119999999955,-1.0084069999999912,-0.36224300000000653,-0.4603839230766329,-0.6242356395281295,0.5307244797279074,-0.3534122454475786,-0.1168239399066151,0.1753733319408917,-0.06606635893265467,0.44209034649983714,3,-0.019628362588430027,-0.01538258491439868,-0.0055807872268079685,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
27,2018-08-09,65.959999,66.25,63.91,3669800,62.6572,-0.029710393904714666,63.079570328884905,-1.8894999999999982,-3.1818119999999936,-2.8979069999999894,-0.2890789246590688,-0.47887249569634693,0.4294944043930693,-0.4500651270949451,-0.41766528743300946,-0.15256114748304955,-0.14982876563635977,0.39375513872300916,4,-0.029273378809451113,-0.048327152904420766,-0.04420566348858205,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
28,2018-08-10,63.869999,64.540001,63.560001,2881200,62.92153199999999,0.004209827351790963,55.34441884347582,0.2643319999999889,-1.6251680000000093,-2.9174800000000047,-0.8715202875889894,-0.6454423521708366,0.4436560070781219,-0.10147461726502806,-0.20219560802265044,-0.15509250083498016,0.13754721698439648,0.18456892084478094,5,0.004218701122935415,-0.025178173322571242,-0.044312329595711505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
29,2018-08-13,64.139999,64.400002,63.110001000000004,2113300,62.001263,-0.014733670467205652,48.68236005499738,-0.9202689999999905,-0.6559370000000015,-2.5454369999999997,-0.7387574898319054,-0.807639908329549,0.3943525404476298,-0.2931983294835413,-0.0680352651025059,-0.10697661184956103,-0.02294425678404799,0.004402975307320922,1,-0.014625661053516474,-0.010468661223291202,-0.0394355869471251,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
30,2018-08-14,64.160004,64.379997,63.5,1928400,62.578880000000005,0.00927308518351052,56.409602175875996,0.5776170000000036,-0.34265199999998686,-0.07831999999999795,-0.9143481431897844,-0.8466949000390762,0.4252984057160516,-0.05077048719728307,-0.02467055325183344,0.2120927636958431,0.1804437147297813,0.21337529562257695,2,0.009316213445522933,-0.005445703388149972,-0.0012499760602133186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31,2018-08-15,63.029999,63.209998999999996,60.389998999999996,4760200,60.209656,-0.038595102865478376,45.18829005528397,-2.3692240000000027,-1.791606999999999,-2.7118759999999895,-0.08351138480145104,-0.24855576795125,0.29836708843364557,-0.5277068529759097,-0.2252339892911864,-0.1285019743663765,-0.22510103313105417,-0.09008919974840479,3,-0.03785980190121655,-0.028896298451210566,-0.043099332037878385,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
32,2018-08-16,62.099998,63.189999,61.619999,2068800,61.423641,0.01996205549698679,50.885331917370046,1.213985000000001,-1.1552390000000017,-0.5776219999999981,-0.6188435198473341,-0.8170392978972827,0.36340640730390916,0.05222354648753777,-0.13714833261759105,0.14751861607796712,0.2710018901558982,0.06397922961225166,4,0.020162629728361196,-0.018460525340178693,-0.009316294089041348,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33,2018-08-17,63.209998999999996,63.369999,62.25,2312000,61.041817,-0.006235639721542854,51.04696131441024,-0.3818240000000017,0.8321609999999993,-1.5370630000000034,-0.8115635167295602,-0.765670049742837,0.3429501637026129,-0.20605280603260973,0.13794632027681003,0.023435226136322873,0.04905202877696862,0.06835026776561604,5,-0.006216238467530795,0.01382105554630638,-0.02456200877995904,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
34,2018-08-20,62.220001,63.799999,62.220001,2043200,61.639019,0.009735941436179837,49.94324605724046,0.5972019999999958,0.21537799999999407,1.429362999999995,-0.6145617192983848,-0.822446587176698,0.3749452965155875,-0.047600720411843794,0.05257160693467019,0.4070796546014706,0.18436508568479815,0.03850185164896236,1,0.009783489898408427,0.0035064349246244466,0.023739763602037438,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2018-08-21,63.59,64.230003,63.299999,2016200,62.069790000000005,0.006964301807888692,56.346722705354175,0.4307710000000071,1.027973000000003,0.6461490000000012,-0.8929318599279956,-0.8281495875885814,0.3980238785648411,-0.07453702145180388,0.16505049365537472,0.30578749784586634,0.16088343868645985,0.21167480938834404,2,0.006988608952391133,0.016840471835889204,0.010519548979520787,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
36,2018-08-22,64.400002,65.389999,64.010002,1757600,63.822239,0.02784230613787612,55.70280570657978,1.7524489999999986,2.1832200000000057,2.7804220000000015,-0.7002152891714313,-0.8827716582001754,0.49191143839043594,0.13937214502496165,0.3249590538205648,0.5818105455381388,0.33776427221993277,0.19426098603204656,3,0.02823352552022487,0.03541944754182421,0.04554946324746528,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
37,2018-08-23,64.82,64.839996,64.010002,1493400,63.195663,-0.009866027900373074,49.32691095899726,-0.626576,1.1258729999999986,1.5566440000000057,-0.9357627133887456,-0.9385765733416415,0.4583425917733406,-0.24566509912784268,0.17860174982844537,0.4235407584683719,0.018294966129978413,0.021833941732744,4,-0.009817518310506155,0.018138824055953767,0.025254198156528185,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
38,2018-08-24,65.550003,65.790001,64.879997,1912600,63.773277,0.009098571426382679,48.79062252601077,0.577613999999997,-0.04896200000000306,1.7034869999999955,-0.9014971740887281,-0.8500322113912153,0.489288296316583,-0.05077097273725638,0.015981831073693456,0.4425317930699779,0.17896521427849563,0.0073307805212408095,5,0.009140089249478987,-0.0007671620545935886,0.027444703776184767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2018-08-27,65.25,66.260002,64.940002,1449300,64.7621,0.015386308901234484,46.36714768251407,0.9888230000000036,1.5664370000000005,0.9398610000000005,-0.7259099468565138,-0.9478914740143843,0.5422645475908996,0.015781829411032594,0.23958434047842495,0.3437729295988766,0.23223564319559276,-0.058208664645461594,1,0.015505287583073448,0.024787096544900564,0.014726230460200565,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
40,2018-08-28,66.16999799999999,66.5,65.400002,2377800,64.399857,-0.005609143097064684,54.74823359717103,-0.36224300000000653,0.626579999999997,1.204193999999994,-0.8201292591560025,-0.7517716265168397,0.5228573572339172,-0.20288368663379963,0.10948992808767626,0.37795880941164645,0.05435977962288832,0.16844593513925865,2,-0.005593441225655229,0.009825118442635417,0.01905501015156679,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
41,2018-08-29,66.339996,67.879997,66.220001,3392100,65.79985,0.02150614608246679,65.9406217902928,1.3999930000000091,1.0377500000000026,2.026573000000006,-0.5803013191868599,-0.5375289110437548,0.5978620658119786,0.08232831953968225,0.1664038198208917,0.48431613011903796,0.2840836016784216,0.4711282238520902,3,0.021739070010668025,0.01602403257460772,0.031777777390991,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
42,2018-08-30,67.43,68.620003,66.879997,2819700,66.7397,0.014182419564271232,74.8940427993818,0.9398499999999927,2.339843000000002,1.9775999999999954,-0.5460357798868485,-0.6584325197756821,0.6482145856867851,0.007855713057526637,0.3466387105682143,0.477982508921264,0.22203615544578598,0.7132608157600486,4,0.014283467211551283,0.0363330465159263,0.03053637853003524,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
43,2018-08-31,67.83000200000001,67.860001,66.860001,2012000,65.927116,-0.012250149453420883,74.85545425494617,-0.8125840000000011,0.12726599999999166,1.5272590000000008,-0.8629549734282569,-0.8290367209859855,0.6046803493618924,-0.275769872179986,0.04037519954016877,0.4197404305551018,-0.0019035835437809512,0.7122172432225049,5,-0.012175421825390302,0.0019341381477312129,0.02371525452300307,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
44,2018-09-04,67.43,67.57,65.529999,2093700,64.301956,-0.024959778116680084,68.45025086752193,-1.625159999999994,-2.437743999999995,-1.4978940000000023,-0.41755820880437855,-0.8117798641841014,0.5176123053125861,-0.4072825816742984,-0.31467186477535086,0.02850090740346109,-0.1095810069376078,0.5389975882637721,2,-0.024650858381246255,-0.036526145607486925,-0.022764398399084528,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
45,2018-09-05,65.209999,65.730003,64.43,2508400,64.037628,-0.004119202595451002,72.96211164037538,-0.2643280000000061,-1.889488,-2.702072000000001,-0.7344739762201253,-0.7241860023023224,0.503450916927771,-0.187036471173171,-0.2387826154962569,-0.12723403443574355,0.0669827254598225,0.661014473446524,3,-0.00411073031744176,-0.02866025566778926,-0.040486726790800696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
46,2018-09-06,65.279999,65.279999,62.77,2566700,61.648811,-0.038016904961356714,65.28673988318727,-2.388816999999996,-2.653145000000002,-4.278304999999996,-0.21627418255853792,-0.711871745857404,0.3754699035003344,-0.5308779145346084,-0.34448753516284647,-0.33108641720642573,-0.22020247455180092,0.45344491366166606,4,-0.03730333359630366,-0.04126071996938945,-0.06489446618596202,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
47,2018-09-07,62.25,63.119999,61.32,2893200,61.31594499999999,-0.005414019819947305,57.067509924864986,-0.3328660000000099,-2.721683000000006,-2.986011000000012,-0.5203428352645999,-0.6429076853211106,0.3576365876726513,-0.19812911737896804,-0.3539745218389446,-0.16395553545210795,0.05601288627775822,0.2311674790055902,5,-0.005399390427822036,-0.04250130876177997,-0.04643732766076372,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
48,2018-09-10,62.939999,63.439999,62.450001,1412900,61.237625,-0.001278135115315593,56.21186657707322,-0.07831999999999084,-0.4111860000000007,-2.8000029999999967,-0.86723848704004,-0.955579963458553,0.35344058899563446,-0.15693169812102536,-0.034156986250459126,-0.1398993368987137,0.09105257313627892,0.20802781637392065,1,-0.0012773186485177852,-0.006669812334255736,-0.043724339696029915,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49,2018-09-11,62.169998,64.599998,62.169998,2015800,63.029224,0.028836703656063944,56.214257762889005,1.791598999999998,1.713279000000007,1.3804129999999972,-0.2505350109357667,-0.8282340764835723,0.4494256124091409,0.14570844166269437,0.259910117383085,0.4007490079669791,0.3461889213914077,0.20809248260805857,2,0.02925650692690969,0.02794181839650367,0.02239155918189561,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
50,2018-09-12,65.019997,66.0,64.650002,2700600,63.69495,0.010506789718890946,57.531369341275294,0.6657259999999994,2.4573249999999973,2.3790050000000065,-0.713062832146826,-0.6835890882592119,0.48509192261414746,-0.03651034005925054,0.36290049481463615,0.5298957512566727,0.19089580024059252,0.24371190003329857,3,0.01056217985485589,0.040127699269852435,0.03879912476273516,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
51,2018-09-13,64.83000200000001,65.620003,63.509997999999996,2847100,63.87118100000001,0.002762976516280139,55.17759680195406,0.17623100000000846,0.8419570000000078,2.633556000000006,-0.3875778961789721,-0.6526450304688078,0.49453350896309445,-0.1157334696297988,0.13930227641032916,0.5628165363732511,0.12528933171247067,0.18005745497491543,4,0.002766797053769702,0.013358200316729393,0.043005521523736524,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
52,2018-09-14,64.91999799999999,66.400002,64.91999799999999,2655500,64.87361899999999,0.01557279608217095,56.194816606027764,1.0024379999999837,1.1786689999999922,1.8443949999999916,-0.6573857205078022,-0.693115211169432,0.5482391846754537,0.017985371651712184,0.1859097388061102,0.4607552610163098,0.23381558385878973,0.20756672405211396,5,0.015694683960830215,0.018504905019942588,0.02926253700981614,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
53,2018-09-17,66.699997,67.58000200000001,66.300003,2151600,65.620537,0.011447656811196794,57.142253394763046,0.746918000000008,1.7493559999999917,1.9255870000000002,-0.7430410034436855,-0.7995500966341738,0.5882553611289847,-0.023369686250544114,0.2649038729393228,0.47125572805507826,0.19886693353958507,0.2331888103018891,1,0.011513431985349978,0.027388815622494775,0.030231391970635037,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
54,2018-09-18,67.510002,69.360001,67.0,3076300,67.340416,0.02587188033990747,58.13893239181466,1.719879000000006,2.466797000000014,3.4692349999999976,-0.28051318223262944,-0.6042328936390424,0.6803979812596048,0.1341007993930099,0.3642116030727726,0.6708939306299504,0.3210706001595265,0.2601425823418,2,0.026209462443137366,0.03802465529169899,0.054316124200051934,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
55,2018-09-19,68.480003,70.0,68.480003,3298900,68.22492199999999,0.013049331997798546,58.16217048066495,0.8845059999999876,2.6043849999999935,3.3513030000000015,-0.6402580900462921,-0.5572148235766262,0.7277854430294464,-0.0011015283503588713,0.38325644714162094,0.6556419220722617,0.21243650836954533,0.26077102354640713,3,0.013134846093020684,0.03968856579152946,0.0516589493797163,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
56,2018-09-20,70.0,70.41999799999999,69.129997,2504800,68.1856,-0.0005765244573897561,57.856336716437774,-0.039321999999998525,0.845183999999989,2.565062999999995,-0.7387574898319085,-0.7249464023572403,0.7256787645312635,-0.15062000217522062,0.13974895571237456,0.5539584162519782,0.09699669863929174,0.2525001824958053,4,-0.0005763582990977774,0.012550917416369822,0.03908933265815845,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
57,2018-09-21,69.650002,70.82,69.290001,4981000,69.29615,0.016155950236601394,66.8697886010365,1.1105500000000035,1.071228000000005,1.9557339999999925,-0.635974576434515,-0.20191789791629255,0.7851765470997232,0.03548293747798792,0.17103782343848223,0.4751546045431268,0.2387561323558513,0.4962562244198996,5,0.016287163272010564,0.015701417731192203,0.029042499529554323,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
58,2018-09-24,71.620003,73.08000200000001,71.529999,4164600,70.799812,0.021466996231882054,74.08280757215968,1.5036620000000056,2.614212000000009,2.5748900000000106,-0.6274075492109426,-0.37435973259264743,0.865735328543562,0.09910680066706667,0.38461669427556355,0.5552293307458953,0.28375191967976465,0.6913221078611429,1,0.02169906986174565,0.03833964942744523,0.03774119375321544,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
59,2018-09-25,72.870003,73.25,71.510002,3550800,70.406708,-0.00556780261325193,71.59005758194436,-0.3931040000000081,1.1105579999999975,2.221108000000001,-0.5460392060125102,-0.5040079419561292,0.8446747582686602,-0.20787843632823338,0.17648185720034934,0.5094751156765626,0.0547100209160647,0.6239092144546272,2,-0.005552331127659041,0.01602625831305199,0.032574443870846646,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
60,2018-09-26,71.029999,71.510002,70.230003,3006900,69.227356,-0.01689244029050775,70.32978840596786,-1.1793519999999944,-1.5724560000000025,-0.06879399999999691,-0.7430410034436855,-0.6188917169199574,0.7814909044415677,-0.33513004702616594,-0.19489924627193517,0.21332475020943198,-0.04123360090513015,0.5898270193058539,3,-0.016750563028738605,-0.022209889483887364,-0.000992753565674239,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
61,2018-09-27,71.389999,71.790001,71.110001,3170000,70.34774,0.016054555530377487,77.12420470283105,1.1203840000000014,-0.058967999999993026,-0.45207200000000114,-1.0,-0.5844413699874323,0.8415155441472821,0.037074537506990496,0.01459680687279851,0.16375585172577972,0.23789710484204787,0.773572386221036,4,0.01618412235764141,-0.0008375338327136817,-0.006385214695202879,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,2018-09-28,71.089996,74.08000200000001,71.089996,5988500,70.34774,0.0,79.58468717475536,0.0,1.1203840000000014,-0.058967999999993026,-0.010703644840959203,0.010888506341947712,0.8415155441472821,-0.14425586791241296,0.17784196591492188,0.21459553537450943,0.10188107958699866,0.8401126502906415,5,0.0,0.01618412235764141,-0.0008375338327136817,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
63,2018-10-01,71.889999,74.809998,71.459999,4977300,73.305916,0.041190657093611076,80.99920801898128,2.9581759999999946,2.9581759999999946,4.078559999999996,0.1434690121922939,-0.20269942019495812,0.9999999999999996,0.33451502972799213,0.4322279739314787,0.749697225023448,0.45085302371312447,0.8783663633655172,1,0.04205076097682732,0.04205076097682732,0.058915437995349644,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
64,2018-10-02,74.610001,74.739998,73.220001,2457400,72.097092,-0.01662760444264721,81.02867002474059,-1.2088239999999928,1.7493520000000018,1.7493520000000018,-0.6402580900462921,-0.7349583364136577,0.9352371820129344,-0.3398999917134521,0.2649033192618504,0.44846346023833356,-0.03898988140116236,0.8791631215890015,2,-0.0164901288458082,0.024867209664446957,0.024867209664446957,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
65,2018-10-03,73.970001,73.989998,72.900002,2950100,72.70642099999999,0.00841599190352952,80.2599680010303,0.6093289999999882,-0.5994950000000046,2.35868099999999,-0.8244127727677857,-0.6308891400086601,0.9678820195750939,-0.045638005997393274,-0.06022259910740428,0.527267271947183,0.17318232272205825,0.8583746639461725,3,0.008451505922041741,-0.008177989345362038,0.033528880956232424,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
66,2018-10-04,73.339996,73.910004,72.089996,2588200,71.33052099999999,-0.019105402167126428,74.93385531251485,-1.3759000000000015,-0.7665710000000132,-1.975395000000006,-0.5117736667124927,-0.707330467751645,0.8941680949107891,-0.366940683847447,-0.08334915351365733,-0.0332537422107676,-0.05998206628177016,0.7143374887977056,4,-0.018924050738242246,-0.010632481543083779,-0.02694727939829585,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
67,2018-10-05,72.739998,73.18,71.68,2742700,71.192932,-0.0019307565154522014,69.71531837371728,-0.1375889999999913,-1.5134889999999928,-0.9041600000000045,-0.6488221194099036,-0.6746966320614235,0.886796756019419,-0.16652418765925753,-0.18673707137144868,0.10528783587911675,0.08552349021180886,0.5732095474582146,5,-0.0019288938040981267,-0.02081644205812294,-0.012540866419411264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
68,2018-10-08,71.550003,72.110001,70.739998,2644900,69.885818,-0.018530805015245913,64.17555632223232,-1.3071139999999986,-1.4447029999999899,-2.8206029999999913,-0.7044953766575527,-0.6953541668866899,0.8167680454127919,-0.35580789967061155,-0.17721575669197046,-0.14256351096756958,-0.05511401368612029,0.42339452784529397,1,-0.018360165304050106,-0.020253644299051035,-0.03879441404494373,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
69,2018-10-09,71.33000200000001,73.190002,71.120003,2283400,71.32069399999999,0.02032378492619387,63.5174505053419,1.4348759999999885,0.12776199999998994,-0.009827000000001362,-0.40471109409468475,-0.7717110057346839,0.8936416127989526,0.08797401649022896,0.040443855546928933,0.2209508838171143,0.2740665031304168,0.4055969879963781,2,0.0205317193253714,0.0017945882605311149,-0.0001377671137436577,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,2018-10-10,72.059998,72.25,66.900002,6878200,66.03331800000001,-0.0770270909079856,53.82575062085085,-5.2873759999999805,-3.852499999999992,-5.159613999999991,1.0000000000000002,0.19881293102537834,0.6103701278539337,-1.0,-0.5105014968324457,-0.44506508635448094,-0.5507012184678888,0.14349868940819932,3,-0.07413522925057321,-0.055125633644296644,-0.07247368320214696,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
71,2018-10-11,66.790001,67.379997,64.43,4032000,64.372398,-0.02547449408087425,45.54363643687305,-1.6609200000000044,-6.948295999999985,-5.513419999999996,-0.02783812755380488,-0.402367801282119,0.5213862396691549,-0.4130702181434016,-0.9390196240599152,-0.49082240531593235,-0.11394173928255141,-0.08047936007796652,4,-0.025152756976410062,-0.09742328082225316,-0.0788918289544811,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
72,2018-10-12,67.260002,67.32,65.089996,2601400,65.021049,0.010026109493463324,43.56832627130863,0.648651000000001,-1.0122690000000034,-6.299644999999984,-0.3361864394802784,-0.7045423342169465,0.5561377557294978,-0.0392738717345833,-0.11735851550764234,-0.592503971203639,0.18682342255578788,-0.13389882619317794,5,0.010076539326684722,-0.01532967039457268,-0.08832843101610852,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
73,2018-10-15,66.5,66.940002,65.470001,2345400,64.50999499999999,-0.007890875206217424,44.850126549280084,-0.5110540000000157,0.13759699999998531,-1.523323000000019,-0.6616696623852922,-0.7586152270110997,0.5287580071610023,-0.22696824957013972,0.041805210035816505,0.025212204374480546,0.03502868499391863,-0.09923435288197036,1,-0.00785982397792468,0.002137515523345663,-0.023069005861556417,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
