index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,308.549988,308.869995,299.630005,1705300,304.759338,-0.010297623406811202,33.13909708873305,0.0,0.0,0.0,-0.39634823644243944,-0.3775112042631942,0.47317121432158604,-0.007766424810719985,-0.05121678845225175,-0.06492149055493923,-0.02648989186402359,-0.5023748718187572,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,307.549988,308.899994,302.0,1414300,302.65631099999996,-0.006924534811237416,41.03285002209696,-2.103027000000054,0.0,0.0,-0.6100465598301119,-0.5072799839461303,0.4306395459269776,-0.11863694172956808,-0.05121678845225175,-0.06492149055493923,0.02250234659246253,-0.3046394749277348,3,-0.006900615462027464,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,303.570007,306.920013,302.910004,309400,303.469727,0.0026839846411790278,37.51924168000769,0.8134160000000179,-1.2896110000000363,0.0,-0.8739722029147653,-0.9999999999999999,0.44709009058421145,0.035116454196568746,-0.10942125816174764,-0.06492149055493923,0.1620607551217515,-0.3926539777767055,5,0.0026875897525890946,-0.004231571732840673,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2018-11-26,307.23999,314.920013,306.059998,1073200,311.038635,0.024635273528043226,39.59555451984457,7.568908000000022,8.38232400000004,6.2792969999999855,-0.43104915919155606,-0.6593903988940667,0.6001638671763763,0.39126256648191937,0.3271056074897564,0.15047322766685053,0.4808910345824439,-0.3406431602453147,1,0.024941229146062473,0.027695850690521502,0.020604116812985022,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-11-27,312.079987,313.869995,306.790009,996800,307.15002400000003,-0.01258082701170717,34.13253954686826,-3.888610999999969,3.6802970000000528,4.493713000000071,-0.5936089297558729,-0.6934602778211331,0.5215205052187697,-0.2127720246752506,0.11488735865757105,0.08922347908172726,-0.059652156146840024,-0.47748953015605,2,-0.01250201924272195,0.012127394176619314,0.014847577389523098,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
19,2018-11-28,311.23999,329.040009,311.23999,1373300,326.265656,0.06037563947734082,32.623595888053174,19.115631999999948,15.22702099999998,22.795929,0.3853897859515383,-0.525563557715891,0.908115504416279,0.9999999999999999,0.6360297398111795,0.7170327160320301,0.9999999999999999,-0.5152879735302894,3,0.06223548919533845,0.04895540066911617,0.07511763768120437,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,327.47000099999997,332.690002,326.059998,912400,327.64453100000003,0.0042173285295704546,39.23018445839361,1.3788750000000505,20.494507,16.60589600000003,-0.6347031875899193,-0.731097683337421,0.9360019054266404,0.06492716591183295,0.8737690498296162,0.5046999638435962,0.18433172349016153,-0.34979553614597714,4,0.004226233974194485,0.0667247449083709,0.05338853162083877,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-11-30,331.320007,332.959991,328.420013,1138000,326.831116,-0.0024857011030122015,45.896479512537944,-0.8134150000000204,0.56546000000003,19.68109199999998,-0.8255731942209683,-0.6304934335213717,0.9195513809934299,-0.050649251098515986,-0.025695682132646554,0.6101864499736145,0.08697394090143602,-0.18280747489661664,5,-0.0024826143061732362,0.0017331275590956778,0.06407647879591237,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-12-03,330.26001,333.690002,322.980011,1795000,330.80899,0.012097566670427627,43.03512625668592,3.9778739999999857,3.1644589999999653,4.543334000000016,-0.2621015329958569,-0.33751031238154683,1.0,0.2019450751453115,0.09160585962723461,0.090925596581962,0.2987878058466637,-0.25448324515032406,1,0.012171038206778284,0.00965820790703192,0.013925259727612936,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,2018-12-04,333.200012,336.130005,323.579987,1951900,321.871155,-0.02738981360639482,40.66688969492831,-8.937835000000007,-4.959961000000021,-5.773376000000042,-0.09406249152397672,-0.26754219715043803,0.8192410109876311,-0.47896455331089993,-0.275076463799914,-0.26296192353787595,-0.27474446160774263,-0.3138066367517651,2,-0.027018113987772846,-0.015175914278614833,-0.017620852642890723,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
