index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,50.009997999999996,51.52,49.889998999999996,21688000,50.726444,0.021256412603749095,66.48013940464057,0.0,0.0,0.0,0.07423446539979772,-0.5690416738773929,-0.1181437727489163,-0.39834688657211437,-0.307039062247645,-0.17263939894267488,0.03674785753514381,0.5972677855127198,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,52.0,52.0,51.299999,18413500,51.121590000000005,0.00775956034003842,73.30069499349527,0.395146000000004,0.0,0.0,-0.7379922541518602,-0.7039646633208896,-0.060187858850142995,-0.2670012692605756,-0.307039062247645,-0.17263939894267488,-0.1928724308238184,0.8328458447957452,2,0.007789743747856719,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,51.98,52.970001,51.799999,20896400,52.277378000000006,0.022356821604160866,74.542029672915,1.1557880000000011,1.5509340000000051,0.0,-0.32751121069379696,-0.6016588790823011,0.10933112859559824,-0.014165626123400776,0.12297962675506774,-0.17263939894267488,0.05546898058297667,0.8757208292290182,3,0.02260860822208388,0.03057446723448632,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,52.509997999999996,52.599998,51.880001,27765400,51.526608,-0.014465400035186886,70.23933381230194,-0.7507700000000028,0.4050179999999983,0.8001640000000023,-0.7205285063194365,-0.3186275721690688,-0.0007840224568784748,-0.6479010997211361,-0.1947420145444549,0.014556783973677212,-0.5709829495146928,0.727108193891119,4,-0.014361278792520978,0.007922640903774673,0.015774099994078083,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
18,2019-07-26,52.689999,53.5,51.529999,36401500,50.963531,-0.01098803593851705,64.78911219795859,-0.5630769999999998,-1.3138470000000027,-0.1580590000000015,0.3711775671713664,0.037215588354059026,-0.08337031241142423,-0.5855123802350353,-0.6713219811146931,-0.20961687040549487,-0.5118229816195632,0.5388606803502163,5,-0.010927887975858993,-0.025132228322545223,-0.0030918248043537277,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
19,2019-07-29,51.529999,52.560001,50.779999,21897500,51.87236,0.017675787187153232,63.510612507538,0.9088289999999972,0.3457519999999974,-0.40501800000000543,0.20523964836696362,-0.5604094044352147,0.04992729220233194,-0.09625422705986603,-0.21117436280842689,-0.2673922541228828,-0.024168882501701516,0.49470203785555,1,0.017832928413064573,0.006710164193226098,-0.007747481138017392,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2019-07-30,51.709998999999996,52.310001,51.560001,16487700,51.072196999999996,-0.015545826570174712,57.89627357519685,-0.8001630000000048,0.10866599999999238,-0.45441100000000745,-0.6943250243122228,-0.783315615548798,-0.06743231142008543,-0.6643192187856566,-0.27690985567975407,-0.278947611603084,-0.5893641133347649,0.300786006733494,2,-0.015425613949317225,0.002132230594461604,-0.008818958158472365,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,51.509997999999996,51.720001,50.049999,24169800,49.936161,-0.022494849469294392,50.94979932776152,-1.1360359999999972,-1.936199000000002,-1.0273700000000048,0.10916982132322017,-0.4667812142038945,-0.2340542805198762,-0.7759626278630027,-0.8438779964823458,-0.412989805162866,-0.7075869856558261,0.0608587895513053,3,-0.0222437268559251,-0.037326217661968766,-0.020158925016400545,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
22,2019-08-01,50.52,51.889998999999996,49.470001,34020800,48.898914000000005,-0.02099022200485354,42.35031625365935,-1.0372469999999936,-2.1732829999999907,-2.9734459999999956,0.7641878759004801,-0.06087913174614945,-0.38618690447092163,-0.743125392540894,-0.9096129348249922,-0.8682689715151639,-0.6819889435711055,-0.23616239985804532,4,-0.02077146058544616,-0.04255315274570998,-0.057322358188445555,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,49.09,49.360001000000004,48.5,27881600,48.088867,-0.016704492624906912,36.33733479970811,-0.8100470000000044,-1.847293999999998,-2.983329999999995,-0.5982543239064115,-0.31383964992954083,-0.5049961906232792,-0.6676046375460823,-0.8192278105003583,-0.8705813063264589,-0.6090763564860583,-0.44384731393474763,5,-0.01656574622495715,-0.036993112065623106,-0.05841397424120986,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
