index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,22.84,23.08,22.780001000000002,4409900,22.512337,-0.0008774447200498424,72.36885793716263,0.0,0.0,0.0,-0.7431211009174384,-0.11106389238489078,0.7478409464380622,0.1353069717628721,0.15311348762368238,0.18752583791659605,0.13784130907898073,0.8095479511450419,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,22.0,23.049999,21.799999,7448700,22.176331,-0.015037921111598157,57.812530149503175,-0.3360059999999976,0.0,0.0,1.0000000000000002,0.8823164054199832,0.5627109707111444,-0.2797525005033706,0.15311348762368238,0.18752583791659605,-0.2214729108563463,0.36286708906569287,2,-0.014925416228443879,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,22.559998999999998,23.0,22.34,3247700,22.502453,0.01459877654782949,59.027741034354996,0.326121999999998,-0.00988399999999956,0.0,-0.08256880733944927,-0.49098576355404466,0.7423951368986934,0.5381569959124759,0.14381278141364529,0.18752583791659605,0.5305418241360561,0.400157500052041,3,0.014705859143245924,-0.0004390481539077689,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,2019-07-25,22.75,23.1,22.75,4112900,22.749516,0.010919544955268388,59.160295930412865,0.2470630000000007,0.5731849999999987,0.23717900000000114,-0.6513761467889884,-0.20815285791340443,0.8785199894103144,0.4404974695412324,0.6924725820186982,0.3494604035955142,0.43718336690000303,0.40422512865368354,4,0.01097938078128641,0.025846701151781993,0.010535512150515566,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2019-07-26,23.08,23.129998999999998,22.91,2417100,22.798927,0.0021696030040890897,58.299071628193765,0.049410999999999206,0.2964739999999999,0.6225959999999979,-0.8899100917431234,-0.7625079681600497,0.9057440783570687,0.1963430948801591,0.4320913885660801,0.612604840920365,0.21515845193712313,0.3777972809594974,5,0.002171958295728103,0.013175185834184385,0.028074797404493913,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
19,2019-07-29,23.129998999999998,23.23,22.889999,3263900,22.877987,0.003461708422367824,64.44733280059344,0.0790600000000019,0.1284710000000011,0.3755340000000018,-0.669722935779815,-0.48569000179794375,0.9493039430052299,0.2329677334081111,0.2740029076469259,0.4439226318472006,0.24794490894644616,0.566465098889837,1,0.0034677070548101633,0.005647197065643116,0.016688580573860183,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2019-07-30,22.959999,23.110001,22.85,2225000,22.680338,-0.00867680012509246,58.959618960577444,-0.19764900000000196,-0.11858900000000006,-0.06917800000000085,-0.8165119266055065,-0.825305241823442,0.8404048323570574,-0.10884369707623198,0.041522891838358764,0.14029438241448042,-0.06006300048463606,0.3980670808827649,2,-0.008639265333965002,-0.0052015167205018056,-0.003040855902165165,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,22.93,23.190001000000002,22.709999,4601900,22.65069,-0.001308066705542389,57.08232542491852,-0.02964799999999812,-0.22729700000000008,-0.14823699999999818,-0.4128403669724726,-0.048299308608881875,0.824069607627882,0.0986835685089157,-0.06076982069510517,0.08631664902320589,0.1269145154792537,0.3404597566237564,3,-0.0013072115591927298,-0.009935183545650239,-0.006501928796912161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,2019-08-01,22.870001000000002,22.98,22.1,3232300,21.988564,-0.029667815017008485,51.33539999605005,-0.6621260000000007,-0.6917739999999988,-0.8894230000000007,0.32110091743119096,-0.49602000621107867,0.45925656765787615,-0.6826000541050007,-0.49783620255665717,-0.4197299781962971,-0.5926983393664059,0.16410747586177843,4,-0.029232045469696537,-0.03050104456115243,-0.03887680327819055,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,22.049999,22.120001000000002,21.73,2705600,21.514204,-0.021809131861691488,46.78392601372725,-0.4743600000000008,-1.1364860000000014,-1.1661339999999996,-0.5779798165137586,-0.6681976430591197,0.1978973797689072,-0.4506575981085488,-0.9163039949563156,-0.6086551174522123,-0.39328862110601115,0.0244392606489241,5,-0.02157303223621155,-0.050174453846659924,-0.05141607677980811,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
24,2019-08-05,21.450001,21.540001,20.92,4245700,20.911369,-0.028420385798615756,40.04139878324483,-0.6028349999999989,-1.0771949999999997,-1.7393210000000003,-0.15596146788991105,-0.1647406874683317,-0.13424796560390462,-0.6093594239670308,-0.8605119905148597,-1.0,-0.5610455161041294,-0.18246442548946296,1,-0.028020325548646786,-0.04898887439852824,-0.07678887486429774,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
