index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,33.029999,33.91,33.029999,5750600,32.425076000000004,-0.003293713920269158,59.68964352224668,0.0,0.0,0.0,-0.4208131692605632,-0.6957480412259667,-0.45822654042597,0.04643193496152498,0.021226438823946037,0.05484343516395551,-0.0914263123581567,0.297441907471097,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,33.32,33.73,33.07,3172200,32.337543,-0.002703196833416966,54.49613047503335,-0.08753300000000763,0.0,0.0,-0.6199095473066706,-0.8948807358580184,-0.4688325861616276,-0.0007832061612258467,0.021226438823946037,0.05484343516395551,-0.07851624374011973,0.12432050687272689,3,-0.0026995464867995258,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,33.02,33.759997999999996,32.759997999999996,1811100,32.473698,0.004201592137375274,57.51271833409413,0.13615500000000225,0.048621999999994614,0.0,-0.312216543476342,-1.0,-0.45233519481049855,0.11987369452155015,0.04568659686769416,0.05484343516395551,0.0724384049749055,0.22487593254338267,5,0.004210431200663645,0.001499518459108457,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-11-26,33.549999,34.060001,33.540001000000004,4818500,32.852996999999995,0.011612504271676526,57.52140544536386,0.37929899999999606,0.5154539999999983,0.42792099999999067,-0.7466066665309228,-0.7677351590767794,-0.4063769557293657,0.25102512624614354,0.2805347006042821,0.24985411374183328,0.23445807605009622,0.22516551010995411,1,0.011680191150388725,0.015939800992301682,0.013197224271733105,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-11-27,33.470001,33.830002,33.34,4103100,32.580681,-0.008323468296312047,52.62933360696087,-0.27231599999999645,0.1069829999999996,0.24313800000000185,-0.773754239262987,-0.8229862953394886,-0.4393724654291482,-0.10045482054761701,0.07504613130871807,0.16564544387133243,-0.20138837031100082,0.062092399328688375,2,-0.00828892414290229,0.0032944507890662654,0.007518753048121246,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2018-11-28,33.529999,34.0,33.09,5314200,33.066963,0.014815181926556254,53.111435249733276,0.48628200000000277,0.21396600000000632,0.5932650000000024,-0.39366469154907824,-0.7294516977328808,-0.38045149696666414,0.30873156202162394,0.12886582379349365,0.325204109742926,0.3044760132216589,0.0781628531561449,3,0.014925470710695176,0.006512830473274824,0.018269092728521476,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2018-11-29,33.93,34.490002000000004,33.689999,4503200,33.329552,0.007909763609068018,49.93265462695735,0.2625889999999984,0.7488710000000012,0.4765550000000047,-0.4932097131441433,-0.792086128134135,-0.3486345714222372,0.18807196434793763,0.39795925554028344,0.2720174320691868,0.1535076055329973,-0.027799132229683332,4,0.00794112843081472,0.02298512422131389,0.014505678127325942,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
21,2018-11-30,34.23,34.82,34.209998999999996,6471500,33.825554,0.014772101455878284,57.80531509716422,0.49600199999999717,0.7585909999999956,1.2448729999999983,-0.6651576134787592,-0.6400721338569603,-0.2885358669681777,0.3139745123570727,0.40284907365112055,0.6221526545602539,0.3035341745434343,0.23462940018132827,5,0.01488174818551408,0.02294105448994501,0.038208931237502325,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
22,2018-12-03,35.0,35.630001,34.439999,5503000,34.078423,0.0074478750752298645,58.582245146713326,0.252869000000004,0.7488710000000012,1.0114599999999996,-0.14026864314172593,-0.7148704641203569,-0.2578966774153253,0.1828290140124889,0.39795925554028344,0.5157824892285714,0.14340965443471246,0.2605277116175675,1,0.007475679481849847,0.022468678846928433,0.03058823394213734,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
23,2018-12-04,34.880001,35.099998,33.790001000000004,6933300,32.959976,-0.03337045053062039,48.93496589961421,-1.1184470000000033,-0.8655779999999993,-0.3695760000000021,-0.03167563727520051,-0.6044068071500562,-0.39341471101303194,-0.5568563442396088,-0.4142179007588301,-0.1135784617424822,-0.7489733031084003,-0.06105624899605533,2,-0.03281979920256296,-0.025589470020210146,-0.011088537883737594,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
24,2018-12-06,33.34,33.529999,32.759997999999996,7029200,32.473698,-0.01486350751147654,50.56784730189603,-0.48627799999999866,-1.604725000000002,-1.351855999999998,-0.5203609057939033,-0.5970003436784406,-0.45233519481049855,-0.21586553450584117,-0.7860588870935008,-0.5612197070973051,-0.344368746175315,-0.006625517272806913,4,-0.01475359083999329,-0.0470891801536709,-0.03996552428971298,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
25,2018-12-07,33.310001,33.880001,32.630001,5435200,31.763731,-0.022105365083796638,53.13312495944935,-0.7099669999999989,-1.1962449999999976,-2.314692000000001,-0.08597168771874975,-0.7201067333943459,-0.5383592368610048,-0.33652297458679464,-0.580565790188572,-1.0,-0.5026924937218523,0.0788858614340644,5,-0.021862831883205876,-0.036293867446990785,-0.06792250920765908,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
