index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,54.720001,55.279999,53.209998999999996,3043000,54.349998,-0.022198910523140207,82.58002522626589,0.0,0.0,0.0,-0.7232820870157881,-0.5339853439088568,-1.0,-0.21123693017429135,-0.10219557019406889,-0.13709981878669186,-0.32779498953998576,0.6121761330795199,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,57.52,59.0,56.849998,4279300,57.330002,0.05337950503735013,82.73596971022869,2.980004000000001,0.0,0.0,-0.7058505604259119,-0.30078939178164876,-0.8869283247960538,0.11075158176644223,-0.10219557019406889,-0.13709981878669186,0.38567255437302606,0.6167009112152668,3,0.05482988242244279,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,56.57,57.34,56.470001,818900,56.580002,-0.013168480584439875,81.17377225760559,-0.75,2.230004000000001,0.0,-0.9847486670935113,-0.9535041638766021,-0.9153859229747674,-0.29227419856572645,0.08614937019211949,-0.13709981878669186,-0.24254685856155356,0.571373261928003,5,-0.013082155482918002,0.041030433892564284,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
17,2018-11-26,57.279999,58.619999,56.849998,2070600,58.529999,0.03388382499627385,51.88157504581391,1.9499969999999962,1.1999969999999962,4.180000999999997,-0.7886484596744249,-0.7174034008921919,-0.8413962815405047,-0.0005403565056341375,-0.000844467941066615,0.2290850972805475,0.20163145146464456,-0.2785490317231818,1,0.03446442083900945,0.020931396444046804,0.07690894487245423,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
18,2018-11-27,58.290001000000004,59.790001000000004,58.040001000000004,2611800,59.400002,0.014754833820758493,51.764606919178384,0.8700030000000041,2.8200000000000003,2.0700000000000003,-0.7930064502662116,-0.6153200479105168,-0.8083853538228039,-0.11723337469115265,0.13598011553970157,0.04424051492595224,0.021051926870016113,-0.2819428986207504,2,0.014864223729100083,0.049840931430154424,0.03610674913285369,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2018-11-28,59.509997999999996,61.580002,59.150002,1822700,61.5,0.03474291477383993,49.630995385844926,2.0999979999999994,2.9700010000000034,4.919998,-0.6448421783590619,-0.7641633107298809,-0.7287041548093338,0.01566720522234441,0.14864911945308884,0.2939118136700914,0.2097413419546123,-0.34385030676292283,3,0.03535350049314812,0.05074322656318521,0.08695648331719748,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,61.380001,61.880001,60.98,1793500,61.52,0.0003251503849164972,49.983404396230874,0.020000000000003126,2.1199980000000025,2.9900010000000066,-0.978211572261513,-0.7696711339136667,-0.727945285524568,-0.2090759363505194,0.07685832250246388,0.12483630640226501,-0.11516567869982557,-0.33362504874472276,4,0.0003252032520325712,0.0356902008185118,0.05108493167751475,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-11-30,61.52,61.869999,61.029999,1765100,61.82,0.004864611506581606,56.984853711206384,0.29999999999999716,0.3200000000000003,2.4199979999999996,-0.9912851082596026,-0.7750280578321433,-0.716562246253083,-0.17882202281771764,-0.07516854202569775,0.07490174879974831,-0.07231272719053095,-0.13047579989728453,5,0.004876462938881618,0.0052032520325203295,0.04074070569896613,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2018-12-03,62.689999,63.09,61.950001,1259500,62.41,0.009498582241981354,61.99012169857044,0.5899999999999963,0.8899999999999935,0.9099999999999966,-0.9259187356009658,-0.870396393507559,-0.694175602352495,-0.1474876123730295,-0.02702664810078728,-0.05738015517388728,-0.02856759579776877,0.01475362135100644,1,0.009543836945972118,0.014466840052015498,0.01479674796747962,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2018-12-04,62.189999,62.48,60.57,1536900,60.98,-0.0231795773858429,60.899535692852716,-1.4299999999999997,-0.8400000000000034,-0.5400000000000063,-0.7581442686410007,-0.8180720732615933,-0.7484347562132423,-0.36574798857396085,-0.17314151913604334,-0.18440599279868652,-0.337052579458226,-0.016890073818107032,2,-0.022912994712385833,-0.013587835651892647,-0.008777633289987097,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
24,2018-12-06,59.790001000000004,60.849998,59.490002000000004,1446600,60.709998999999996,-0.004437528889517182,60.71078423774329,-0.2700010000000006,-1.7000010000000003,-1.110001000000004,-0.8779838895322069,-0.8351048278333695,-0.7586795295010433,-0.24041045484489923,-0.24577674179800346,-0.23434037519315049,-0.16012583113456333,-0.02236675651612008,4,-0.0044276976057723945,-0.02723924050632912,-0.017955370430281527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
25,2018-12-07,60.650002,60.935001,58.25,1296000,58.68,-0.034009459395810564,56.17915512236683,-2.0299989999999966,-2.299999999999997,-3.729999999999997,-0.5892803585052455,-0.8635116145278268,-0.8357047239612974,-0.4305776952374174,-0.296452335154236,-0.4638628355732435,-0.43928771181999277,-0.15385339727131764,5,-0.033437638501690584,-0.037717284355526355,-0.05976606313090846,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
26,2018-12-10,58.59,60.0,58.169998,1128300,59.610001000000004,0.01572440873276295,57.19760404318167,0.9300010000000043,-1.0999979999999923,-1.3699989999999929,-0.7755749236763354,-0.8951438730182681,-0.800417264276228,-0.1107506093192202,-0.19510081060391787,-0.2571172467316133,0.030204807702161024,-0.1243027822564402,1,0.015848687798227748,-0.018118893396786125,-0.022466366021646325,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
27,2018-12-11,60.66,60.77,59.200001,968000,59.529999,-0.0013429916404982902,64.78059396382906,-0.08000200000000746,0.8499989999999968,-1.1799999999999997,-0.8322266224832093,-0.9253803133045996,-0.8034528173022197,-0.21988112156876094,-0.030405111081296413,-0.24047256940549377,-0.13091310056550623,0.09572004974525106,2,-0.0013420902307988126,0.014485327198363955,-0.019436666437764226,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
28,2018-12-12,60.549999,61.369999,60.23,1270100,60.669998,0.018968938621938655,74.12043321737167,1.139999000000003,1.0599969999999956,1.989998,-0.9259187356009658,-0.8683969782422121,-0.7601973060140388,-0.0880603902690009,-0.012668792764729028,0.037232017642049337,0.0608334832838793,0.3667184164197994,3,0.01914999192255997,0.017782200674682013,0.03391271301976823,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
29,2018-12-13,60.77,61.169998,59.709998999999996,1565700,60.619999,-0.0008244538555331368,63.67594552422097,-0.04999899999999968,1.0900000000000034,1.009997999999996,-0.8561943723505423,-0.812639699710462,-0.762094441282489,-0.21663930668402914,-0.010134755495554496,-0.0486199277871255,-0.1260180537836763,0.06366832864418037,4,-0.0008241140868341496,0.01831009605761968,0.016943432025776948,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
30,2018-12-14,60.130001,61.540001000000004,60.040001000000004,2596400,61.490002000000004,0.014249737357540648,69.91897771224347,0.8700030000000041,0.8200040000000044,1.9600030000000075,-0.847478609055605,-0.6182248587677188,-0.7290835135647882,-0.11723337469115265,-0.032938472674765434,0.03460433488373563,0.016283767463938642,0.24481186657059673,5,0.014351748834571972,0.013515807269352545,0.03292462679194749,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
31,2018-12-17,61.330002,61.330002,59.57,1914600,59.900002,-0.026198053980607067,61.52520918782416,-1.5900000000000034,-0.7199969999999993,-0.769995999999999,-0.7908271281373656,-0.7468287576274862,-0.7894136217036616,-0.3830359391641341,-0.16300613019451476,-0.20455456835065366,-0.3655472901035113,0.0012640389675604435,1,-0.025857862226122602,-0.011877218935618909,-0.012691544839015802,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
32,2018-12-18,60.380001,61.349998,60.27,2051700,60.720001,0.013596611046027851,60.68918079873482,0.8199990000000028,-0.7700010000000006,0.10000200000000348,-0.9389922715990568,-0.7209683960351218,-0.7583000189717319,-0.12263629144934655,-0.16722944118367494,-0.12833924098382593,0.010118191989985481,-0.022993587077859035,2,0.013689465319216564,-0.012522377215079625,0.0016496536068897573,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33,2018-12-19,60.939999,61.919998,59.41,2197400,60.07,-0.010762600694342556,51.718657278477934,-0.6500010000000032,0.16999799999999965,-1.4200020000000038,-0.6274115233237256,-0.6934858673406834,-0.7829633086700816,-0.28146933749655995,-0.08783763039854782,-0.26149771084109896,-0.2198351199863568,-0.2832761418641372,3,-0.010704891128048616,0.0028380299553245367,-0.023093217658376457,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
34,2018-12-20,59.98,60.509997999999996,57.73,1802600,58.57,-0.025287928760379108,43.88122499724794,-1.5,-2.150001000000003,-1.3300020000000004,-0.5685815918311817,-0.7679546547707745,-0.8398785050275088,-0.3733114669571615,-0.2837835001597756,-0.25361334850576633,-0.35695562010469245,-0.5106816987991882,4,-0.024970867321458298,-0.03540844803345776,-0.022203705435602496,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
35,2018-12-21,58.919998,59.990002000000004,57.040001000000004,3179400,57.130001,-0.02489322986138147,34.12950991771031,-1.4399990000000003,-2.9399990000000003,-3.5900000000000034,-0.5315398701884885,-0.5082570191736379,-0.8945170555871749,-0.36682837743615554,-0.3505063070315155,-0.45159827194050484,-0.3532296243694732,-0.7936307718068295,5,-0.024585948437766778,-0.048942883302813385,-0.0591238461936126,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
36,2018-12-24,56.84,57.060001,55.914001,779700,56.040001000000004,-0.01926365092710642,29.427211599741383,-1.0899999999999963,-2.5299989999999966,-4.029998999999997,-0.9246111859013857,-0.9608982278767529,-0.9358754316069056,-0.32901109356984326,-0.31587792719078966,-0.49014395575365866,-0.3000858554016392,-0.9300694330292596,1,-0.019079292506926374,-0.043196158442888793,-0.06708838022307302,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
37,2018-12-26,56.360001000000004,58.709998999999996,56.110001000000004,1026500,58.700001,0.046374004556622814,34.4508889110993,2.6599999999999966,1.5700000000000003,0.13000100000000003,-0.6078015461595464,-0.9143458045288642,-0.8349458167330677,0.07617524838733136,0.030405786757001896,-0.12571120780940806,0.31953995308998434,-0.7843058594686549,3,0.04746609479896327,0.027481182785205976,0.00221958340447328,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
38,2018-12-27,57.98,59.450001,57.150002,1095200,59.450001,0.012695896087822879,39.74723889879821,0.75,3.4099999999999966,2.3200000000000003,-0.6731679188181816,-0.9013873301204365,-0.806488218554354,-0.13019966178285627,0.18581119872513552,0.06614152141298654,0.0016153557737132035,-0.6306306026424995,4,0.012776831128163014,0.06084939220468601,0.04060913634501775,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
39,2018-12-28,59.830002,60.845001,59.240002000000004,1097600,60.130001,0.011373261724462175,44.943096157192215,0.6799999999999997,1.4299999999999997,4.089999999999996,-0.824600520252695,-0.9009346323245089,-0.7806866628723199,-0.1377631401660569,0.018581461933339496,0.2212006473411891,-0.010870440385464572,-0.4798711738905761,5,0.011438183154950658,0.024361158017697473,0.0729835818525413,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
40,2018-12-31,60.73,62.080002,60.709998999999996,1547100,62.080002,0.03191500640934677,50.920519888753574,1.9500010000000003,2.630001,3.380001,-0.8758034779601831,-0.816148107628901,-0.7066968696642002,-0.0005399243068689441,0.11993290202419421,0.15900187652203795,0.18304561381234707,-0.3064343486732264,1,0.03242975166423164,0.044238872258387345,0.05758093598669615,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
41,2019-01-02,61.169998,61.91,60.630001,1021000,61.419998,-0.01068842564146501,46.568013064712645,-0.6600040000000007,1.2899969999999996,1.9699969999999993,-0.895414326678907,-0.915383236977865,-0.7317397078353252,-0.282550158557519,0.006756883731288049,0.03547984951906058,-0.21913490032173832,-0.4327236999388302,3,-0.01063150738944887,0.0214534671303265,0.03313703897162255,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
42,2019-01-03,60.68,61.48,58.240002000000004,1216400,58.32,-0.05179039474958994,41.14643855402897,-3.0999979999999994,-3.760002,-1.8100009999999997,-0.46835281965869935,-0.8785260914260924,-0.8493643710870802,-0.5461907567595072,-0.41976332009135553,-0.2956631933568462,-0.6071414592326185,-0.5900323855933887,4,-0.05047212798671858,-0.060567040574515445,-0.030101462995152782,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
43,2019-01-04,59.360001000000004,61.950001,59.02,1737000,61.950001,0.06038253651679857,48.42556121953626,3.630001,0.5300030000000007,-0.13000100000000003,-0.5358976428916407,-0.7803283945261291,-0.7116295579586414,0.1809835568899456,-0.057431801411815094,-0.14848842976397567,0.4517818480454848,-0.37882635734960046,5,0.062242815500685875,0.00862916016376296,-0.0020940882057316947,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
44,2019-01-07,61.990002000000004,64.660004,61.869999,2224800,64.489998,0.040182517792524,47.79613653595051,2.5399969999999996,6.169998,3.0700000000000003,-0.5664011802591595,-0.6883175675038431,-0.6152532726237903,0.06320896129562847,0.41891914775841055,0.13184454087408948,0.2610917199272244,-0.39708931204999165,1,0.0410007580145156,0.10579557613168723,0.04998372028602151,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
45,2019-01-08,65.040001,65.879997,64.129997,1448700,65.650002,0.01782748920366425,55.51168873904138,1.1600040000000007,3.7000010000000003,7.330002,-0.7930064502662116,-0.8347087172619327,-0.571238702333523,-0.0858988561967736,0.21030452746218514,0.505037866621206,0.0500580905091344,-0.17322014382669915,2,0.017987347433318274,0.05972560032727038,0.12568590534979424,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
46,2019-01-09,65.989998,67.279999,65.510002,1029200,67.07,0.021399218898256172,53.58753502754782,1.4199979999999925,2.5800019999999932,5.119998999999993,-0.7886493312289649,-0.9138365195084456,-0.5173590590020871,-0.05780658478589079,0.11571001333234868,0.3114327064637442,0.08377556386211951,-0.22905006754275692,3,0.02162982416969298,0.04000623476527311,0.08264727873047158,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
47,2019-01-10,66.849998,67.290001,66.300003,1136800,67.260002,0.0028288859358327314,62.170113179315166,0.1900020000000069,1.6099999999999994,2.770004,-0.9586022487632376,-0.8935405683243579,-0.5101497249098843,-0.190707272749078,0.03378416527804823,0.1055636835057521,-0.091530173233451,0.01997613064404935,4,0.0028328910093932745,0.024523990113511335,0.042952459077452605,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
48,2019-01-11,66.889999,67.589996,66.620003,1168100,67.239998,-0.000297457251263946,70.05898321984999,-0.020004000000000133,0.16999800000000675,1.5899959999999993,-0.9629611109095644,-0.8876366345691353,-0.5109087459685067,-0.21339835619682773,-0.08783763039854721,0.0021902320547425025,-0.1210431549304779,0.24887417030590098,5,-0.0002974130152419581,0.002534635455494361,0.024219283344423956,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,2019-01-14,67.18,67.709999,66.550003,1421900,67.309998,0.0010405055131396117,84.10416716653249,0.06999999999999318,0.049995999999993046,0.23999799999999993,-0.9215616165637222,-0.8397638426497911,-0.5082527034718272,-0.20367345179109148,-0.0979729348806136,-0.11607502776719084,-0.10841265718470224,0.6563995897343824,1,0.0010410470268008214,0.0007433243906236138,0.0035783211570001483,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,2019-01-15,67.410004,68.519997,67.290001,1193800,68.510002,0.017670964898271597,88.3967970702205,1.200004000000007,1.2700040000000001,1.25,-0.9063094121026904,-0.8827889956710773,-0.46272039461202796,-0.08157686854922971,0.005068285687006083,-0.027594786351520323,0.04858048594567532,0.7809515933672644,2,0.01782802014048503,0.018887626974646847,0.018584596533315595,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
51,2019-01-16,68.510002,69.400002,67.879997,1514100,69.050003,0.007851174094452032,88.82728957358975,0.5400010000000037,1.7400050000000107,1.8100050000000039,-0.8431197469092782,-0.8223727023229055,-0.4422308859798898,-0.1528899888827665,0.04476431776876508,0.021463906199566618,-0.04411928785327769,0.7934424684360677,3,0.007882075379300146,0.02585061731839616,0.026918576053497262,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
52,2019-01-17,69.050003,69.288002,67.82,2160900,69.220001,0.0024589293518118074,78.04400820908404,0.16999799999999254,0.7099989999999963,1.9100030000000032,-0.8544506096033742,-0.7003706463204157,-0.4357805729463098,-0.19286869877161592,-0.04222943590495882,0.03022413358632839,-0.0950225991251343,0.48056217597656636,4,0.00246195499803226,0.01036343569220734,0.028376215372937663,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
53,2019-01-18,69.519997,70.199997,68.870003,2418500,69.58000200000001,0.00518734581379784,79.65586401081757,0.3600010000000111,0.5299990000000037,1.0700000000000074,-0.8845209843642035,-0.6517810828908526,-0.4221208878770626,-0.17233893329671013,-0.05743213924966695,-0.04336351102218437,-0.06926608415364773,0.5273306778454818,5,0.005200823386292802,0.007675582577454828,0.015618157477210516,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54,2019-01-22,69.32,69.389999,67.41999799999999,2487600,67.800003,-0.02591495927355097,69.12440129802806,-1.7799990000000037,-1.4199979999999925,-1.25,-0.745070732642908,-0.6387471588497703,-0.4896602162777457,-0.4035652724402731,-0.22212783877228903,-0.2466048512218634,-0.3628748487214023,0.22175698258329235,2,-0.025582048704166513,-0.020514273035043624,-0.018102823254040987,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
