index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,33.82,34.299999,33.77,1677700,34.220001,0.012941415910385959,84.32891220026487,0.0,0.0,0.0,-0.708334166666672,-0.661499012644051,0.7045969856819898,-0.3219043809523806,-0.3413794280618718,-0.3222077021822848,-0.1646032529778422,0.7960281442537769,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,34.279999,34.41,33.549999,1585200,33.66,-0.01650010892406403,78.36223605055048,-0.5600010000000069,0.0,0.0,-0.433332500000005,-0.6887618261664064,0.6201959306706852,-0.5352380952380974,-0.3413794280618718,-0.3222077021822848,-0.5082180552007016,0.6583303327866201,2,-0.016364727750884836,1.0,1.0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,33.689999,33.849998,32.939999,3942200,33.700001,0.0011876782692462507,65.53486937820193,0.04000100000000373,-0.5200000000000031,0.0,-0.39166750000000305,0.005924135695127841,0.6262247174076867,-0.30666590476190303,-0.5206898347206339,-0.3222077021822848,-0.3017822291908468,0.3623028170727516,3,0.0011883838383839492,-0.015195791490479591,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-07-26,34.990002000000004,36.099998,34.029999,5745800,34.84,0.03326828495239594,70.52706530705349,1.139999000000003,1.1800000000000068,0.619999,0.5749991666666672,0.5375047894131861,0.7980406932931432,0.11238095238095364,0.06551726397147273,-0.16302952503209228,0.07263354521636745,0.477511760305076,4,0.03382786249768963,0.03505644682115291,0.018118029862126534,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
18,2018-07-27,34.950001,35.110001000000004,33.810001,3150800,33.950001,-0.02587726852451648,62.14715542007222,-0.8899990000000031,0.25,0.29000100000000373,-0.06666666666666532,-0.22732765480857098,0.6639036925395629,-0.6609516190476197,-0.2551725017836214,-0.2477530166880605,-0.6176597658335486,0.28412180201405235,5,-0.025545321469575288,0.007418397405982273,0.008615597147950202,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
19,2018-07-30,33.84,33.93,33.41,2372900,33.529999,-0.012448352805687261,54.61123615703374,-0.42000200000000376,-1.3100010000000069,-0.17000200000000376,-0.7166666666666666,-0.45660054820360174,0.600602712886209,-0.4819051428571438,-0.7931040665876117,-0.36585391527599564,-0.4609296289014561,0.1102092979872904,1,-0.012371192566386191,-0.037600487944891126,-0.005044569583247305,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
20,2018-07-31,33.66,33.880001,33.380001,2583000,33.52,-0.00029825504021607844,53.443757680656915,-0.00999899999999343,-0.4300009999999972,-1.3200000000000003,-0.7333333333333358,-0.3946771198679596,0.5990957045968353,-0.32571352380952096,-0.4896556860881668,-0.6611037227214376,-0.31912469644138164,0.08326645290933299,2,-0.0002982105666031613,-0.012665713912644573,-0.037887485648679685,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2018-08-01,33.52,33.630001,33.080002,3296600,33.220001,-0.008990141326385932,46.346553166930825,-0.2999989999999997,-0.3099979999999931,-0.7299999999999969,-0.6916675000000028,-0.1843555660349555,0.553881085154484,-0.43618971428571374,-0.4482753269914898,-0.5096274711168154,-0.4205685178453294,-0.08052147600678383,3,-0.008949850835322185,-0.009245392461836732,-0.021502208497725724,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
22,2018-08-02,33.029999,33.439999,32.700001,3558900,33.220001,0.0,38.27928678106423,0.0,-0.2999989999999997,-0.3099979999999931,-0.5333350000000024,-0.10704706887913007,0.553881085154484,-0.3219043809523806,-0.44482739476806715,-0.401796405648265,-0.3156437338474911,-0.2666963073506241,4,0.0,-0.008949850835322185,-0.009245392461836732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,2018-08-03,33.34,33.73,32.919998,2682300,33.439999,0.0066006240246978005,39.830851183140005,0.2199979999999968,0.2199979999999968,-0.08000100000000288,-0.4749983333333381,-0.3654101211353121,0.5870382818387343,-0.23809561904761997,-0.26551802259242274,-0.3427471116816437,-0.23860723076052864,-0.23088960070937148,5,0.006622456152243848,0.006622456152243848,-0.0023866646778043813,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
24,2018-08-06,33.380001,33.700001,33.07,1645500,33.099998,-0.01021953635213956,35.777814482930026,-0.3400010000000009,-0.12000300000000408,-0.12000300000000408,-0.6249991666666691,-0.6709894190810222,0.5357947249434813,-0.45142857142857135,-0.3827597871585488,-0.3530172015404373,-0.4349169026862463,-0.3244248068126382,1,-0.010167494323190645,-0.0036123719562803163,-0.0036123719562803163,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
25,2018-08-07,33.220001,34.450001,33.139998999999996,2400600,34.369999,0.03765083980654631,37.75628860529462,1.2700010000000006,0.9299999999999997,1.1499979999999965,-0.058331666666665116,-0.44843644080285316,0.7272040693293143,0.16190552380952405,-0.02068966230678021,-0.026957894736842902,0.12378275463766825,-0.27876595926364733,2,0.03836861259024851,0.027811005616357815,0.0346176389338458,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
