Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,102.099998,103.769997,101.440002,102.199997,101.152473,4072900
2019-07-02,102.250000,102.949997,101.820000,102.690002,101.637451,2560200
2019-07-03,103.050003,103.629997,102.639999,103.150002,102.092735,1851200
2019-07-05,102.790001,104.370003,102.720001,104.220001,103.151772,2536400
2019-07-08,104.120003,105.180000,103.790001,104.660004,103.587265,3882900
2019-07-09,103.820000,105.160004,103.820000,104.860001,103.785210,3719600
2019-07-10,104.660004,104.660004,102.120003,103.080002,102.023453,4302200
2019-07-11,104.120003,105.129997,103.599998,104.870003,103.795105,2977700
2019-07-12,105.400002,107.760002,105.360001,107.400002,106.299171,4814200
2019-07-15,107.720001,108.309998,107.239998,107.970001,106.863327,4492200
2019-07-16,107.480003,108.220001,106.440002,106.500000,105.408401,4722400
2019-07-17,106.360001,106.709999,104.879997,104.930000,103.854492,5159100
2019-07-18,104.059998,104.300003,103.339996,103.750000,102.686584,5147100
2019-07-19,104.190002,104.309998,102.470001,102.500000,101.449402,4190700
2019-07-22,102.790001,103.260002,101.959999,102.550003,101.498886,4501200
2019-07-23,102.440002,103.510002,102.279999,102.599998,102.095932,5064200
2019-07-24,102.449997,103.989998,102.220001,102.800003,102.294952,5989100
2019-07-25,102.470001,103.470001,101.769997,102.050003,101.548637,4215100
2019-07-26,102.290001,103.900002,101.589996,103.529999,103.021362,4785700
2019-07-29,103.680000,104.389999,103.639999,103.959999,103.449249,3909600
2019-07-30,103.400002,104.230003,102.970001,103.769997,103.260185,3981400
2019-07-31,103.220001,103.800003,100.839996,101.400002,100.901833,5533400
2019-08-01,101.739998,102.970001,99.209999,99.489998,99.001213,5469600
2019-08-02,99.449997,100.139999,98.849998,99.230003,98.742493,3917900
2019-08-05,97.589996,97.660004,96.110001,97.040001,96.563255,4685100
2019-08-06,97.199997,98.089996,95.900002,97.919998,97.438927,4167800
2019-08-07,97.000000,98.760002,96.010002,98.379997,97.896667,3686700
2019-08-08,99.690002,100.480003,99.160004,100.470001,99.976402,3495800
2019-08-09,100.370003,100.750000,98.180000,98.550003,98.065834,5370900
2019-08-12,97.669998,97.900002,95.949997,96.080002,95.607971,2878800
2019-08-13,95.269997,98.389999,95.150002,96.580002,96.105515,5129600
2019-08-14,94.800003,95.320000,93.540001,93.589996,93.130196,5746100
2019-08-15,94.320000,94.559998,91.820000,93.379997,92.921227,4745100
2019-08-16,94.199997,94.980003,93.379997,93.919998,93.458580,4368300
2019-08-19,95.269997,96.029999,94.650002,95.050003,94.583031,7212000
2019-08-20,95.820000,99.120003,95.379997,97.870003,97.389175,9298100
2019-08-21,110.019997,110.239998,107.110001,108.000000,107.469406,19753500
2019-08-22,108.379997,108.610001,106.930000,108.160004,107.628624,7264400
2019-08-23,107.089996,107.839996,105.760002,106.389999,105.867317,5520700
2019-08-26,107.599998,107.599998,105.550003,106.400002,105.877266,4720200
2019-08-27,107.080002,107.529999,105.980003,106.040001,105.519035,3722600
2019-08-28,105.599998,108.580002,105.320000,108.180000,107.648521,4187800
2019-08-29,109.370003,112.860001,109.059998,112.589996,112.036850,5996600
2019-08-30,113.239998,113.239998,111.839996,112.199997,111.648766,4610100
2019-09-03,111.370003,112.519997,110.650002,111.180000,110.633781,3893500
2019-09-04,111.570000,112.040001,109.500000,111.919998,111.370148,4114000
2019-09-05,113.190002,115.250000,113.019997,114.209999,113.648895,3662500
2019-09-06,114.730003,115.400002,114.089996,114.709999,114.146439,3462600
2019-09-09,114.889999,115.400002,114.040001,114.790001,114.226051,3782200
2019-09-10,114.470001,115.959999,112.949997,115.279999,114.713638,4771600
2019-09-11,115.449997,115.669998,113.150002,113.489998,112.932434,4073700
2019-09-12,114.080002,115.139999,113.860001,113.879997,113.320518,3471400
2019-09-13,114.470001,115.150002,113.150002,113.360001,112.803070,3476500
2019-09-16,112.650002,113.889999,112.139999,112.629997,112.076653,2433400
2019-09-17,111.720001,112.879997,110.879997,112.730003,112.176170,2827300
2019-09-18,112.480003,113.139999,111.559998,112.599998,112.046806,2246400
2019-09-19,112.639999,112.879997,111.680000,111.870003,111.320396,2369100
2019-09-20,112.930000,113.190002,110.949997,110.959999,110.414864,6226500
2019-09-23,110.190002,112.019997,109.589996,110.440002,109.897423,5319700
2019-09-24,111.260002,112.220001,109.750000,110.019997,109.479477,3937700
2019-09-25,110.209999,111.250000,109.959999,110.750000,110.205894,2908900
2019-09-26,111.080002,111.419998,109.389999,110.720001,110.176041,3992600
2019-09-27,111.480003,111.839996,108.809998,109.540001,109.001839,3939600
2019-09-30,109.830002,110.300003,108.959999,109.959999,109.419777,4024400
2019-10-01,110.089996,111.930000,108.849998,109.519997,108.981934,3966100
2019-10-02,109.309998,109.309998,105.919998,106.349998,105.827507,5040700
2019-10-03,106.279999,106.699997,104.589996,106.370003,105.847420,5002800
2019-10-04,106.919998,107.790001,106.290001,107.419998,106.892250,4311800
2019-10-07,107.629997,108.959999,107.199997,108.230003,107.698280,3686800
2019-10-08,106.889999,108.230003,106.480003,106.500000,105.976776,3261700
2019-10-09,107.190002,107.660004,105.639999,106.300003,105.777763,3224000
2019-10-10,106.459999,108.500000,106.449997,108.190002,107.658478,3218500
2019-10-11,109.889999,111.650002,109.400002,110.809998,110.265594,4498500
2019-10-14,110.449997,111.239998,110.260002,110.669998,110.126289,2129900
2019-10-15,111.610001,113.000000,111.199997,112.419998,111.867691,3340700
2019-10-16,112.209999,112.779999,111.720001,112.330002,111.778137,2900400
2019-10-17,112.860001,113.419998,111.959999,112.599998,112.046806,2615600
2019-10-18,112.160004,113.120003,112.050003,112.839996,112.285622,3712300
2019-10-21,113.320000,113.809998,111.400002,111.949997,111.399994,2827300
2019-10-22,111.709999,113.529999,111.610001,112.470001,112.470001,3574700
2019-10-23,111.959999,112.269997,110.760002,111.510002,111.510002,2181200
2019-10-24,111.669998,112.919998,110.459999,110.870003,110.870003,2084800
2019-10-25,110.589996,112.550003,110.349998,111.580002,111.580002,2260000
2019-10-28,111.970001,112.489998,111.029999,111.639999,111.639999,2489300
2019-10-29,111.269997,111.519997,109.209999,109.529999,109.529999,3034800
2019-10-30,109.879997,111.459999,109.190002,111.279999,111.279999,3064900
2019-10-31,112.339996,112.989998,110.800003,111.610001,111.610001,3413100
2019-11-01,111.919998,112.970001,110.150002,112.949997,112.949997,2801800
2019-11-04,113.059998,113.639999,111.709999,112.620003,112.620003,2518000
2019-11-05,112.660004,112.750000,111.029999,112.199997,112.199997,2360400
2019-11-06,113.000000,113.809998,111.419998,112.669998,112.669998,3229200
2019-11-07,113.449997,114.160004,112.120003,112.599998,112.599998,2656300
2019-11-08,112.739998,114.070000,112.260002,114.000000,114.000000,2792400
2019-11-11,113.220001,114.489998,112.720001,114.449997,114.449997,2936700
2019-11-12,114.379997,115.540001,114.190002,114.320000,114.320000,4174600
2019-11-13,112.970001,114.410004,111.940002,112.849998,112.849998,4252300
2019-11-14,113.519997,114.839996,112.699997,114.540001,114.540001,2852400
2019-11-15,115.120003,115.699997,113.500000,115.519997,115.519997,3623200
