index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,157.800003,158.830002,157.03999299999998,2754300,154.08432,0.004925321963049802,52.181401955409235,0.0,0.0,0.0,-0.7856258307713093,-0.8515671090300505,-0.9062884105607791,0.014647459464218082,0.008058786507434856,0.1559315011640594,0.0032053138474129744,0.1610020243538508,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,159.240005,159.580002,157.520004,3388400,153.298157,-0.0051152214131858775,54.35429920686537,-0.7861629999999877,0.0,0.0,-0.7198549913148514,-0.772811108558086,-0.9290139846762813,-0.06074744978766629,0.008058786507434856,0.1559315011640594,-0.1745770299011709,0.22049080016364453,2,-0.005102160946681582,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,157.690002,158.990005,157.41000400000001,4193400,154.220215,0.005996784889382859,56.33816155607385,0.9220579999999927,0.13589500000000498,0.0,-0.8367849611528275,-0.6728291177365568,-0.9023601006626709,0.10307502376700839,0.0209338017017439,0.1559315011640594,0.022177114789387803,0.274804248464279,3,0.006014801599995704,0.0008819521674885867,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,158.229996,158.889999,154.71000700000002,7409800,151.551025,-0.017459181590801866,45.00572878845478,-2.669189999999986,-1.7471319999999935,-2.533294999999981,-0.20341252505636964,-0.27334827888144386,-0.9795182411161898,-0.2413342362223499,-0.15746865045833017,-0.05580494632462371,-0.3931446999248739,-0.03545089675286217,4,-0.017307653215241504,-0.011396953715497007,-0.01644096557002024,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
18,2018-07-27,156.580002,158.009995,156.399994,4234100,152.85163899999998,0.008545404284983108,46.84476043574581,1.3006139999999675,-1.3685760000000187,-0.44651800000002595,-0.8294767923618922,-0.667774127641605,-0.9419214579393413,0.13937944825245846,-0.12160335554758031,0.1186108831311189,0.06730410767159814,0.014897430255926603,5,0.00858202047792133,-0.00887416737163814,-0.0029127421277479935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,2018-07-30,157.389999,160.020004,157.08999599999999,3274800,153.977585,0.007339268661533235,47.93358671684461,1.1259460000000274,2.426559999999995,-0.24262999999999124,-0.5079156603216725,-0.7869203683808508,-0.9093737938123665,0.12262836990203516,0.2379568465530682,0.1356521360470171,0.04594773182812559,0.044706912728551984,1,0.007366267102965298,0.016011505036010114,-0.0015732697558487468,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
20,2018-07-31,158.699997,159.0,157.229996,3530000,152.909882,-0.006958298547870927,47.64920134208092,-1.0677029999999945,0.05824300000003291,1.3588570000000004,-0.7904991613267329,-0.7552242142719635,-0.9402378304814096,-0.08774780817489179,0.013576866716144064,0.2695067278254359,-0.20721137651325425,0.0369211153138036,2,-0.006934145642042603,0.00038104269199254655,0.008966333286099519,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2018-08-01,156.570007,157.220001,155.66000400000001,4252800,152.308105,-0.003943265504660732,41.648559143249926,-0.6017769999999985,-1.669479999999993,-0.5435339999999655,-0.8416580481026184,-0.6654515646250055,-0.9576333678120976,-0.04306439202824825,-0.15011171547272764,0.11050214601619568,-0.1538258553501263,-0.12736224334101798,3,-0.003935501042372123,-0.010842357347012508,-0.003555957944291102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22,2018-08-02,156.649994,156.929993,153.130005,6245900,150.842484,-0.009669335784339319,40.92178955832748,-1.4656209999999987,-2.067397999999997,-3.1351009999999917,-0.2959836374972935,-0.4179060914493664,-1.0,-0.12590909470159442,-0.187811412268702,-0.10610475922338902,-0.25521421219939744,-0.14725947174141973,4,-0.009622738067681944,-0.013520368814358232,-0.020360762249907943,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
23,2018-08-03,155.699997,156.970001,154.28999299999998,3673100,151.619003,0.005134674921894119,41.75780169448552,0.7765189999999791,-0.6891020000000196,-1.290879000000018,-0.5688170669127395,-0.7374510181395899,-0.9775532045051776,0.08911748608384192,-0.05722837431841361,0.04803797372341406,0.006912210805015431,-0.12437144125178468,5,0.005147879956683682,-0.004524394811425299,-0.008442090093300955,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
