index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,93.889999,94.599998,92.739998,1109500,91.79818,-0.0018030280824496007,66.62675447555277,0.0,0.0,0.0,-0.6373827359593911,-0.9807929727190289,0.6050042653832044,0.2704645446988363,0.23856640983247224,0.26607557002598314,0.22193584495258475,0.4095958463628533,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,94.870003,95.620003,93.0,1449900,90.882141,-0.010028958487776189,72.16404032024988,-0.9160389999999978,0.0,0.0,-0.3532694118260602,-0.9436025740475695,0.5587672691740222,0.158539110256338,0.23856640983247224,0.26607557002598314,0.1332749235574293,0.5267460090602254,2,-0.009978836181719483,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,92.93,93.779999,90.839996,2818800,90.560547,-0.0035448586030984337,61.00236566974054,-0.3215940000000046,-1.2376330000000024,0.0,-0.23364322124172276,-0.794043417933114,0.5425348374119512,0.23117085942550034,0.09621370417662736,0.26607557002598314,0.20316200524505107,0.29060288082808916,3,-0.0035385830093946024,-0.01348210825094792,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-07-26,93.620003,94.730003,92.949997,2168900,92.25619499999999,0.018550780506443362,61.89668062952167,1.6956479999999914,1.3740539999999868,0.45801499999998896,-0.667287040614401,-0.8650482360781828,0.6281225363506495,0.47764583180730313,0.3966102763237778,0.3085794234355495,0.44131375534960726,0.30952354809712435,4,0.018723915172464578,0.015119076034971346,0.004989369070279922,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
18,2018-07-27,95.589996,96.910004,94.870003,2362000,92.879868,0.0067374810625750094,63.43580312389541,0.6236730000000108,2.319321000000002,1.9977269999999976,-0.5700926299238556,-0.8439510974663766,0.6596023817903847,0.34666749181687123,0.5053350073362715,0.4514649034764919,0.3139873665034251,0.3420861528974066,5,0.006760228947226914,0.025610722073045808,0.021981513397665197,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
19,2018-07-30,95.360001,95.599998,92.809998,2006400,90.833427,-0.022279559572677802,55.77471588525527,-2.0464410000000015,-1.4227679999999907,0.2728800000000007,-0.2897191195736657,-0.8828021719892055,0.5563084338697015,0.020421917708128068,0.07491945284235207,0.2913988706130879,0.001235199621940214,0.18000356557622643,1,-0.022033203147963146,-0.015421923698457223,0.0030132326828812184,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
20,2018-07-31,93.889999,94.980003,93.309998,1759400,91.047813,0.0023574294884623707,64.30147670568144,0.21438600000000463,-1.8320549999999969,-1.208381999999986,-0.7084089174596105,-0.9097881545739601,0.5671295502952054,0.296659113039693,0.02784320985290001,0.15393755840898526,0.26677818903850714,0.3604008658801525,2,0.0023602104102050958,-0.019724995733198036,-0.013098112273110616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
21,2018-08-01,93.400002,94.389999,93.08000200000001,1361900,91.203728,0.001710987322038174,57.034843333179744,0.15591499999999314,0.37030099999999777,-1.6761400000000037,-0.8429913725217546,-0.9532170131870772,0.5749993476116453,0.2895148843798994,0.2811584781249827,0.11052955329309783,0.25981069049673283,0.20666358271894847,3,0.0017124518960163616,0.004076704053013411,-0.018046321943523905,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2018-08-02,92.699997,94.949997,92.58000200000001,1238400,92.197716,0.010839584583619449,56.56511134826798,0.9939880000000016,1.1499029999999948,1.3642889999999994,-0.44673036387483944,-0.9667100044794545,0.6251708134422183,0.39191411041670465,0.37082839968873166,0.3926817721466239,0.35820075756233866,0.19672564922590463,4,0.01089854572611332,0.012629660857422184,0.015019679924660329,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,2018-08-03,94.58000200000001,95.160004,94.0,1691200,92.66548900000001,0.005060758287240564,57.73135786570846,0.4677730000000082,1.4617610000000099,1.617676000000003,-0.8990635325352405,-0.9172393449070786,0.6487816186893296,0.3276189848978582,0.40669834666042887,0.4161961197201536,0.2959152726659752,0.22139946471878513,5,0.005073585553898192,0.016027425984166017,0.017767324076197227,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
