index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-11-20,125.730003,126.379997,122.32,1385000,121.055374,-0.029269578630706315,46.74810920263707,0.0,0.0,0.0,-0.5834695907948745,-0.6401530454621069,-0.3862348692880815,0.15252602197449328,0.14126646734162107,-0.09564766858405116,-0.2297546220826847,-0.12905145888909964,2,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-11-21,122.440002,123.150002,121.470001,1258700,120.324394,-0.006056698460161706,40.261857332047775,-0.7309800000000024,0.0,0.0,-0.9692064754959004,-0.7001829891394757,-0.41870794322005533,0.08571607711065725,0.14126646734162107,-0.09564766858405116,0.07374852265091984,-0.2848805895877259,3,-0.006038393636287493,1.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-11-23,121.089996,121.489998,119.0,631000,119.68231999999999,-0.005350479751614047,42.336490265402205,-0.642074000000008,-1.3730540000000104,0.0,-0.8379265408249286,-0.9985265809548706,-0.4472314547686578,0.0938418876089798,0.04571640262517698,-0.09564766858405116,0.08298217213082798,-0.23503851546333787,5,-0.005336191429312397,-0.011342363041231119,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
17,2018-11-26,122.290001,122.349998,119.690002,1392400,119.168671,-0.004301006160093114,42.49067642812133,-0.5136489999999867,-1.1557229999999947,-1.8867029999999971,-0.8103741840455885,-0.6366358516124432,-0.4700498108824833,0.10557964673937945,0.06084034612258557,-0.22161739002996636,0.0967038013729265,-0.23133426589337858,1,-0.004291770079323218,-0.00960505980192175,-0.015585454306225158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,2018-11-27,120.43,125.790001,120.32,1994500,124.157082,0.041007661320819566,44.83100634135382,4.988410999999999,4.474762000000013,3.8326880000000045,-0.35494376538340966,-0.35045984933102015,-0.24844451497005338,0.6084556833443693,0.4526626678484349,0.16024986258492624,0.6891043549929634,-0.17510894760430062,2,0.041860087539282866,0.0373886635887407,0.03185295909323262,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
19,2018-11-28,125.720001,127.160004,124.470001,2941100,125.609154,0.01162757931818318,47.69929951142211,1.4520720000000011,6.440483,5.926834000000014,-0.8055108117125139,0.09945578554623458,-0.18393763186716594,0.28524217051251055,0.589456099690497,0.30006995524767127,0.30496644471131495,-0.10619956199946134,3,0.011695442391276569,0.05404510217286891,0.04952138294110621,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-11-29,126.989998,127.980003,125.459999,1331600,125.460976,-0.0011803715336780132,47.27827597544855,-0.14817800000000148,1.3038939999999997,6.292304999999999,-0.8330633305664494,-0.6655338767556263,-0.19052029507148394,0.13898288261358935,0.23200372609719963,0.32447140055546925,0.13750539151267085,-0.11631445314513322,4,-0.001179675169215784,0.010501970399078802,0.052801671338602064,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
21,2018-11-30,126.940002,126.959999,123.16999799999999,2585900,123.360382,-0.016884755572268446,43.8887394306294,-2.100594000000001,-2.2487720000000024,-0.7967000000000013,-0.6272290827947519,-0.06936951923762447,-0.2838371358373859,-0.039463593776012024,-0.015224326270666583,-0.14884103133163834,-0.06782586883926661,-0.19774646407973262,5,-0.016743007004823562,-0.01790293086441775,-0.006416871169700986,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
22,2018-12-03,123.029999,127.190002,123.029999,1785600,125.99604,0.021140471448180414,49.68448917982959,2.6356579999999923,0.5350639999999913,0.38688599999998985,-0.5672611589775907,-0.44974928111409485,-0.16675059845825668,0.3934192962910645,0.17850127371299337,-0.06981640544866465,0.4293453522727018,-0.058506319974352294,1,0.021365514254000868,0.004264784294360912,0.003080078065011009,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,2018-12-04,126.5,127.82,124.559998,2472800,123.90535,-0.016732510199435464,57.09087969821419,-2.090689999999995,0.5449679999999972,-1.5556260000000037,-0.713128455379689,-0.12312554956153887,-0.2596274636786955,-0.038558390221972494,0.17919048756834954,-0.19951233297162252,-0.0658352951109542,0.1194287061580146,2,-0.016593299281469444,0.004417690600212289,-0.012399281829275771,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
