index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,200.990005,203.070007,200.46000700000002,401900,201.79805,0.0068459684845168884,46.91557392504604,0.0,0.0,0.0,-0.8052788037113698,-0.9413324494530992,-0.5822402709815293,-0.02066531237414093,-0.01656220439622169,-0.10885822514411159,0.09913942959999378,-0.0758165277049061,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,203.270004,203.270004,201.149994,367500,202.177155,0.0018768731674407093,44.79979748466092,0.3791050000000098,0.0,0.0,-0.8944490395350562,-0.9793392995249144,-0.5504894387789854,0.01138798722264553,-0.01656220439622169,-0.10885822514411159,0.011814892629327091,-0.1682129392834537,2,0.001878635596330142,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,201.78999299999998,203.16000400000001,199.809998,530100,202.556274,0.00187342622931019,39.43402480905758,0.37911900000000287,0.7582240000000127,0.0,-0.6706097093809797,-0.7996906419180202,-0.5187374340473276,0.011389170921605268,0.039381667864838064,-0.10885822514411159,0.011754317764687293,-0.40253738448888754,3,0.0018751821886107897,0.0037573405689500603,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2019-07-25,202.520004,202.820007,200.429993,517400,200.39134199999998,-0.010745579552273359,39.909522622279944,-2.1649320000000216,-1.7858130000000187,-1.406708000000009,-0.8453126890925171,-0.8137222406363939,-0.7000549916155805,-0.20371015220128383,-0.14832444662825245,-0.21609325941651478,-0.2100061369241427,-0.3817722928579421,4,-0.010688052052142417,-0.008832911908370749,-0.006970870134770921,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
18,2019-07-26,201.009995,204.16000400000001,201.009995,656900,202.9254,0.012566259132318642,47.82955542595702,2.534058000000016,0.3691259999999943,0.7482449999999972,-0.7070059208425,-0.6595956247928406,-0.48782236384884925,0.19358910334085075,0.010672936923804159,-0.051818613356055,0.19966511894234318,-0.03590275925497588,5,0.012645546333034769,0.0018223380234570975,0.0037009374278711023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2019-07-29,203.5,203.71000700000002,201.41000400000001,731000,200.999908,-0.0095339734693835,46.42716596570673,-1.9254919999999913,0.6085660000000246,-1.556365999999997,-0.8616932317499726,-0.5777262180974478,-0.6490863234361264,-0.18346551798264962,0.02833948503384765,-0.22750186785489568,-0.18871394318907572,-0.0971454081896228,1,-0.009488669235098175,0.003036887691485317,-0.007683622774380205,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2019-07-30,201.110001,202.320007,199.96000700000002,621500,201.768127,0.0038147015891667004,38.420352899729416,0.7682189999999878,-1.1572730000000035,1.3767850000000124,-0.8507747504774725,-0.6987073251574413,-0.5847463844645908,0.04428754702613781,-0.10194902001162363,-0.003904256971092729,0.045869375157424216,-0.4468046544859243,2,0.003821986823993908,-0.005702947979898049,0.006870481460222032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,2019-07-31,208.649994,216.74000499999997,207.0,2159000,213.839874,0.05810833066820579,49.62778076874267,12.071747000000016,12.839966000000004,10.914474000000013,0.49226650797680804,0.9999999999999998,0.42628753328517277,1.0,0.9308061428736335,0.7231651894204231,1.0,0.04262612768770824,3,0.05982980156226566,0.06388045709951272,0.05378564733641039,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
22,2019-08-01,212.88999900000002,220.67999300000002,212.13000499999998,1582900,215.545898,0.00794638801978158,55.053981415595715,1.706023999999985,13.777771000000001,14.545989999999989,0.27570270764579297,0.3634957463263726,0.569170591428712,0.12357889013256865,1.0,1.0,0.11847768339847534,0.2795894753763495,4,0.007978044356685251,0.06828517072966635,0.0723681425764632,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
23,2019-08-02,215.88999900000002,216.58999599999999,211.899994,866500,213.79998799999998,-0.00813292816096087,48.77509035793065,-1.7459100000000092,-0.03988600000002407,12.031860999999992,-0.42675216264982085,-0.42801900342503596,0.4229469978313247,-0.1682818732188259,-0.019505104237173623,0.808344937627254,-0.16409263387096037,0.005388954306513316,5,-0.008099945376831107,-0.00018652274364894204,0.059632119199877355,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,2019-08-05,212.22000099999997,212.22000099999997,200.649994,1222100,202.217072,-0.05569920818528634,46.295224365639754,-11.582915999999983,-13.328825999999992,-11.622802000000007,0.8252972022722544,-0.03513423931057358,-0.5471463070106672,-1.0,-1.0,-0.994878330817321,-1.0,-0.10290732620299359,1,-0.05417641089858239,-0.06183753030642222,-0.05435282850942948,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,204.020004,206.559998,203.020004,856900,205.818649,0.017653702120016646,53.12135564522099,3.601576999999992,-7.981338999999991,-9.727249,-0.6360349736441867,-0.4386255662357751,-0.2455067427961879,0.28384775551441804,-0.6054475594999991,-0.85037805718544,0.2890694420469351,0.19519129289429715,2,0.017810449752729045,-0.037330867389945746,-0.04512843478004857,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,2019-08-07,201.83999599999999,208.720001,201.08999599999999,599600,207.764099,0.009407860256989024,54.16104050165077,1.945449999999994,5.547026999999986,-6.035888999999997,0.10828071727091015,-0.7229035465694399,-0.08257125920079389,0.14382234065224073,0.3927128514139921,-0.5689812668694854,0.14416090705712667,0.24059455387832784,3,0.009452253279536365,0.027431051914350663,-0.028231474924123933,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
27,2019-08-08,210.460007,215.11999500000002,210.0,546000,214.14915499999998,0.030269461565793764,58.71829451812156,6.385055999999992,8.330505999999986,11.932082999999977,-0.3485004080986295,-0.7821235222627334,0.4521904602696054,0.5191906982568278,0.5980856615826754,0.8007387412811514,0.5107728471617362,0.439610815585628,4,0.030732239259488196,0.04047498144835256,0.059006308824410124,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
28,2019-08-09,213.86999500000002,215.41000400000001,211.789993,524700,213.630386,-0.0024254046983918994,62.54092736620622,-0.5187689999999918,5.866287,7.811736999999994,-0.6214731769546541,-0.8056568334990609,0.40874247759757765,-0.06452719279915411,0.41626874077922776,0.4866398348100467,-0.06379130901907268,0.6065460130874092,5,-0.0024224657809179396,0.028235325680593164,0.03795446640989269,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
29,2019-08-12,212.710007,213.559998,210.36999500000002,494500,212.433167,-0.005619922861752697,58.78337722814413,-1.1972189999999898,-1.7159879999999816,4.66906800000001,-0.6997276612626498,-0.8390233123411778,0.3084728964032024,-0.12189008991588735,-0.14317256422855196,0.2470704160523406,-0.11993026423315913,0.4424529915107924,1,-0.005604160636586548,-0.008013050530131589,0.022472929743266232,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
30,2019-08-13,212.399994,215.17999300000002,211.559998,638800,213.001846,0.0026734016774464385,63.515045133983755,0.568679000000003,-0.6285399999999868,-1.1473089999999786,-0.621476088695245,-0.679593415092255,0.35610094537672765,0.027416454844441135,-0.06293763101284841,-0.1963189632191304,0.025812708908108488,0.6490859452274824,2,0.0026769784023414904,-0.0029421844512324516,-0.005357522890996132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,2019-08-14,210.169998,211.24000499999997,205.020004,843700,206.028152,-0.03328801269193425,61.774173576942026,-6.973693999999995,-6.405014999999992,-7.6022339999999815,-0.14831715042506466,-0.4532095901005414,-0.22796043082739814,-0.6102906221914902,-0.4891419974259401,-0.6883856206923146,-0.6061562227050231,0.5730617104266944,3,-0.03274006367062187,-0.030150729711617922,-0.03558592081559026,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
32,2019-08-15,207.33999599999999,210.75999500000003,206.229996,454000,209.460129,0.01652058656758627,61.198932228171635,3.431976999999989,-3.5417170000000056,-2.9730380000000025,-0.4558701145314805,-0.8837697491989835,0.05947478065749223,0.2695080881093062,-0.2778799197848414,-0.335496469771394,0.2691566038668727,0.547940797175428,4,0.016657806065260388,-0.016627635236550982,-0.01399516865461975,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33,2019-08-16,212.50999500000003,214.86000099999998,210.88999900000002,594400,213.789993,0.02046078585571687,66.72040715346114,4.329864000000015,7.761841000000004,0.7881470000000093,-0.5577804893362013,-0.7286487680919236,0.42210989579399083,0.3454243672801425,0.5561279787352135,-0.04877683614462327,0.3383998073984584,0.7890647930664199,5,0.020671542697273976,0.0376736913118553,0.003700188588975934,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
34,2019-08-19,215.940002,218.309998,215.940002,526500,217.52999900000003,0.017342575384638705,71.55059193718978,3.7400060000000224,8.069870000000037,11.501847000000026,-0.8489556405419714,-0.8036681029720474,0.7353431766594376,0.2955519171843628,0.5788552137326596,0.7679413361301065,0.2836018475709933,1.0000000000000004,1,0.01749383096710248,0.03852699813815181,0.05582657946667417,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
