Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,50.040001,50.590000,49.970001,50.490002,49.554531,5062900
2019-07-02,50.400002,50.490002,49.660000,50.000000,49.073608,4091600
2019-07-03,50.119999,50.750000,50.020000,50.470001,49.534904,2237100
2019-07-05,50.660000,50.939999,50.389999,50.700001,49.760639,2282200
2019-07-08,50.419998,50.709999,50.240002,50.540001,49.603603,2423500
2019-07-09,50.180000,50.549999,50.070000,50.380001,49.446568,3395400
2019-07-10,50.549999,50.779999,50.160000,50.320000,49.387676,3472800
2019-07-11,50.470001,50.509998,49.900002,50.419998,49.485821,4058600
2019-07-12,50.520000,50.930000,50.419998,50.919998,49.976559,3760000
2019-07-15,50.900002,50.939999,50.400002,50.779999,49.839153,3285100
2019-07-16,50.450001,50.669998,50.070000,50.500000,49.564342,3886100
2019-07-17,50.419998,50.500000,49.759998,49.959999,49.034348,3922500
2019-07-18,50.040001,50.220001,49.849998,50.000000,49.073608,4233100
2019-07-19,50.200001,50.430000,49.709999,49.720001,48.798798,4382100
2019-07-22,49.660000,49.849998,49.279999,49.759998,48.838051,3917400
2019-07-23,49.900002,50.320000,49.849998,50.139999,49.211010,3336100
2019-07-24,49.959999,50.439999,49.860001,50.369999,49.436749,2916800
2019-07-25,50.369999,50.400002,49.959999,50.139999,49.211010,3578800
2019-07-26,50.160000,50.779999,49.779999,50.689999,49.750824,3899800
2019-07-29,50.299999,50.580002,49.900002,50.000000,49.073608,3815300
2019-07-30,49.830002,50.009998,49.430000,50.009998,49.083420,2920500
2019-07-31,49.900002,50.110001,49.080002,49.419998,48.504353,6597200
2019-08-01,49.849998,51.160000,47.910000,48.330002,47.434551,10900200
2019-08-02,48.279999,48.299999,47.029999,47.290001,46.413818,9084500
2019-08-05,46.049999,46.419998,45.070000,45.570000,45.145733,8857500
2019-08-06,45.799999,46.990002,45.730000,46.849998,46.413815,7893300
2019-08-07,45.860001,46.540001,45.130001,46.330002,45.898663,6165200
2019-08-08,46.950001,47.529999,46.740002,47.169998,46.730835,6431200
2019-08-09,47.020000,47.250000,46.560001,46.910000,46.473259,5330600
2019-08-12,46.290001,46.910000,45.759998,45.889999,45.462753,9874900
2019-08-13,45.980000,47.240002,45.529999,46.930000,46.493073,6273100
2019-08-14,45.650002,45.980000,44.830002,44.869999,44.452251,9638300
2019-08-15,45.000000,45.290001,44.490002,44.730000,44.313557,7453700
