Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,168.009995,168.800003,164.460007,166.889999,166.314545,959300
2019-07-02,166.889999,168.960007,166.139999,168.309998,167.729660,1227100
2019-07-03,168.169998,170.630005,168.169998,170.369995,169.782547,425800
2019-07-05,170.179993,170.679993,168.250000,170.649994,170.061584,599700
2019-07-08,169.600006,169.800003,168.309998,169.059998,168.477066,580500
2019-07-09,168.929993,170.509995,167.679993,170.350006,169.762634,926200
2019-07-10,171.000000,172.320007,170.270004,170.729996,170.141312,885700
2019-07-11,170.990005,171.080002,168.750000,171.070007,170.480148,765600
2019-07-12,171.360001,172.350006,170.800003,172.279999,171.685959,510000
2019-07-15,172.279999,173.190002,171.539993,172.800003,172.204178,655100
2019-07-16,173.130005,173.440002,171.020004,171.529999,170.938553,624900
2019-07-17,170.000000,171.089996,169.149994,170.160004,169.573273,519400
2019-07-18,170.389999,171.580002,169.500000,171.520004,170.928589,541900
2019-07-19,172.649994,172.649994,168.809998,168.910004,168.327591,733700
2019-07-22,169.520004,171.070007,169.110001,169.979996,169.393890,452900
2019-07-23,170.699997,170.839996,168.500000,170.800003,170.211075,485100
2019-07-24,170.570007,170.570007,167.429993,167.589996,167.012131,1000300
2019-07-25,167.649994,169.330002,166.850006,168.929993,168.347504,642000
2019-07-26,169.600006,170.339996,168.789993,170.100006,169.513489,542700
2019-07-29,170.800003,170.800003,168.279999,168.770004,168.188080,790900
2019-07-30,168.169998,169.360001,165.970001,166.000000,165.427628,1011600
2019-07-31,166.300003,167.800003,165.080002,165.960007,165.387772,1036200
2019-08-01,165.990005,167.919998,164.380005,164.759995,164.191895,1506600
2019-08-02,163.470001,172.289993,160.809998,170.080002,169.493561,1732400
2019-08-05,167.509995,169.050003,166.119995,168.729996,168.148209,1459100
2019-08-06,169.270004,172.179993,169.270004,171.580002,170.988388,900100
2019-08-07,170.789993,174.369995,169.470001,174.000000,173.400040,1186300
2019-08-08,175.289993,179.139999,175.000000,179.059998,178.442581,950900
2019-08-09,178.669998,178.729996,175.779999,176.300003,175.692108,703500
2019-08-12,175.470001,176.809998,174.149994,175.539993,174.934723,975500
2019-08-13,175.300003,177.270004,175.210007,176.050003,175.442978,818700
2019-08-14,173.770004,174.910004,170.940002,171.029999,170.440277,1140800
2019-08-15,171.259995,173.229996,170.169998,172.059998,171.466721,672800
2019-08-16,173.000000,174.740005,172.330002,173.320007,172.722382,937300
2019-08-19,175.309998,177.500000,174.190002,176.869995,176.260132,640600
2019-08-20,176.529999,177.210007,175.020004,175.389999,174.785248,440300
2019-08-21,177.250000,179.240005,176.600006,179.199997,178.582108,769300
2019-08-22,179.199997,179.539993,177.929993,178.729996,178.113724,856300
2019-08-23,178.000000,178.970001,174.759995,175.270004,174.665665,875500
2019-08-26,176.380005,178.399994,176.380005,178.350006,177.735046,723500
2019-08-27,178.589996,179.699997,177.199997,178.509995,177.894485,1096100
2019-08-28,177.750000,178.309998,176.279999,178.240005,177.625427,554300
2019-08-29,179.789993,181.830002,179.520004,181.160004,180.535355,560200
2019-08-30,182.229996,182.279999,180.029999,180.910004,180.286209,690300
2019-09-03,180.009995,180.660004,178.149994,178.600006,177.984177,841200
2019-09-04,179.729996,180.059998,178.089996,178.919998,178.303070,721900
2019-09-05,176.490005,176.729996,172.149994,173.570007,172.971527,3141500
2019-09-06,174.279999,175.729996,173.479996,174.800003,174.197281,2589900
2019-09-09,175.149994,175.309998,171.320007,171.669998,171.078064,1080100
2019-09-10,170.619995,170.619995,163.100006,164.429993,163.863022,2085700
2019-09-11,164.419998,166.320007,164.259995,165.309998,164.739990,1486400
2019-09-12,165.960007,167.289993,164.470001,166.139999,166.139999,1950200
2019-09-13,165.940002,168.350006,165.550003,167.039993,167.039993,1092900
