index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2018-07-23,29.860001,29.969998999999998,29.469998999999998,5458100,27.345339000000003,-0.01246431693595748,28.325097996850644,0.0,0.0,0.0,-0.734439834024896,-0.7475993193953623,0.9833202788710773,0.47576644300085813,0.2891984189833263,0.27744170733358353,0.3754722307670653,-0.5037395057068882,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2018-07-24,29.65,29.790001,29.33,3002400,27.354607,0.0003388668825627322,22.982464182673368,0.009267999999998722,0.0,0.0,-0.7676340248962636,-0.8787893357694063,0.9857027289438642,0.47774433976971337,0.2891984189833263,0.27744170733358353,0.4387585315709002,-0.6395979308551443,2,0.00033892430443077415,1.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2018-07-25,29.58,29.889999,29.26,2882700,27.410225,0.002031158211951808,24.802764610769813,0.05561799999999906,0.06488599999999778,0.0,-0.6265568464730304,-0.8851840276943048,1.0,0.4876359577278978,0.3013933082974052,0.27744170733358353,0.44712354918195074,-0.5933093102872078,3,0.002033222411128007,0.0023728358240502254,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2018-07-26,22.57,23.120001000000002,20.530001000000002,38170800,20.4951,-0.29073028578072957,12.481776239781382,-6.915125,-6.859507000000001,-6.850239000000002,1.0000000000000002,1.0000000000000002,-0.7776154574430088,-1.0,-1.0,-1.0,-1.0,-0.9066210839503321,4,-0.25228267918267727,-0.25076240356880286,-0.25050846873757904,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
18,2018-07-27,22.08,22.6,21.26,13037900,20.726843,0.011243790301773249,20.96761789737208,0.23174299999999803,-6.683382000000002,-6.627764000000003,-0.03734439834024883,-0.34266627133901206,-0.7180431519598525,0.5252230389120448,-0.9668984853367104,-0.9585125652055295,0.4926617070257931,-0.6908336795060183,5,0.011307239291342712,-0.24382806051391412,-0.24229059477988488,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
19,2018-07-30,22.540001,23.040001,22.190001000000002,7847000,21.347901999999998,0.029523844382185336,27.846434943652312,0.6210589999999989,0.852801999999997,-6.062323000000003,-0.4439834024896281,-0.619977936443066,-0.5583925197031547,0.6083075078874174,0.4494768457136751,-0.8530683731946511,0.5830202473421375,-0.5159114813365141,1,0.029963994034209598,0.041610043376221484,-0.22117012903031633,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
20,2018-07-31,23.209999,23.58,22.940001000000002,8504800,21.839191,0.022752640198890797,34.79915889319595,0.49128900000000186,1.1123480000000008,1.3440909999999988,-0.6182580912863102,-0.5848365133169324,-0.4321008155804211,0.5806131117184086,0.4982567788566038,0.5280895901084329,0.549550098758604,-0.3391098963637621,2,0.023013455842171373,0.05366702492994234,0.06558109011422236,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,2018-08-01,23.35,24.040001,23.23,10457200,21.737227999999998,-0.004679741402442218,42.074135622254836,-0.10196300000000136,0.3893260000000005,1.0103849999999994,-0.47717759336099586,-0.48053411971482973,-0.45831162231019995,0.454006377372587,0.36236963430085617,0.46585965004539864,0.4139514868511322,-0.15411370988034467,3,-0.00466880847372054,0.018237201950805308,0.04874765539546951,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
22,2018-08-02,23.219998999999998,23.309998999999998,22.299999,6145700,20.921501,-0.038248980518806715,40.7564588374758,-0.815726999999999,-0.9176900000000003,-0.4264009999999985,-0.31120331950207614,-0.7108659011200059,-0.6680039885730817,0.30168100951270577,0.11672472705228681,0.19792588001007771,0.24801831002670935,-0.1876210583269955,4,-0.037526726038849066,-0.04202032941604844,-0.019973906569366793,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
23,2018-08-03,22.719998999999998,22.809998999999998,21.92,6791000,20.383863,-0.026033827735283406,39.55666628642987,-0.5376379999999976,-1.3533649999999966,-1.455327999999998,-0.4107892116182603,-0.6763922611940497,-0.8062102566172236,0.36102836973651486,0.03484252747284827,0.006050200402166084,0.3083979659295335,-0.21813071557828678,5,-0.02569786938327215,-0.06226023851799303,-0.0666383658625449,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
