index,date,open,high,low,volume,close,returns,mfi,close_diff_day1,close_diff_day2,close_diff_day3,normal_amplitude,normal_volume,normal_close,normal_close_diff_day1,normal_close_diff_day2,normal_close_diff_day3,normal_returns,normal_mfi,normal_weekday,rate_day1,rate_day2,rate_day3,bummpy_day1_g000,bummpy_day1_g0005,bummpy_day1_g001,bummpy_day1_g002,bummpy_day1_g003,bummpy_day1_s000,bummpy_day1_s0005,bummpy_day1_s001,bummpy_day1_s002,bummpy_day1_s003,bummpy_day2_g000,bummpy_day2_g0005,bummpy_day2_g001,bummpy_day2_g002,bummpy_day2_g003,bummpy_day2_s000,bummpy_day2_s0005,bummpy_day2_s001,bummpy_day2_s002,bummpy_day2_s003
14,2019-07-22,169.300003,171.83999599999999,169.0,7898500,171.150589,0.016953542966830333,51.12801956307635,0.0,0.0,0.0,-0.9102419182133799,-0.7008314081370095,-0.2718565558342636,-0.03792758375367522,-0.21804094940143293,-0.07194624744865963,0.22370952756069254,0.006237661061950339,1,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
15,2019-07-23,172.899994,175.740005,172.270004,10704400,175.486298,0.02501715938798467,58.85021529559747,4.3357090000000085,0.0,0.0,-0.7652465712612538,-0.4420573547110822,-0.13171723034754645,0.36355234317133434,-0.21804094940143293,-0.07194624744865963,0.3416726129427388,0.2898472383584605,2,0.025332714455338558,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
16,2019-07-24,177.399994,178.889999,174.33999599999999,9155900,178.483322,0.016934196896872564,64.24827457767671,2.997023999999982,7.33273299999999,0.0,-0.5166846317544431,-0.5848677263316134,-0.03484704790967896,0.23959218902454638,0.18815666758918048,-0.07194624744865963,0.22342651284582488,0.4880993112455303,3,0.017078393208796176,0.04284374972264916,1.0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
17,2019-07-25,176.990005,177.5,172.440002,9817500,173.208542,-0.02999884906187515,63.887730206680835,-5.274779999999993,-2.2777560000000108,2.0579529999999977,-0.39930952843169387,-0.5238516837974555,-0.20533914304125478,-0.5263640283917943,-0.34421751403102974,0.03467853306338774,-0.46315958184327577,0.47485776179552763,4,-0.0295533495280864,-0.012979680043167876,0.012024223883915455,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
18,2019-07-26,174.470001,176.949997,174.470001,6854000,174.896881,0.009700235199185335,69.30427030293333,1.6883390000000134,-3.5864409999999793,-0.5894169999999974,-0.9930957446159675,-0.7971603930628376,-0.1507684399214373,0.11840998833537592,-0.416712275314626,-0.10248458251028117,0.11760049176227583,0.6737885711556579,5,0.009747434973501558,-0.020093983907359027,-0.003358763656863953,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
19,2019-07-29,174.779999,175.470001,171.270004,6204000,174.647125,-0.0014290391951584406,70.10545095276963,-0.24975600000001918,1.4385829999999942,-3.8361969999999985,-0.5972383438762929,-0.8571066259032284,-0.15884108441309053,-0.06105460187898995,-0.13835047295244646,-0.27070378133110246,-0.045210271678311736,0.7032131691985817,1,-0.0014280186048601928,0.00830549685014954,-0.02149330792935375,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,2019-07-30,172.949997,175.940002,172.369995,4944300,175.276489,0.0035971546558097953,68.82216493709251,0.6293640000000096,0.3796079999999904,2.0679470000000038,-0.7422302385856479,-0.9732824251479059,-0.1384987029373912,0.02035054624288015,-0.1970125190753091,0.03519633306000479,0.02831819289907516,0.6560825062287261,2,0.003603632181176814,0.0021704675225168273,0.011939058987056215,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2019-07-31,174.179993,174.220001,167.020004,8985400,168.553146,-0.039113557688317584,59.54466075897013,-6.723343,-6.09397899999999,-6.3437350000000094,0.09321020947863312,-0.6005920843305159,-0.35581143149824346,-0.660498714872431,-0.5556176411739058,-0.4006220490833882,-0.5964991525491432,0.3153518216589277,3,-0.03835849884008117,-0.034893096579746104,-0.036271287193509236,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
22,2019-08-01,169.139999,172.779999,162.820007,10530300,164.756912,-0.022779979611392113,50.199987503308236,-3.7962339999999983,-10.519576999999998,-9.890212999999989,0.7284217278175769,-0.458113722614947,-0.47851377894585667,-0.38945296262717277,-0.8007741689458062,-0.5843689268501803,-0.35755434606901854,-0.027845751131295948,4,-0.02252247489940056,-0.06001704541217732,-0.05662969258726698,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
23,2019-08-02,161.190002,163.979996,159.279999,10708700,161.030609,-0.022876662052285432,48.96435601046964,-3.7263030000000015,-7.522537,-14.24588,-0.4821635849838053,-0.4416607873245997,-0.5989558079148516,-0.3829774605190305,-0.6347527815551091,-0.8100407657398777,-0.3589687187815056,-0.07322622807289747,5,-0.02261697524410995,-0.044630059886274685,-0.08127661662597543,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
24,2019-08-05,153.800003,153.850006,148.899994,14728900,150.640884,-0.06669571229979422,47.15477318493343,-10.389724999999999,-14.116028,-17.912262,-0.4246227532947904,-0.07089794845546238,-0.9347737914309233,-1.0,-1.0,-1.0,-1.0,-0.13968595507411874,1,-0.06452018696644188,-0.08567791073918647,-0.10627070704453062,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
25,2019-08-06,153.800003,155.630005,150.429993,9031800,152.199341,0.01029236296208745,46.942021378881,1.5584570000000042,-8.831267999999994,-12.557570999999996,-0.36708537384854645,-0.5963128455554481,-0.8844011504672302,0.10638311663598887,-0.7072500910141799,-0.7225676424170833,0.1262627611714528,-0.14749959407960156,2,0.010345511514656302,-0.05484216978897468,-0.07621878103663411,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,2019-08-07,149.899994,154.369995,149.199997,9314000,153.737823,0.010057587961101976,39.08694749894347,1.5384819999999877,3.096938999999992,-7.292786000000007,-0.3739930814753498,-0.5702869580053583,-0.8346741439376277,0.10453346262546057,-0.04648564501965716,-0.4497934123602652,0.1228282248492433,-0.43598932677828595,3,0.010108335488784986,0.02055842290463452,-0.04528819735134956,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
27,2019-08-08,156.21000700000002,158.309998,153.899994,7732500,158.103485,0.028001083433093855,45.339913854803406,4.365662000000015,5.904144000000002,7.4626010000000065,-0.5489053340948193,-0.7161407537547093,-0.6935666738599551,0.3663259445018635,0.10901980995929006,0.31469921708526644,0.38532460089982057,-0.20633946986436902,4,0.02839679861994673,0.038792178475989605,0.04953901491974786,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
28,2019-08-09,156.610001,156.75,152.149994,8545400,154.027527,-0.02611845378965703,38.958315576579785,-4.075958000000014,0.2897040000000004,1.828185999999988,-0.5051764654166402,-0.6411710727147805,-0.8253102952220424,-0.41535497105974456,-0.20199276185217277,0.02277405519440208,-0.40639306730373287,-0.44071353300045746,5,-0.025780317239686486,0.0018844029032465252,0.012011786568773566,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
29,2019-08-12,152.080002,154.179993,150.570007,6980000,151.300232,-0.017865179023047923,31.232009595691537,-2.727294999999998,-6.803253000000012,-2.4375909999999976,-0.7330290910141251,-0.7855400463891618,-0.9134622633784142,-0.2904708695929557,-0.5949079587940087,-0.19824048514657697,-0.2856554596193105,-0.7244740655229633,1,-0.01770654280517013,-0.043030379754121245,-0.01585550616259213,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1
30,2019-08-13,151.389999,157.899994,149.820007,8798900,155.895691,0.029920981998714038,30.32062428483232,4.595459000000005,1.8681640000000073,-2.207794000000007,0.29573948363423175,-0.6177920419070281,-0.7649272660891899,0.3876047901918262,-0.11455378234548581,-0.1863344529450029,0.4134109019578638,-0.7579461001255676,2,0.030373112712741943,0.01212876708719739,-0.013964233615723314,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
31,2019-08-14,152.5,152.949997,148.309998,10497000,149.9216,-0.03907464537749028,30.525700405538558,-5.974090999999987,-1.3786319999999819,-4.10592699999998,-0.49597209575186985,-0.461184814235847,-0.9580225783290723,-0.5911191420716683,-0.2944104330723912,-0.28467878564243154,-0.5959299022271051,-0.7504143625315356,3,-0.038321078419030756,-0.009111896140383855,-0.026657098766508017,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0
32,2019-08-15,150.830002,151.630005,147.389999,11930000,148.622879,-0.008700406698448902,23.729917403674264,-1.2987210000000005,-7.272811999999988,-2.6773529999999823,-0.5880302918192278,-0.32902642706618535,-1.0,-0.158187133501127,-0.6209192354675881,-0.2106628148232644,-0.15158350433663043,-1.0,4,-0.008662667687644744,-0.046651783338899265,-0.017695630499760123,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
33,2019-08-16,159.350006,161.53999299999998,156.880005,25199000,159.402206,0.0700185215647873,38.01235935742235,10.779326999999995,9.480605999999995,3.5065150000000074,-0.4913716370408703,0.8947067476401935,-0.6515892521890274,0.96022137325907,0.3071383479801729,0.10973010387578899,0.9999999999999998,-0.4754552376591994,5,0.07252804596794275,0.0632370919200435,0.022492699942553304,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
