Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,69.639999,69.989998,69.300003,69.589996,67.817123,2278300
2019-07-02,69.430000,69.589996,68.760002,69.360001,67.592987,2044600
2019-07-03,69.480003,70.230003,69.290001,70.199997,68.411583,1226400
2019-07-05,69.980003,70.290001,69.529999,70.279999,68.489548,1287000
2019-07-08,70.160004,70.320000,69.300003,69.570000,67.797638,1688500
2019-07-09,69.629997,69.930000,69.190002,69.820000,68.041267,1770900
2019-07-10,70.080002,70.720001,69.879997,70.449997,68.655212,1686200
2019-07-11,70.730003,71.160004,70.489998,71.059998,69.249680,1951100
2019-07-12,71.260002,71.410004,70.910004,71.300003,69.483566,1376800
2019-07-15,71.389999,71.430000,70.709999,70.980003,69.171715,1542400
2019-07-16,70.900002,70.900002,69.769997,70.150002,68.362862,1925600
2019-07-17,70.320000,70.320000,69.500000,69.639999,67.865852,1995700
2019-07-18,69.339996,69.419998,68.809998,69.160004,67.398087,1908200
2019-07-19,69.180000,69.419998,68.519997,68.529999,66.784134,1881500
2019-07-22,68.589996,69.230003,68.360001,69.139999,67.378586,1552600
2019-07-23,69.059998,69.199997,68.370003,68.510002,66.764641,1203700
2019-07-24,68.339996,68.580002,67.510002,68.430000,66.686684,1255900
2019-07-25,69.000000,69.000000,68.250000,68.570000,66.823112,1697100
2019-07-26,68.690002,68.790001,68.019997,68.489998,66.745155,1496600
2019-07-29,68.559998,68.559998,66.669998,66.800003,65.098206,2474700
2019-07-30,66.540001,67.279999,66.150002,67.209999,65.497757,1923200
2019-07-31,67.529999,71.470001,67.239998,70.080002,68.294647,4271100
2019-08-01,69.930000,72.379997,69.769997,70.989998,69.181458,3845600
2019-08-02,71.400002,72.019997,70.349998,70.989998,69.181458,2183500
2019-08-05,69.000000,69.160004,67.040001,67.669998,66.783302,2560900
2019-08-06,68.169998,68.489998,67.309998,68.099998,67.207664,1895500
2019-08-07,67.000000,67.430000,65.970001,66.760002,65.885231,2850400
2019-08-08,67.180000,68.949997,66.849998,68.940002,68.036667,2434300
2019-08-09,69.050003,69.959999,68.709999,69.050003,68.145226,1750900
2019-08-12,69.750000,70.349998,68.889999,69.269997,68.362335,2253800
2019-08-13,69.160004,69.809998,68.779999,69.639999,68.727486,2069000
2019-08-14,68.669998,69.010002,67.519997,67.709999,66.822777,2742300
2019-08-15,67.639999,68.589996,67.559998,67.949997,67.059631,1300000
2019-08-16,68.150002,69.489998,68.110001,69.300003,68.391945,2117100
2019-08-19,70.080002,71.080002,69.580002,70.910004,69.980850,1677800
2019-08-20,70.889999,72.089996,70.559998,71.059998,70.128883,1579000
2019-08-21,71.570000,71.900002,70.910004,71.180000,70.247314,1971000
2019-08-22,71.360001,71.440002,70.139999,70.279999,69.359100,1809600
2019-08-23,69.550003,69.820000,67.160004,67.410004,66.526711,2500800
2019-08-26,68.220001,68.559998,67.889999,68.199997,67.306358,1395800
2019-08-27,68.489998,69.220001,67.800003,68.320000,67.424789,1481700
2019-08-28,68.690002,69.739998,68.529999,69.529999,68.618927,1672200
2019-08-29,70.019997,70.910004,69.809998,70.820000,69.892029,1672600
2019-08-30,71.250000,71.529999,70.279999,71.279999,70.346001,1868100
2019-09-03,70.309998,70.970001,70.059998,70.610001,69.684784,2154600
2019-09-04,71.279999,71.449997,70.870003,71.040001,70.109146,1571700
2019-09-05,71.620003,71.889999,70.889999,71.019997,70.089401,1810400
2019-09-06,70.699997,71.870003,70.160004,71.830002,70.888794,1767200
2019-09-09,72.199997,73.959999,72.059998,73.669998,72.704681,2353200
2019-09-10,73.660004,74.379997,73.029999,73.519997,72.556648,2057600
2019-09-11,73.629997,74.180000,73.209999,74.059998,73.089569,1777600
2019-09-12,73.639999,74.650002,73.639999,73.930000,72.961281,1726800
2019-09-13,74.150002,74.970001,74.110001,74.480003,73.504074,1797700
2019-09-16,76.139999,77.209999,75.430000,75.830002,74.836380,2866900
2019-09-17,75.970001,76.779999,75.269997,76.199997,75.201530,2132700
2019-09-18,75.779999,76.540001,75.500000,76.500000,75.497604,2020000
2019-09-19,76.930000,76.949997,74.529999,75.089996,74.106071,2716700
2019-09-20,75.339996,75.849998,74.760002,75.769997,74.777161,3109600
2019-09-23,75.339996,75.889999,74.769997,74.809998,73.829742,2261000
2019-09-24,74.980003,75.190002,73.459999,74.139999,73.168526,2426400
2019-09-25,73.769997,74.050003,73.309998,73.629997,72.665207,3102600
2019-09-26,73.320000,73.669998,72.839996,73.489998,72.527039,3012200
2019-09-27,73.320000,73.849998,73.040001,73.300003,72.339539,1651600
2019-09-30,73.099998,73.739998,73.099998,73.690002,72.724426,1775300
2019-10-01,73.949997,74.220001,72.690002,72.709999,71.757263,1618600
2019-10-02,72.360001,72.440002,71.570000,71.629997,70.691414,1873300
2019-10-03,71.180000,72.309998,70.660004,71.989998,71.046692,1448100
2019-10-04,71.989998,72.440002,71.629997,72.029999,71.086174,1400900
2019-10-07,72.050003,72.110001,70.720001,70.720001,69.793343,1398600
2019-10-08,70.199997,70.510002,68.080002,68.199997,67.306358,2990000
2019-10-09,68.900002,69.459999,68.500000,68.610001,67.710983,1902900
2019-10-10,68.730003,69.339996,68.160004,68.970001,68.066269,1697600
2019-10-11,69.529999,70.059998,69.150002,69.510002,68.599197,1960500
2019-10-14,69.129997,69.320000,68.330002,69.139999,68.234039,1387400
2019-10-15,69.059998,70.080002,69.040001,69.250000,68.342598,1844200
2019-10-16,68.820000,69.110001,68.199997,68.449997,67.553078,1915300
2019-10-17,68.510002,68.919998,68.070000,68.669998,67.770195,1324600
2019-10-18,68.730003,69.580002,68.669998,69.199997,68.293251,1772900
2019-10-21,69.339996,69.669998,69.080002,69.599998,68.688011,1314400
2019-10-22,69.820000,71.660004,69.709999,70.330002,69.408447,2900600
2019-10-23,70.040001,70.970001,69.529999,70.910004,69.980850,1687800
2019-10-24,71.470001,72.010002,71.080002,71.290001,70.355873,1674900
2019-10-25,71.330002,71.690002,70.750000,71.550003,70.612465,1287300
2019-10-28,71.769997,72.470001,70.889999,71.180000,70.247314,1878000
2019-10-29,70.949997,71.919998,70.660004,71.620003,70.681549,2352000
2019-10-30,71.339996,72.500000,69.180000,69.989998,69.072899,2964500
2019-10-31,69.690002,70.339996,69.070000,69.830002,68.915001,2631500
2019-11-01,69.169998,70.309998,68.660004,70.250000,70.250000,1747300
2019-11-04,71.360001,72.139999,70.959999,71.919998,71.919998,2153800
2019-11-05,72.260002,72.559998,71.180000,71.839996,71.839996,1613600
2019-11-06,71.550003,72.029999,70.540001,70.760002,70.760002,2005000
2019-11-07,71.230003,71.389999,69.519997,69.769997,69.769997,2083100
2019-11-08,69.779999,70.500000,69.309998,70.480003,70.480003,1755000
2019-11-11,69.720001,70.260002,69.529999,69.919998,69.919998,1528500
2019-11-12,70.059998,70.919998,69.940002,70.199997,70.199997,1742900
2019-11-13,70.139999,71.139999,69.709999,70.660004,70.660004,1498200
2019-11-14,70.940002,71.080002,69.900002,70.160004,70.160004,1667400
2019-11-15,70.540001,71.360001,70.480003,71.290001,71.290001,1731500
